bar,beat,note,chord,replaced,original_value
1,1,48,Fj7,False,
1,2,40,Fj7,False,
1,3,43,Fj7,False,
1,4,45,Fj7,False,
2,1,48,Fj7,False,
2,2,50,Fj7,False,
2,3,37,Fj7,False,
2,4,48,Fj7,False,
3,1,47,Em7b5,False,
3,2,41,Em7b5,False,
3,3,37,Em7b5,False,
3,4,50,Em7b5,False,
4,1,47,A7,False,
4,2,40,A7,False,
4,3,42,A7,False,
4,4,44,A7,False,
5,1,45,D-7,False,
5,2,47,D-7,False,
5,3,48,D-7,False,
5,4,37,D-7,False,
6,1,50,D-7,False,
6,2,48,D-7,False,
6,3,45,D-7,False,
6,4,42,D-7,False,
7,1,43,C-7,False,
7,2,45,C-7,False,
7,3,42,C-7,False,
7,4,50,C-7,False,
8,1,48,F7,False,
8,2,51,F7,False,
8,3,37,F7,False,
8,4,48,F7,False,
9,1,41,Bbj7,False,
9,2,45,Bbj7,False,
9,3,48,Bbj7,False,
9,4,40,Bbj7,False,
10,1,41,Eb7911#,False,
10,2,41,Eb7911#,False,
10,3,34,Eb7911#,False,
10,4,43,Eb7911#,False,
11,1,48,Fj7,False,
11,2,40,Fj7,False,
11,3,43,Fj7,False,
11,4,48,Fj7,False,
12,1,45,D-7,False,
12,2,47,D-7,False,
12,3,48,D-7,False,
12,4,37,D-7,False,
13,1,50,G7,False,
13,2,45,G7,False,
13,3,48,G7,False,
13,4,37,G7,False,
14,1,50,G7,False,
14,2,50,G7,False,
14,3,45,G7,False,
14,4,48,G7,False,
15,1,50,G-7,False,
15,2,41,G-7,False,
15,3,37,G-7,False,
15,4,42,G-7,False,
16,1,42,C7,False,
16,2,41,C7,False,
16,3,37,C7,False,
16,4,50,C7,False,
17,1,48,Fj7,False,
17,2,43,Fj7,False,
17,3,42,Fj7,False,
17,4,43,Fj7,False,
18,1,37,Fj7,False,
18,2,37,Fj7,False,
18,3,37,Fj7,False,
18,4,48,Fj7,False,
19,1,41,Em7b5,False,
19,2,47,Em7b5,False,
19,3,50,Em7b5,False,
19,4,41,Em7b5,False,
20,1,37,A7,False,
20,2,37,A7,False,
20,3,37,A7,False,
20,4,37,A7,False,
21,1,42,D-7,False,
21,2,37,D-7,False,
21,3,37,D-7,False,
21,4,37,D-7,False,
22,1,39,D-7,False,
22,2,37,D-7,False,
22,3,37,D-7,False,
22,4,48,D-7,False,
23,1,43,C-7,False,
23,2,45,C-7,False,
23,3,42,C-7,False,
23,4,50,C-7,False,
24,1,48,F7,False,
24,2,37,F7,False,
24,3,37,F7,False,
24,4,48,F7,False,
25,1,41,Bbj7,False,
25,2,50,Bbj7,False,
25,3,48,Bbj7,False,
25,4,40,Bbj7,False,
26,1,41,Eb7911#,False,
26,2,50,Eb7911#,False,
26,3,42,Eb7911#,False,
26,4,43,Eb7911#,False,
27,1,48,Fj7,False,
27,2,50,Fj7,False,
27,3,52,Fj7,False,
27,4,45,Fj7,False,
28,1,50,Bm7b5,False,
28,2,50,Bm7b5,False,
28,3,51,E7,False,
28,4,51,E7,False,
29,1,37,Fj7,False,
29,2,37,Fj7,False,
29,3,41,Bb7,False,
29,4,41,Bb7,False,
30,1,52,A-7,False,
30,2,38,A-7,False,
30,3,45,D7,False,
30,4,49,D7,False,
31,1,50,G-7,False,
31,2,50,G-7,False,
31,3,43,C7,False,
31,4,43,C7,False,
32,1,48,Fj7,False,
32,2,37,Fj7,False,
32,3,43,C7,False,
32,4,45,C7,False,
33,1,47,NC,False,
33,2,42,NC,False,
33,3,52,NC,False,
33,4,47,NC,False,
34,1,45,NC,False,
34,2,47,NC,False,
34,3,48,NC,False,
34,4,45,NC,False,
35,1,50,NC,False,
35,2,45,NC,False,
35,3,43,NC,False,
35,4,47,NC,False,
36,1,48,NC,False,
36,2,37,NC,False,
36,3,43,NC,False,
36,4,48,NC,False,
37,1,51,NC,False,
37,2,48,NC,False,
37,3,34,NC,False,
37,4,50,NC,False,
38,1,51,NC,False,
38,2,42,NC,False,
38,3,47,NC,False,
38,4,51,NC,False,
39,1,48,NC,False,
39,2,51,NC,False,
39,3,42,NC,False,
39,4,41,NC,False,
40,1,41,NC,False,
40,2,37,NC,False,
40,3,42,NC,False,
40,4,42,NC,False,
41,1,43,NC,False,
