bar,beat,note,chord,replaced,original_value
1,1,34,Eb-7,False,
1,2,42,Eb-7,False,
1,3,40,Bb79b,False,
1,4,33,Bb79b,False,
2,1,34,Eb-7,False,
2,2,37,Eb-7,False,
2,3,52,D7,False,
2,4,45,D7,False,
3,1,44,Dbj7,False,
3,2,44,Dbj7,False,
3,3,37,Gb7,False,
3,4,37,Gb7,False,
4,1,48,F-7,False,
4,2,48,F-7,False,
4,3,37,Eo7,False,
4,4,38,Eo7,False,
5,1,34,Eb-7,False,
5,2,42,Eb-7,False,
5,3,37,Eb-7,False,
5,4,38,Eb-7,False,
6,1,37,Cm7b5,False,
6,2,42,Cm7b5,False,
6,3,48,F7,False,
6,4,48,F7,False,
7,1,41,Bb-7,False,
7,2,37,Eb7,False,
7,3,37,Eb-7,False,
7,4,51,Ab7,False,
8,1,44,Db6,False,
8,2,43,Db6,False,
8,3,42,Bb7,False,
8,4,41,Bb7,False,
9,1,34,Eb-7,False,
9,2,42,Eb-7,False,
9,3,38,Bb79b,False,
9,4,33,Bb79b,False,
10,1,33,Eb-7,False,
10,2,37,Eb-7,False,
10,3,52,D7,False,
10,4,52,D7,False,
11,1,44,Dbj7,False,
11,2,44,Dbj7,False,
11,3,37,Gb7,False,
11,4,37,Gb7,False,
12,1,51,F-7,False,
12,2,37,F-7,False,
12,3,38,Eo7,False,
12,4,37,Eo7,False,
13,1,37,Eb-7,False,
13,2,37,Eb-7,False,
13,3,38,Eb-7,False,
13,4,44,Eb-7,False,
14,1,43,Cm7b5,False,
14,2,43,Cm7b5,False,
14,3,37,F7,False,
14,4,37,F7,False,
15,1,41,Bb-7,False,
15,2,42,Eb7,False,
15,3,37,Eb-7,False,
15,4,51,Ab7,False,
16,1,41,Db6,False,
16,2,37,Db6,False,
16,3,48,E-7,False,
16,4,52,A7,False,
17,1,52,Dj7,False,
17,2,52,Dj7,False,
17,3,38,E-7,False,
17,4,40,E-7,False,
18,1,40,F#-7,False,
18,2,40,F#-7,False,
18,3,38,G-7,False,
18,4,40,C7,False,
19,1,37,F#-7,False,
19,2,37,B-7,False,
19,3,37,E-7,False,
19,4,52,A7,False,
20,1,52,Dj7,False,
20,2,52,Dj7,False,
20,3,37,Dj7,False,
20,4,52,Dj7,False,
21,1,38,D-7,False,
21,2,37,D-7,False,
21,3,38,G7,False,
21,4,38,G7,False,
22,1,50,Cj7,False,
22,2,50,Cj7,False,
22,3,42,Ebo,False,
22,4,37,Ebo,False,
23,1,37,D-7,False,
23,2,38,D-7,False,
23,3,38,G7,False,
23,4,38,G7,False,
24,1,38,C7,False,
24,2,37,B7,False,
24,3,37,Bb7,False,
24,4,42,Bb7,False,
25,1,34,Eb-7,False,
25,2,42,Eb-7,False,
25,3,33,Bb79b,False,
25,4,40,Bb79b,False,
26,1,34,Eb-7,False,
26,2,42,Eb-7,False,
26,3,38,D7,False,
26,4,52,D7,False,
27,1,44,Dbj7,False,
27,2,44,Dbj7,False,
27,3,37,Gb7,False,
27,4,37,Gb7,False,
28,1,48,F-7,False,
28,2,37,F-7,False,
28,3,37,Eo7,False,
28,4,33,Eo7,False,
29,1,34,Eb-7,False,
29,2,37,Eb-7,False,
29,3,44,Eb-7,False,
29,4,44,Eb-7,False,
30,1,43,Cm7b5,False,
30,2,43,Cm7b5,False,
30,3,37,F7,False,
30,4,48,F7,False,
31,1,37,Bb-7,False,
31,2,37,Eb7,False,
31,3,51,Eb-7,False,
31,4,51,Ab7,False,
32,1,51,Db6,False,
32,2,38,Gb7,False,
32,3,37,Fm7b5,False,
32,4,37,Bb7,False,
33,1,34,Eb-7,False,
33,2,45,Eb-7,False,
33,3,38,Bb7,False,
