bar,beat,note,chord,replaced,original_value
1,1,51,Eb7,False,
1,2,50,Eb7,False,
1,3,50,Eb7,False,
1,4,50,Eb7,False,
2,1,50,Eb7,False,
2,2,50,Eb7,False,
2,3,50,Eb7,False,
2,4,47,Eb7,False,
3,1,47,Eb7,False,
3,2,50,Eb7,False,
3,3,50,Eb7,False,
3,4,50,Eb7,False,
4,1,45,Eb7,False,
4,2,48,Eb7,False,
4,3,37,Eb7,False,
4,4,50,Eb7,False,
5,1,50,Ab7,False,
5,2,44,Ab7,False,
5,3,45,Ab7,False,
5,4,50,Ab7,False,
6,1,50,Ab7,False,
6,2,51,Ab7,False,
6,3,50,Ab7,False,
6,4,50,Ab7,False,
7,1,34,Eb7,False,
7,2,50,Eb7,False,
7,3,50,Eb7,False,
7,4,50,Eb7,False,
8,1,50,Eb7,False,
8,2,50,Eb7,False,
8,3,50,Eb7,False,
8,4,37,Eb7,False,
9,1,48,Bb7,False,
9,2,47,Bb7,False,
9,3,44,Bb7,False,
9,4,44,Bb7,False,
10,1,50,Ab7,False,
10,2,44,Ab7,False,
10,3,44,Ab7,False,
10,4,44,Ab7,False,
11,1,50,Eb7,False,
11,2,50,Eb7,False,
11,3,51,Eb7,False,
11,4,50,Eb7,False,
12,1,50,Eb7,False,
12,2,50,Eb7,False,
12,3,50,Eb7,False,
12,4,50,Eb7,False,
13,1,50,Eb7,False,
13,2,50,Eb7,False,
13,3,50,Eb7,False,
13,4,50,Eb7,False,
14,1,50,Eb7,False,
14,2,50,Eb7,False,
14,3,50,Eb7,False,
14,4,51,Eb7,False,
15,1,50,Eb7,False,
15,2,50,Eb7,False,
15,3,50,Eb7,False,
15,4,50,Eb7,False,
16,1,42,Eb7,False,
16,2,50,Eb7,False,
16,3,50,Eb7,False,
16,4,50,Eb7,False,
17,1,50,Ab7,False,
17,2,44,Ab7,False,
17,3,34,Ab7,False,
17,4,48,Ab7,False,
18,1,51,Ab7,False,
18,2,50,Ab7,False,
18,3,50,Ab7,False,
18,4,50,Ab7,False,
19,1,50,Eb7,False,
19,2,50,Eb7,False,
19,3,50,Eb7,False,
19,4,50,Eb7,False,
20,1,50,Eb7,False,
20,2,50,Eb7,False,
20,3,50,Eb7,False,
20,4,49,Eb7,False,
21,1,37,Bb7,False,
21,2,50,Bb7,False,
21,3,50,Bb7,False,
21,4,50,Bb7,False,
22,1,50,Ab7,False,
22,2,50,Ab7,False,
22,3,44,Ab7,False,
22,4,44,Ab7,False,
23,1,50,Eb7,False,
23,2,50,Eb7,False,
23,3,51,Eb7,False,
23,4,50,Eb7,False,
24,1,50,Eb7,False,
24,2,50,Eb7,False,
24,3,50,Eb7,False,
24,4,37,Eb7,False,
25,1,50,NC,False,
