bar,beat,note,chord,replaced,original_value
1,1,43,C-7,False,
1,2,43,C-7,False,
1,3,50,C-7,False,
1,4,43,C-7,False,
2,1,38,G79b,False,
2,2,50,G79b,False,
2,3,38,G79b,False,
2,4,50,G79b,False,
3,1,43,C-7,False,
3,2,43,C-7,False,
3,3,50,C-7,False,
3,4,51,C-7,False,
4,1,40,Asus7,False,
4,2,42,Asus7,False,
4,3,42,Asus7,False,
4,4,40,Asus7,False,
5,1,38,Ab7,False,
5,2,49,Ab7,False,
5,3,47,Ab7,False,
5,4,40,Ab7,False,
6,1,42,G79b,False,
6,2,45,G79b,False,
6,3,50,G79b,False,
6,4,42,G79b,False,
7,1,43,C-7,False,
7,2,41,C-7,False,
7,3,40,C-7,False,
7,4,38,C-7,False,
8,1,38,C-7,False,
8,2,45,C-7,False,
8,3,50,C-7,False,
8,4,42,C-7,False,
9,1,43,C-7,False,
9,2,43,C-7,False,
9,3,50,C-7,False,
9,4,43,C-7,False,
10,1,38,G79b,False,
10,2,50,G79b,False,
10,3,45,G79b,False,
10,4,50,G79b,False,
11,1,43,C-7,False,
11,2,50,C-7,False,
11,3,40,C-7,False,
11,4,41,C-7,False,
12,1,40,Asus7,False,
12,2,42,Asus7,False,
12,3,47,Asus7,False,
12,4,52,Asus7,False,
13,1,51,Ab7,False,
13,2,49,Ab7,False,
13,3,46,Ab7,False,
13,4,43,Ab7,False,
14,1,45,G7,False,
14,2,39,G7,False,
14,3,38,G7,False,
14,4,43,G7,False,
15,1,43,C-7,False,
15,2,50,C-7,False,
15,3,40,C-7,False,
15,4,44,C-7,False,
16,1,43,C-7,False,
16,2,41,C-7,False,
16,3,50,C-7,False,
16,4,49,C-7,False,
17,1,48,F-7,False,
17,2,43,F-7,False,
17,3,50,F-7,False,
17,4,48,F-7,False,
18,1,50,G-7,False,
18,2,38,G-7,False,
18,3,45,G-7,False,
18,4,43,G-7,False,
19,1,48,F-7,False,
19,2,38,F-7,False,
19,3,39,F-7,False,
19,4,38,F-7,False,
20,1,40,A7alt,False,
20,2,47,A7alt,False,
20,3,37,A7alt,False,
20,4,50,A7alt,False,
21,1,50,Ab7,False,
21,2,49,Ab7,False,
21,3,48,Ab7,False,
21,4,42,Ab7,False,
22,1,45,G79b,False,
22,2,38,G79b,False,
22,3,38,G79b,False,
22,4,42,G79b,False,
23,1,43,C-7,False,
23,2,43,C-7,False,
23,3,50,C-7,False,
23,4,43,C-7,False,
24,1,43,C-7,False,
24,2,47,C-7,False,
24,3,43,C-7,False,
24,4,49,C-7,False,
25,1,48,F-7,False,
25,2,43,F-7,False,
25,3,39,F-7,False,
25,4,48,F-7,False,
26,1,38,G-7,False,
26,2,45,G-7,False,
26,3,50,G-7,False,
26,4,47,G-7,False,
27,1,48,F-7,False,
27,2,48,F-7,False,
27,3,43,F-7,False,
27,4,43,F-7,False,
28,1,40,A7alt,False,
28,2,47,A7alt,False,
28,3,50,A7alt,False,
28,4,44,A7alt,False,
29,1,51,Ab7,False,
29,2,49,Ab7,False,
29,3,41,Ab7,False,
29,4,51,Ab7,False,
30,1,50,G79b,False,
30,2,48,G79b,False,
30,3,45,G79b,False,
30,4,47,G79b,False,
31,1,43,C-7,False,
31,2,50,C-7,False,
31,3,37,C-7,False,
31,4,50,C-7,False,
32,1,50,C-7,False,
32,2,47,C-7,False,
32,3,50,C-7,False,
32,4,47,C-7,False,
33,1,43,C-7,False,
33,2,41,C-7,False,
33,3,43,C-7,False,
33,4,48,C-7,False,
34,1,38,G79b,False,
34,2,45,G79b,False,
34,3,50,G79b,False,
34,4,42,G79b,False,
35,1,43,C-7,False,
35,2,43,C-7,False,
35,3,42,C-7,False,
35,4,41,C-7,False,
36,1,40,Asus7,False,
36,2,47,Asus7,False,
36,3,52,Asus7,False,
36,4,47,Asus7,False,
37,1,51,Ab7,False,
37,2,47,Ab7,False,
37,3,43,Ab7,False,
37,4,39,Ab7,False,
38,1,38,G79b,False,
38,2,45,G79b,False,
38,3,50,G79b,False,
38,4,42,G79b,False,
39,1,43,C-7,False,
39,2,50,C-7,False,
39,3,41,C-7,False,
39,4,42,C-7,False,
40,1,43,C-7,False,
40,2,43,C-7,False,
40,3,45,C-7,False,
40,4,47,C-7,False,
41,1,48,NC,False,
41,2,43,NC,False,
41,3,43,NC,False,
41,4,48,NC,False,
42,1,50,NC,False,
42,2,38,NC,False,
