bar,beat,note,chord,replaced,original_value
1,1,37,Eb-7,False,
1,2,37,Eb-7,False,
1,3,42,Bb79b,False,
1,4,38,Bb79b,False,
2,1,50,Eb-7,False,
2,2,42,Eb-7,False,
2,3,42,D7,False,
2,4,40,D7,False,
3,1,43,Dbj7,False,
3,2,51,Dbj7,False,
3,3,38,Gb7,False,
3,4,47,Gb7,False,
4,1,47,F-7,False,
4,2,47,F-7,False,
4,3,42,Eo7,False,
4,4,42,Eo7,False,
5,1,38,Eb-7,False,
5,2,50,Eb-7,False,
5,3,38,Eb-7,False,
5,4,50,Eb-7,False,
6,1,50,Cm7b5,False,
6,2,38,Cm7b5,False,
6,3,38,F7,False,
6,4,50,F7,False,
7,1,38,Bb-7,False,
7,2,51,Eb7,False,
7,3,40,Eb-7,False,
7,4,38,Ab7,False,
8,1,37,Db6,False,
8,2,38,Db6,False,
8,3,37,Bb7,False,
8,4,37,Bb7,False,
9,1,38,Eb-7,False,
9,2,37,Eb-7,False,
9,3,42,Bb79b,False,
9,4,38,Bb79b,False,
10,1,38,Eb-7,False,
10,2,38,Eb-7,False,
10,3,40,D7,False,
10,4,38,D7,False,
11,1,43,Dbj7,False,
11,2,38,Dbj7,False,
11,3,38,Gb7,False,
11,4,38,Gb7,False,
12,1,47,F-7,False,
12,2,47,F-7,False,
12,3,47,Eo7,False,
12,4,47,Eo7,False,
13,1,38,Eb-7,False,
13,2,38,Eb-7,False,
13,3,40,Eb-7,False,
13,4,38,Eb-7,False,
14,1,38,Cm7b5,False,
14,2,50,Cm7b5,False,
14,3,38,F7,False,
14,4,39,F7,False,
15,1,40,Bb-7,False,
15,2,42,Eb7,False,
15,3,38,Eb-7,False,
15,4,38,Ab7,False,
16,1,43,Db,False,
16,2,38,Db,False,
16,3,38,A7,False,
16,4,43,A7,False,
17,1,37,Dj7,False,
17,2,47,Dj7,False,
17,3,47,E-7,False,
17,4,50,E-7,False,
18,1,37,D/F#,False,
18,2,38,D/F#,False,
18,3,50,G-7,False,
18,4,51,C7,False,
19,1,42,F#-7,False,
19,2,40,B-7,False,
19,3,38,E-7,False,
19,4,50,A7,False,
20,1,40,Dj7,False,
20,2,38,Dj7,False,
20,3,38,Dj7,False,
20,4,47,Dj7,False,
21,1,42,D-7,False,
21,2,42,D-7,False,
21,3,50,G7,False,
21,4,38,G7,False,
22,1,38,Cj7,False,
22,2,42,Cj7,False,
22,3,42,Ebo,False,
22,4,38,Ebo,False,
23,1,38,D-7,False,
23,2,42,D-7,False,
23,3,38,G7,False,
23,4,42,G7,False,
24,1,50,C7,False,
24,2,50,B7,False,
24,3,38,Bb7,False,
24,4,47,Bb7,False,
25,1,42,Eb-7,False,
25,2,38,Eb-7,False,
25,3,38,Bb79b,False,
25,4,38,Bb79b,False,
26,1,38,Eb-7,False,
26,2,40,Eb-7,False,
26,3,42,D7,False,
26,4,39,D7,False,
27,1,44,Dbj7,False,
27,2,38,Dbj7,False,
27,3,42,Gb7,False,
27,4,38,Gb7,False,
28,1,47,F-7,False,
28,2,42,F-7,False,
28,3,47,Eo7,False,
28,4,37,Eo7,False,
29,1,38,Eb-7,False,
29,2,37,Eb-7,False,
29,3,40,Eb-7,False,
29,4,40,Eb-7,False,
30,1,40,Cm7b5,False,
30,2,38,Cm7b5,False,
30,3,40,F7,False,
30,4,38,F7,False,
31,1,40,Bb-7,False,
31,2,38,Eb7,False,
31,3,42,Eb-7,False,
31,4,38,Ab7,False,
32,1,44,Db6,False,
32,2,44,Db6,False,
32,3,40,Db6,False,
32,4,42,Db6,False,
33,1,45,Db6,False,
33,2,42,NC,False,
