bar,beat,note,chord,replaced,original_value
1,1,37,C69,False,
1,2,37,C69,False,
1,3,43,C69,False,
1,4,43,C69,False,
2,1,47,E-7,False,
2,2,47,E-7,False,
2,3,43,A7,False,
2,4,52,A7,False,
3,1,45,D-7,False,
3,2,45,D-7,False,
3,3,37,G7,False,
3,4,42,G7,False,
4,1,43,C69,False,
4,2,43,C69,False,
4,3,37,C69,False,
4,4,45,C69,False,
5,1,43,C69,False,
5,2,43,C69,False,
5,3,44,C69,False,
5,4,45,C69,False,
6,1,47,E-7,False,
6,2,47,E-7,False,
6,3,52,A7,False,
6,4,52,A7,False,
7,1,45,D-7,False,
7,2,45,D-7,False,
7,3,37,G7,False,
7,4,42,G7,False,
8,1,43,C69,False,
8,2,43,C69,False,
8,3,47,C69,False,
8,4,50,C69,False,
9,1,47,Em7b5,False,
9,2,47,Em7b5,False,
9,3,45,Em7b5,False,
9,4,45,Em7b5,False,
10,1,44,A79#,False,
10,2,44,A79#,False,
10,3,52,A79#,False,
10,4,37,A79#,False,
11,1,45,D-7,False,
11,2,45,D-7,False,
11,3,51,D-7,False,
11,4,38,D-7,False,
12,1,38,G7,False,
12,2,38,G7,False,
12,3,52,G7,False,
12,4,44,G7,False,
13,1,43,C69,False,
13,2,43,C69,False,
13,3,47,C7,False,
13,4,47,C7,False,
14,1,48,Fj7,False,
14,2,48,Fj7,False,
14,3,49,F#o,False,
14,4,37,F#o,False,
15,1,50,C/G,False,
15,2,50,C/G,False,
15,3,37,G7,False,
15,4,37,G7,False,
16,1,43,C79,False,
16,2,43,C79,False,
16,3,47,C79,False,
16,4,50,C79,False,
17,1,43,C69,False,
17,2,43,C69,False,
17,3,45,C69,False,
17,4,45,C69,False,
18,1,47,E-7,False,
18,2,47,E-7,False,
18,3,52,A7,False,
18,4,52,A7,False,
19,1,45,D-7,False,
19,2,45,D-7,False,
19,3,37,D-7,False,
19,4,42,D-7,False,
20,1,43,C69,False,
20,2,43,C69,False,
20,3,38,C69,False,
20,4,42,C69,False,
21,1,43,C69,False,
21,2,43,C69,False,
21,3,44,C69,False,
21,4,44,C69,False,
22,1,47,E-7,False,
22,2,47,E-7,False,
22,3,40,A7,False,
22,4,40,A7,False,
23,1,45,D-7,False,
23,2,45,D-7,False,
23,3,38,G7,False,
23,4,42,G7,False,
24,1,43,C69,False,
24,2,43,C69,False,
24,3,47,C69,False,
24,4,44,C69,False,
25,1,47,Em7b5,False,
25,2,47,Em7b5,False,
25,3,41,Em7b5,False,
25,4,41,Em7b5,False,
26,1,52,A79#,False,
26,2,52,A79#,False,
26,3,38,A79#,False,
26,4,38,A79#,False,
27,1,45,D-7,False,
27,2,45,D-7,False,
27,3,51,D-7,False,
27,4,38,D-7,False,
28,1,50,G7,False,
28,2,37,G7,False,
28,3,44,G7,False,
28,4,44,G7,False,
29,1,43,C69,False,
29,2,43,C69,False,
29,3,47,C7/E,False,
29,4,47,C7/E,False,
30,1,48,F,False,
30,2,48,F,False,
30,3,49,F#o,False,
30,4,37,F#o,False,
31,1,50,C/G,False,
31,2,50,C/G,False,
31,3,50,G7,False,
31,4,37,G7,False,
32,1,43,C79,False,
32,2,43,C79,False,
32,3,47,C79,False,
32,4,50,C79,False,
33,1,43,C69,False,
33,2,43,C69,False,
33,3,44,C69,False,
33,4,45,C69,False,
34,1,47,E-7,False,
34,2,47,E-7,False,
34,3,52,A7,False,
34,4,52,A7,False,
35,1,45,D-7,False,
35,2,45,D-7,False,
35,3,38,G7,False,
35,4,42,G7,False,
36,1,43,C69,False,
36,2,43,C69,False,
36,3,37,C69,False,
36,4,44,C69,False,
37,1,50,C69,False,
37,2,50,C69,False,
37,3,43,C69,False,
37,4,43,C69,False,
38,1,47,E-7,False,
38,2,47,E-7,False,
38,3,52,A7,False,
38,4,52,A7,False,
39,1,45,D-7,False,
39,2,45,D-7,False,
39,3,38,G7,False,
39,4,42,G7,False,
40,1,43,C69,False,
40,2,43,C69,False,
40,3,44,C69,False,
40,4,50,C69,False,
41,1,47,C69,False,
41,2,47,C69,False,
41,3,41,C69,False,
41,4,42,C69,False,
42,1,52,A79#,False,
42,2,40,A79#,False,
42,3,34,A79#,False,
42,4,34,A79#,False,
43,1,44,D-7,False,
43,2,44,D-7,False,
43,3,51,D-7,False,
43,4,52,D-7,False,
44,1,50,G7,False,
44,2,50,G7,False,
44,3,44,G7,False,
44,4,44,G7,False,
45,1,43,C69,False,
45,2,43,C69,False,
45,3,47,C7/E,False,
45,4,47,C7/E,False,
46,1,48,F,False,
46,2,48,F,False,
46,3,49,F#o,False,
46,4,37,F#o,False,
47,1,50,C/G,False,
47,2,50,C/G,False,
47,3,38,G7,False,
47,4,38,G7,False,
48,1,43,C79,False,
48,2,43,C79,False,
48,3,47,C79,False,
48,4,50,C79,False,
49,1,43,C69,False,
49,2,43,C69,False,
49,3,44,C69,False,
49,4,44,C69,False,
50,1,47,E-7,False,
50,2,47,E-7,False,
50,3,52,A7,False,
50,4,38,A7,False,
51,1,45,D-7,False,
51,2,45,D-7,False,
51,3,37,G7,False,
51,4,42,G7,False,
52,1,43,C69,False,
52,2,43,C69,False,
52,3,47,C69,False,
52,4,50,C69,False,
53,1,43,C69,False,
53,2,43,C69,False,
53,3,47,C69,False,
53,4,47,C69,False,
54,1,50,E-7,False,
54,2,50,E-7,False,
54,3,52,A7,False,
54,4,52,A7,False,
55,1,45,D-7,False,
55,2,45,D-7,False,
55,3,37,G7,False,
55,4,42,G7,False,
56,1,43,C69,False,
56,2,43,C69,False,
56,3,45,C69,False,
56,4,50,C69,False,
57,1,47,Em7b5,False,
57,2,47,Em7b5,False,
57,3,41,Em7b5,False,
57,4,41,Em7b5,False,
58,1,38,A79#,False,
58,2,38,A79#,False,
58,3,47,A79#,False,
58,4,42,A79#,False,
59,1,44,D-7,False,
59,2,45,D-7,False,
59,3,40,D-7,False,
59,4,38,D-7,False,
60,1,38,G7,False,
60,2,37,G7,False,
60,3,44,G7,False,
60,4,44,G7,False,
61,1,43,C69,False,
61,2,43,C69,False,
61,3,47,C7/E,False,
61,4,47,C7/E,False,
62,1,48,F,False,
62,2,48,F,False,
62,3,37,F#o,False,
62,4,37,F#o,False,
63,1,50,C/G,False,
63,2,50,C/G,False,
63,3,37,G7,False,
63,4,37,G7,False,
64,1,38,C79,False,
64,2,43,C79,False,
64,3,47,C79,False,
64,4,50,C79,False,
65,1,43,C69,False,
65,2,43,C69,False,
65,3,44,C69,False,
65,4,45,C69,False,
66,1,47,E-7,False,
66,2,47,E-7,False,
66,3,52,A7,False,
66,4,52,A7,False,
67,1,45,D-7,False,
67,2,45,D-7,False,
67,3,38,G7,False,
67,4,42,G7,False,
68,1,43,C69,False,
68,2,43,C69,False,
68,3,47,C69,False,
68,4,50,C69,False,
69,1,43,C69,False,
69,2,43,C69,False,
69,3,44,C69,False,
69,4,44,C69,False,
70,1,47,E-7,False,
70,2,37,E-7,False,
70,3,40,A7,False,
70,4,40,A7,False,
71,1,44,D-7,False,
71,2,44,D-7,False,
71,3,38,G7,False,
71,4,42,G7,False,
72,1,43,C69,False,
72,2,43,C69,False,
72,3,47,C69,False,
72,4,50,C69,False,
73,1,43,Em7b5,False,
73,2,43,Em7b5,False,
73,3,47,Em7b5,False,
73,4,37,Em7b5,False,
74,1,52,A79#,False,
74,2,52,A79#,False,
74,3,44,A79#,False,
