bar,beat,note,chord,replaced,original_value
1,1,41,Bb7,False,
1,2,50,Bb7,False,
1,3,48,Bb7,False,
1,4,41,Bb7,False,
2,1,34,Eb7,False,
2,2,34,Eb7,False,
2,3,47,Em7b5,False,
2,4,47,Em7b5,False,
3,1,48,Bb7,False,
3,2,48,Bb7,False,
3,3,34,Bb7,False,
3,4,42,Bb7,False,
4,1,45,Bb7,False,
4,2,43,Bb7,False,
4,3,41,Bb7,False,
4,4,47,Bb7,False,
5,1,34,Eb7,False,
5,2,48,Eb7,False,
5,3,50,Eb7,False,
5,4,41,Eb7,False,
6,1,37,Eb7,False,
6,2,37,Eb7,False,
6,3,37,Eb7,False,
6,4,37,Eb7,False,
7,1,38,Bb7,False,
7,2,47,Bb7,False,
7,3,38,Bb7,False,
7,4,48,Bb7,False,
8,1,38,Bb7,False,
8,2,45,Bb7,False,
8,3,44,G7,False,
8,4,51,G7,False,
9,1,42,C-7,False,
9,2,50,C-7,False,
9,3,43,C-7,False,
9,4,50,C-7,False,
10,1,43,F7,False,
10,2,41,F7,False,
10,3,51,F7,False,
10,4,48,F7,False,
11,1,41,Bb7,False,
11,2,41,Bb7,False,
11,3,48,F7,False,
11,4,48,F7,False,
12,1,41,B7,False,
12,2,37,G7,False,
12,3,50,C-7,False,
12,4,48,F7,False,
13,1,41,Bb7,False,
13,2,43,Bb7,False,
13,3,45,Bb7,False,
13,4,48,Bb7,False,
14,1,51,A-7,False,
14,2,51,A-7,False,
14,3,45,D-7,False,
14,4,40,D-7,False,
15,1,50,G-7,False,
15,2,50,G-7,False,
15,3,49,G-7,False,
15,4,37,G-7,False,
16,1,48,F7,False,
16,2,48,F7,False,
16,3,48,F7,False,
16,4,47,F7,False,
17,1,34,Eb7,False,
17,2,48,Eb7,False,
17,3,50,Eb7,False,
17,4,41,Eb7,False,
18,1,34,Eb7,False,
18,2,34,Eb7,False,
18,3,51,Eb7,False,
18,4,51,Eb7,False,
19,1,45,F7,False,
19,2,45,F7,False,
19,3,37,F7,False,
19,4,45,F7,False,
20,1,44,Eb7,False,
20,2,44,Eb7,False,
20,3,49,G7,False,
20,4,49,G7,False,
21,1,43,C-7,False,
21,2,45,C-7,False,
21,3,34,C-7,False,
21,4,50,C-7,False,
22,1,43,C-7,False,
22,2,43,C-7,False,
22,3,48,F7,False,
22,4,51,F7,False,
23,1,41,Bb7,False,
23,2,48,Bb7,False,
23,3,41,Bb7,False,
23,4,48,Bb7,False,
24,1,41,Bb7,False,
24,2,48,Bb7,False,
24,3,41,Bb7,False,
24,4,41,Bb7,False,
25,1,47,NC,False,
