bar,beat,note,chord,replaced,original_value
1,1,43,F,False,
1,2,44,F,False,
1,3,48,F,False,
1,4,44,F,False,
2,1,44,F7,False,
2,2,42,F7,False,
2,3,51,F7,False,
2,4,50,F7,False,
3,1,48,A-,False,
3,2,50,A-,False,
3,3,50,A-,False,
3,4,37,A-,False,
4,1,50,D7,False,
4,2,37,D7,False,
4,3,33,D7,False,
4,4,51,D7,False,
5,1,50,G-,False,
5,2,48,G-,False,
5,3,47,G-,False,
5,4,50,G-,False,
6,1,50,C7,False,
6,2,50,C7,False,
6,3,51,C7,False,
6,4,50,C7,False,
7,1,51,Fj7,False,
7,2,39,Fj7,False,
7,3,50,Fj7,False,
7,4,42,Fj7,False,
8,1,50,Fj7,False,
8,2,50,Fj7,False,
8,3,37,Fj7,False,
8,4,37,Fj7,False,
9,1,52,Cj7911#,False,
9,2,37,Cj7911#,False,
9,3,39,Bb7911#,False,
9,4,37,Bb7911#,False,
10,1,41,Ab7911#,False,
10,2,38,Ab7911#,False,
10,3,50,Gbj7911#,False,
10,4,47,Gbj7911#,False,
11,1,48,Fj7,False,
11,2,50,Fj7,False,
11,3,51,Fj7,False,
11,4,50,Fj7,False,
12,1,37,D7,False,
12,2,37,D7,False,
12,3,33,D7,False,
12,4,51,D7,False,
13,1,50,G-,False,
13,2,50,G-,False,
13,3,37,G-,False,
13,4,50,G-,False,
14,1,50,C7,False,
14,2,50,C7,False,
14,3,47,C7,False,
14,4,50,C7,False,
15,1,48,Fj7,False,
15,2,50,Fj7,False,
15,3,51,Fj7,False,
15,4,50,Fj7,False,
16,1,50,Fj7,False,
16,2,43,Fj7,False,
16,3,37,Fj7,False,
16,4,50,Fj7,False,
17,1,44,Bb-7,False,
17,2,44,Bb-7,False,
17,3,50,Bb-7,False,
17,4,44,Bb-7,False,
18,1,44,Eb7,False,
18,2,44,Eb7,False,
18,3,44,Eb7,False,
18,4,41,Eb7,False,
19,1,51,Bbo,False,
19,2,51,Bbo,False,
19,3,37,Bb-7,False,
19,4,51,Bb-7,False,
20,1,37,Ab,False,
20,2,37,Ab,False,
20,3,41,Ab,False,
20,4,51,Ab,False,
21,1,51,A-7,False,
21,2,51,A-7,False,
21,3,49,A-7,False,
21,4,37,A-7,False,
22,1,44,D7,False,
22,2,50,D7,False,
22,3,50,D7,False,
22,4,51,D7,False,
23,1,50,G7,False,
23,2,50,G7,False,
23,3,50,G7,False,
23,4,50,G7,False,
24,1,50,C7,False,
24,2,50,C7,False,
24,3,50,C7,False,
24,4,50,C7,False,
25,1,50,F,False,
25,2,50,F,False,
25,3,44,F,False,
25,4,44,F,False,
26,1,37,F7,False,
26,2,50,F7,False,
26,3,51,F7,False,
26,4,50,F7,False,
27,1,51,A-,False,
27,2,50,A-,False,
27,3,50,A-,False,
27,4,50,A-,False,
28,1,43,D7,False,
28,2,37,D7,False,
28,3,33,D7,False,
28,4,51,D7,False,
29,1,50,G-,False,
29,2,50,G-,False,
29,3,37,G-,False,
29,4,50,G-,False,
30,1,50,C7,False,
30,2,50,C7,False,
30,3,44,C7,False,
30,4,44,C7,False,
31,1,50,Fj7,False,
31,2,37,Fj7,False,
31,3,33,Fj7,False,
31,4,51,Fj7,False,
32,1,50,Fj7,False,
32,2,50,Fj7,False,
32,3,50,Fj7,False,
32,4,49,Fj7,False,
33,1,43,F,False,
33,2,48,F,False,
33,3,50,F,False,
33,4,50,F,False,
34,1,38,F7,False,
34,2,41,F7,False,
34,3,44,F7,False,
34,4,44,F7,False,
35,1,44,A-,False,
35,2,39,A-,False,
35,3,50,A-,False,
35,4,41,A-,False,
36,1,51,D7,False,
36,2,48,D7,False,
36,3,45,D7,False,
36,4,51,D7,False,
37,1,50,G-,False,
37,2,50,G-,False,
37,3,41,G-,False,
37,4,50,G-,False,
38,1,50,C7,False,
38,2,42,C7,False,
38,3,37,C7,False,
38,4,42,C7,False,
39,1,37,Fj7,False,
39,2,44,Fj7,False,
39,3,50,Fj7,False,
39,4,51,Fj7,False,
40,1,50,Fj7,False,
40,2,50,Fj7,False,
40,3,42,Fj7,False,
40,4,43,Fj7,False,
41,1,43,Cj7911#,False,
41,2,43,Cj7911#,False,
41,3,38,Bb7911#,False,
41,4,51,Bb7911#,False,
42,1,44,Ab7911#,False,
42,2,43,Ab7911#,False,
42,3,37,Gbj7911#,False,
42,4,43,Gbj7911#,False,
43,1,41,Fj7,False,
43,2,37,Fj7,False,
43,3,50,Fj7,False,
43,4,47,Fj7,False,
44,1,45,D7,False,
44,2,47,D7,False,
44,3,48,D7,False,
44,4,51,D7,False,
45,1,51,G-,False,
45,2,50,G-,False,
45,3,50,G-,False,
45,4,50,G-,False,
46,1,42,C7,False,
46,2,42,C7,False,
46,3,42,C7,False,
46,4,51,C7,False,
47,1,42,Fj7,False,
47,2,42,Fj7,False,
47,3,37,Fj7,False,
47,4,50,Fj7,False,
48,1,51,Fj7,False,
48,2,50,Fj7,False,
48,3,37,Fj7,False,
48,4,50,Fj7,False,
49,1,50,Bb-7,False,
49,2,41,Bb-7,False,
49,3,44,Bb-7,False,
49,4,44,Bb-7,False,
50,1,44,Eb7,False,
50,2,47,Eb7,False,
50,3,50,Eb7,False,
50,4,50,Eb7,False,
51,1,50,Bbo,False,
51,2,51,Bbo,False,
51,3,50,Bb-7,False,
51,4,44,Bb-7,False,
52,1,44,Ab,False,
52,2,43,Ab,False,
52,3,50,Ab,False,
52,4,51,Ab,False,
53,1,51,A-7,False,
53,2,33,A-7,False,
53,3,47,A-7,False,
53,4,48,A-7,False,
54,1,48,D7,False,
54,2,51,D7,False,
54,3,51,D7,False,
54,4,51,D7,False,
55,1,50,G7,False,
55,2,50,G7,False,
55,3,41,G7,False,
55,4,42,G7,False,
56,1,50,C7,False,
56,2,42,C7,False,
56,3,42,C7,False,
56,4,44,C7,False,
57,1,50,F,False,
57,2,41,F,False,
57,3,37,F,False,
57,4,37,F,False,
58,1,43,F7,False,
58,2,44,F7,False,
58,3,37,F7,False,
58,4,51,F7,False,
59,1,33,A-,False,
59,2,48,A-,False,
59,3,37,A-,False,
59,4,37,A-,False,
60,1,44,D7,False,
60,2,50,D7,False,
60,3,50,D7,False,
60,4,50,D7,False,
61,1,41,G-,False,
61,2,50,G-,False,
61,3,50,G-,False,
61,4,50,G-,False,
62,1,50,C7,False,
62,2,41,C7,False,
62,3,38,C7,False,
62,4,50,C7,False,
63,1,50,Fj7,False,
63,2,37,Fj7,False,
63,3,45,Fj7,False,
63,4,51,Fj7,False,
64,1,50,Fj7,False,
64,2,50,Fj7,False,
