bar,beat,note,chord,replaced,original_value
1,1,48,F7,False,
1,2,38,F7,False,
1,3,37,F7,False,
1,4,37,F7,False,
2,1,38,Bb7,False,
2,2,38,Bb7,False,
2,3,42,Bb7,False,
2,4,42,Bb7,False,
3,1,42,F7,False,
3,2,37,F7,False,
3,3,40,F7,False,
3,4,50,F7,False,
4,1,48,F7,False,
4,2,34,F7,False,
4,3,43,F7,False,
4,4,42,F7,False,
5,1,41,Bb7,False,
5,2,51,Bb7,False,
5,3,50,Bb7,False,
5,4,49,Bb7,False,
6,1,48,Bb7,False,
6,2,33,Bb7,False,
6,3,42,Bb7,False,
6,4,42,Bb7,False,
7,1,43,F7,False,
7,2,43,F7,False,
7,3,42,F7,False,
7,4,41,F7,False,
8,1,40,A-7,False,
8,2,34,A-7,True,34
8,3,45,D7,False,
8,4,51,D7,False,
9,1,50,G-7,False,
9,2,42,G-7,False,
9,3,45,G-7,False,
9,4,50,G-7,False,
10,1,43,C7,False,
10,2,42,C7,False,
10,3,42,C7,False,
10,4,37,C7,False,
11,1,52,F7,False,
11,2,40,F7,False,
11,3,45,D7,False,
11,4,51,D7,False,
12,1,50,G-7,False,
12,2,44,G-7,False,
12,3,42,C7,False,
12,4,42,C7,False,
13,1,37,F7,False,
13,2,38,F7,False,
13,3,42,F7,False,
13,4,37,F7,False,
14,1,44,Bb7,False,
14,2,37,Bb7,False,
14,3,44,Bb7,False,
14,4,44,Bb7,False,
15,1,43,F7,False,
15,2,43,F7,False,
15,3,40,F7,False,
15,4,41,F7,False,
16,1,37,F7,False,
16,2,40,F7,False,
16,3,50,F7,False,
16,4,50,F7,False,
17,1,37,Bb7,False,
17,2,41,Bb7,False,
17,3,41,Bb7,False,
17,4,42,Bb7,False,
18,1,42,Bb7,False,
18,2,42,Bb7,False,
18,3,42,Bb7,False,
18,4,42,Bb7,False,
19,1,50,F7,False,
19,2,41,F7,False,
19,3,52,F7,False,
19,4,50,F7,False,
20,1,52,A-7,False,
20,2,40,A-7,False,
20,3,45,D7,False,
20,4,51,D7,False,
21,1,50,G-7,False,
21,2,52,G-7,False,
21,3,42,G-7,False,
21,4,50,G-7,False,
22,1,43,C7,False,
22,2,45,C7,False,
22,3,47,C7,False,
22,4,50,C7,False,
23,1,52,F7,False,
23,2,40,F7,False,
23,3,45,D7,False,
23,4,51,D7,False,
24,1,50,G-7,False,
24,2,50,G-7,False,
24,3,43,C7,False,
24,4,50,C7,False,
25,1,38,F7,False,
25,2,37,F7,False,
25,3,38,F7,False,
25,4,42,F7,False,
26,1,37,Bb7,False,
