bar,beat,note,chord,replaced,original_value
1,1,44,Db,False,
1,2,44,Db,False,
1,3,41,Bb7,False,
1,4,40,Bb7,False,
2,1,49,Eb-7,False,
2,2,48,Eb-7,False,
2,3,34,Ab7,False,
2,4,51,Ab7,False,
3,1,44,Db,False,
3,2,43,Db,False,
3,3,41,Bb-7,False,
3,4,48,Bb-7,False,
4,1,47,Eb-7,False,
4,2,47,Eb-7,False,
4,3,49,Ab7,False,
4,4,51,Ab7,False,
5,1,44,Db,False,
5,2,42,Db,False,
5,3,41,Db7,False,
5,4,51,Db7,False,
6,1,49,Gb7,False,
6,2,47,Gb7,False,
6,3,34,Gb-,False,
6,4,45,Gb-,False,
7,1,44,Db,False,
7,2,48,Db,False,
7,3,49,Bb-7,False,
7,4,50,Bb-7,False,
8,1,51,Eb-7,False,
8,2,41,Eb-7,False,
8,3,51,Ab7,True,42
8,4,43,Ab7,False,
9,1,44,Db,False,
9,2,37,Db,False,
9,3,38,Bb7,False,
9,4,37,Bb7,False,
10,1,37,Eb-7,False,
10,2,37,Eb-7,False,
10,3,37,Ab7,False,
10,4,42,Ab7,False,
11,1,37,Db,False,
11,2,38,Db,False,
11,3,38,Bb-7,False,
11,4,37,Bb-7,False,
12,1,37,Eb-7,False,
12,2,42,Eb-7,False,
12,3,42,Ab7,False,
12,4,51,Ab7,False,
13,1,44,Db,False,
13,2,43,Db,False,
13,3,41,Db7,False,
13,4,51,Db7,False,
14,1,49,Gb,False,
14,2,47,Gb,False,
14,3,34,Gb-,False,
14,4,45,Gb-,False,
15,1,44,Db,False,
15,2,47,Db,False,
15,3,49,Bb-7,False,
15,4,50,Bb-7,False,
16,1,51,Eb-7,False,
16,2,41,Eb-7,False,
16,3,43,Ab7,False,
16,4,44,Ab7,False,
17,1,43,C7,False,
17,2,50,C7,False,
17,3,41,C7,False,
17,4,41,C7,False,
18,1,43,C7,False,
18,2,41,C7,False,
18,3,41,C7,False,
18,4,50,C7,False,
19,1,37,F7,False,
19,2,41,F7,False,
19,3,41,F7,False,
19,4,41,F7,False,
20,1,44,F7,False,
20,2,48,F7,False,
20,3,50,F7,False,
20,4,41,F7,False,
21,1,41,Bb7,False,
21,2,51,Bb7,False,
21,3,50,Bb7,False,
21,4,47,Bb7,False,
22,1,41,Bb7,False,
22,2,45,Bb7,False,
22,3,48,Bb7,False,
22,4,41,Bb7,False,
23,1,34,Eb7,False,
23,2,41,Eb7,False,
23,3,50,Eb7,False,
23,4,34,Eb7,False,
24,1,40,Ab7,False,
24,2,40,Ab7,False,
24,3,41,Ab7,False,
24,4,45,Ab7,False,
25,1,44,Db,False,
25,2,44,Db,False,
25,3,41,Bb7,False,
25,4,48,Bb7,False,
26,1,49,Eb-7,False,
26,2,51,Eb-7,False,
26,3,41,Ab7,False,
26,4,43,Ab7,False,
27,1,44,Db,False,
27,2,42,Db,False,
27,3,41,Bb-7,False,
27,4,40,Bb-7,False,
28,1,49,Eb-7,False,
28,2,47,Eb-7,False,
28,3,34,Ab7,False,
28,4,45,Ab7,False,
29,1,44,Db,False,
29,2,47,Db,False,
29,3,51,Db7,False,
29,4,50,Db7,False,
30,1,49,Gb,False,
30,2,47,Gb,False,
30,3,34,Gb-,False,
30,4,45,Gb-,False,
31,1,44,Db,False,
31,2,47,Db,False,
31,3,49,Bb-7,False,
31,4,50,Bb-7,False,
32,1,40,Eb-7,False,
32,2,41,Eb-7,False,
32,3,41,Ab7,False,
32,4,43,Ab7,False,
33,1,44,NC,False,
