bar,beat,note,chord,replaced,original_value
1,1,45,D7,False,
1,2,51,D7,False,
1,3,50,G7,False,
1,4,45,G7,False,
2,1,43,C-6,False,
2,2,45,C-6,False,
2,3,45,C-6,False,
2,4,50,C-6,False,
3,1,48,F7,False,
3,2,37,F7,False,
3,3,41,Bb7,False,
3,4,47,Bb7,False,
4,1,42,Ebj7,True,42
4,2,41,Ebj7,False,
4,3,50,Ebj7,False,
4,4,45,Ebj7,False,
5,1,51,D7,False,
5,2,45,D7,False,
5,3,50,G7,False,
5,4,42,G7,False,
6,1,43,C-6,False,
6,2,45,C-6,False,
6,3,45,C-6,False,
6,4,50,C-6,False,
7,1,51,Ab7,False,
7,2,37,Ab7,False,
7,3,44,Ab7,False,
7,4,44,Ab7,False,
8,1,37,Ab7,False,
8,2,37,Ab7,False,
8,3,37,Ab7,False,
8,4,51,Ab7,False,
9,1,45,D7,False,
9,2,51,D7,False,
9,3,50,G7,False,
9,4,45,G7,False,
10,1,43,C-6,False,
10,2,50,C-6,False,
10,3,42,C-6,False,
10,4,43,C-6,False,
11,1,48,F7,False,
11,2,40,F7,False,
11,3,41,Bb7,False,
11,4,45,Bb7,False,
12,1,45,Ebj7,False,
12,2,37,Ebj7,False,
12,3,50,Ebj7,False,
12,4,45,Ebj7,False,
13,1,51,D7,False,
13,2,45,D7,False,
13,3,50,G7,False,
13,4,42,G7,False,
14,1,43,C-6,False,
14,2,45,C-6,False,
14,3,49,C-6,False,
14,4,50,C-6,False,
15,1,51,Ab7,False,
15,2,38,Ab7,False,
15,3,50,Ab7,False,
15,4,51,Ab7,False,
16,1,37,Ab7,False,
16,2,50,Ab7,False,
16,3,51,Ab7,False,
16,4,38,Ab7,False,
17,1,50,G7,False,
17,2,45,G7,False,
17,3,43,C7,False,
17,4,47,C7,False,
18,1,48,F7,False,
18,2,40,F7,False,
18,3,40,Bb7,False,
18,4,45,Bb7,False,
19,1,45,Eb7,False,
19,2,51,Eb7,False,
19,3,51,Ab7,False,
19,4,45,Ab7,False,
20,1,44,Dbj7,False,
20,2,45,Dbj7,False,
20,3,48,Dbj7,False,
20,4,51,Dbj7,False,
21,1,47,F7,False,
21,2,38,F7,False,
21,3,37,Bb7,False,
21,4,41,Bb7,False,
22,1,45,Eb7,False,
22,2,51,Eb7,False,
22,3,51,Ab7,False,
22,4,45,Ab7,False,
23,1,44,Db7,False,
23,2,50,Db7,False,
23,3,37,Gb7,False,
23,4,43,Gb7,False,
24,1,42,Bj7,False,
24,2,37,Bj7,False,
24,3,44,Bj7,False,
24,4,49,Bj7,False,
25,1,45,D7,False,
25,2,51,D7,False,
25,3,50,G7,False,
25,4,45,G7,False,
26,1,43,C-6,False,
26,2,45,C-6,False,
26,3,45,C-6,False,
26,4,50,C-6,False,
27,1,48,F7,False,
27,2,37,F7,False,
27,3,37,Bb7,True,37
27,4,45,Bb7,False,
28,1,45,Ebj7,False,
28,2,48,Ebj7,False,
28,3,50,Ebj7,False,
28,4,48,Ebj7,False,
29,1,45,D7,False,
29,2,51,D7,False,
29,3,50,G7,False,
29,4,37,G7,False,
30,1,37,C-6,False,
30,2,50,C-6,False,
30,3,42,C-6,False,
30,4,43,C-6,False,
31,1,40,Ab7,False,
31,2,51,Ab7,False,
31,3,40,Ab7,False,
31,4,40,Ab7,False,
32,1,40,Ab7,False,
32,2,40,Ab7,False,
32,3,40,Ab7,False,
32,4,40,Ab7,False,
33,1,45,D7,False,
33,2,38,D7,False,
33,3,50,G7,False,
33,4,37,G7,False,
34,1,37,C-6,False,
34,2,37,C-6,False,
34,3,37,C-6,False,
34,4,37,C-6,False,
35,1,38,F7,False,
35,2,38,F7,False,
35,3,37,Bb7,False,
35,4,38,Bb7,False,
36,1,40,Ebj7,False,
36,2,37,Ebj7,False,
36,3,37,Ebj7,False,
36,4,41,Ebj7,True,37
37,1,39,D7,False,
37,2,40,D7,False,
37,3,50,G7,False,
37,4,37,G7,False,
38,1,38,C-6,False,
38,2,50,C-6,False,
38,3,37,C-6,False,
38,4,43,C-6,False,
39,1,38,Ab7,False,
39,2,37,Ab7,False,
39,3,40,Ab7,False,
39,4,44,Ab7,False,
40,1,38,Ab7,False,
40,2,37,Ab7,False,
40,3,42,Ab7,False,
40,4,37,Ab7,False,
41,1,45,D7,False,
41,2,38,D7,False,
41,3,37,G7,False,
41,4,45,G7,False,
42,1,43,C-6,False,
42,2,45,C-6,False,
42,3,45,C-6,False,
42,4,48,C-6,False,
43,1,37,F7,False,
43,2,37,F7,False,
43,3,37,Bb7,False,
43,4,45,Bb7,False,
44,1,50,Ebj7,False,
44,2,48,Ebj7,False,
44,3,45,Ebj7,False,
44,4,45,Ebj7,False,
45,1,45,D7,False,
45,2,50,D7,False,
45,3,50,G7,False,
45,4,50,G7,False,
46,1,43,C-6,False,
46,2,45,C-6,False,
46,3,37,C-6,False,
46,4,50,C-6,False,
47,1,51,Ab7,False,
47,2,38,Ab7,False,
47,3,50,Ab7,False,
47,4,51,Ab7,False,
48,1,37,Ab7,False,
48,2,37,Ab7,False,
48,3,40,Ab7,False,
48,4,38,Ab7,False,
49,1,50,G7,False,
49,2,45,G7,False,
49,3,43,C7,False,
49,4,47,C7,False,
50,1,48,F7,False,
50,2,37,F7,False,
50,3,47,Bb7,False,
50,4,47,Bb7,False,
51,1,47,Eb7,False,
51,2,38,Eb7,False,
51,3,51,Ab7,False,
51,4,45,Ab7,False,
52,1,44,Dbj7,False,
52,2,40,Dbj7,False,
52,3,48,Dbj7,False,
52,4,39,Dbj7,False,
53,1,48,F7,False,
53,2,40,F7,False,
53,3,41,Bb7,False,
53,4,44,Bb7,False,
54,1,47,Eb7,False,
54,2,50,Eb7,False,
54,3,37,Ab7,False,
54,4,45,Ab7,False,
55,1,44,Db7,False,
55,2,50,Db7,False,
55,3,49,Gb7,False,
55,4,43,Gb7,False,
56,1,42,Bj7,False,
56,2,49,Bj7,False,
56,3,40,Bj7,False,
56,4,37,Bj7,False,
57,1,45,D7,False,
57,2,44,D7,False,
57,3,50,G7,False,
57,4,50,G7,False,
58,1,43,C-6,False,
58,2,45,C-6,False,
58,3,45,C-6,False,
58,4,50,C-6,False,
59,1,48,F7,False,
59,2,37,F7,False,
59,3,45,Bb7,False,
59,4,51,Bb7,False,
60,1,42,Ebj7,False,
60,2,48,Ebj7,False,
60,3,50,Ebj7,False,
60,4,45,Ebj7,False,
61,1,51,D7,False,
61,2,49,D7,True,45
61,3,50,G7,False,
61,4,50,G7,False,
62,1,43,C-6,False,
62,2,45,C-6,False,
62,3,37,C-6,False,
62,4,50,C-6,False,
63,1,51,Ab7,False,
63,2,37,Ab7,False,
63,3,40,Ab7,False,
63,4,40,Ab7,False,
64,1,37,Ab7,False,
64,2,37,Ab7,False,
64,3,40,Ab7,False,
64,4,40,Ab7,False,
65,1,45,D7,False,
65,2,44,D7,False,
65,3,50,G7,False,
65,4,37,G7,False,
66,1,37,C-6,False,
