bar,beat,note,chord,replaced,original_value
1,1,43,Cj7,False,
1,2,47,Cj7,False,
1,3,50,A-7,False,
1,4,52,A-7,False,
2,1,45,D-7,False,
2,2,52,D-7,False,
2,3,43,G7,False,
2,4,45,G7,False,
3,1,47,E7,False,
3,2,47,E7,False,
3,3,52,Am7b5,False,
3,4,52,Am7b5,False,
4,1,45,D-7,False,
4,2,45,D-7,False,
4,3,50,Gsus7,False,
4,4,50,Gsus7,False,
5,1,43,Cj7,False,
5,2,43,Cj7,False,
5,3,40,A-7,False,
5,4,40,A-7,False,
6,1,45,D-7,False,
6,2,33,D-7,False,
6,3,38,G7,False,
6,4,38,G7,False,
7,1,35,E7,False,
7,2,35,E7,False,
7,3,40,A7,False,
7,4,47,A7,False,
8,1,45,D-7,False,
8,2,33,D-7,False,
8,3,38,Gsus7,False,
8,4,37,Gsus7,False,
9,1,43,Cj7,False,
9,2,42,Cj7,False,
9,3,40,A-7,False,
9,4,52,A-7,False,
10,1,33,D-7,False,
10,2,48,D-7,False,
10,3,38,G7,False,
10,4,42,G7,False,
11,1,47,E7,False,
11,2,49,E7,False,
11,3,52,Am7b5,False,
11,4,43,Am7b5,False,
12,1,45,D7,False,
12,2,49,D7,False,
12,3,46,Gsus7,True,50
12,4,38,Gsus7,False,
13,1,38,Cj7,False,
13,2,43,Cj7,False,
13,3,38,A-7,False,
13,4,40,A-7,False,
14,1,45,D-7,False,
14,2,48,D-7,False,
14,3,50,G7,False,
14,4,42,G7,False,
15,1,44,C6,False,
15,2,38,C6,False,
15,3,41,Bb7,False,
15,4,42,Bb7,False,
16,1,43,Cj7,False,
16,2,47,Cj7,False,
16,3,50,Cj7,False,
16,4,52,Cj7,False,
17,1,47,E-7,False,
17,2,51,E-7,False,
17,3,52,A7,False,
17,4,44,A7,False,
18,1,47,E-7,False,
18,2,50,E-7,False,
18,3,52,A7,False,
18,4,44,A7,False,
19,1,45,Dj7,False,
19,2,52,Dj7,False,
19,3,42,Gj7,False,
19,4,52,Gj7,False,
20,1,45,Dj7,False,
20,2,49,Dj7,False,
20,3,52,Dj7,False,
20,4,51,Dj7,False,
21,1,45,D-7,False,
21,2,48,D-7,False,
21,3,50,G7,False,
21,4,42,G7,False,
22,1,45,D-7,False,
22,2,48,D-7,False,
22,3,43,G7,True,50
22,4,42,G7,False,
23,1,35,E-7,False,
23,2,42,E-7,False,
23,3,40,A7,False,
23,4,44,A7,False,
24,1,45,D7,False,
24,2,49,D7,False,
24,3,50,Gsus7,False,
24,4,50,Gsus7,False,
25,1,43,Cj7,False,
25,2,42,Cj7,False,
25,3,40,A-7,False,
25,4,40,A-7,False,
26,1,45,D-7,False,
26,2,37,D-7,False,
26,3,50,G7,False,
26,4,38,G7,False,
27,1,35,E7,False,
27,2,42,E7,False,
27,3,40,A7,False,
27,4,52,A7,False,
28,1,45,D7,False,
28,2,50,D7,False,
28,3,50,Gsus7,False,
28,4,38,Gsus7,False,
29,1,43,Cj7,False,
29,2,42,Cj7,False,
29,3,40,A79b,False,
29,4,52,A79b,False,
30,1,45,D-7,False,
30,2,48,D-7,False,
30,3,38,G7,False,
30,4,37,G7,False,
31,1,43,C6,False,
31,2,47,C6,False,
31,3,41,C6,False,
31,4,42,C6,False,
32,1,43,D-7,False,
32,2,47,D-7,False,
32,3,45,G7,False,
32,4,45,G7,False,
33,1,43,Cj7,False,
33,2,43,Cj7,False,
33,3,40,A-7,False,
33,4,40,A-7,False,
34,1,45,D-7,False,
34,2,50,D-7,False,
34,3,50,G7,False,
34,4,38,G7,False,
35,1,35,E7,False,
35,2,47,E7,False,
35,3,43,A7,False,
35,4,40,A7,False,
36,1,45,D7,False,
36,2,50,D7,False,
36,3,50,Gsus7,False,
36,4,45,Gsus7,False,
37,1,43,Cj7,False,
37,2,42,Cj7,False,
37,3,40,A-7,False,
37,4,40,A-7,False,
38,1,44,D-7,False,
38,2,38,D-7,False,
38,3,42,G7,False,
38,4,42,G7,False,
39,1,43,E7,False,
39,2,45,E7,False,
39,3,40,A7,False,
39,4,44,A7,False,
40,1,45,D7,False,
40,2,45,D7,False,
40,3,50,Gsus7,False,
40,4,50,Gsus7,False,
41,1,43,Cj7,False,
41,2,42,Cj7,False,
41,3,40,A-7,False,
41,4,38,A-7,False,
42,1,45,D-7,False,
42,2,40,D-7,False,
42,3,38,G7,False,
42,4,42,G7,False,
43,1,42,E7,False,
43,2,47,E7,False,
43,3,41,A7,False,
43,4,34,A7,False,
44,1,46,D7,True,40
44,2,45,D7,False,
44,3,39,Gsus7,False,
44,4,44,Gsus7,False,
45,1,43,Cj7,False,
45,2,39,Cj7,False,
45,3,40,A-7,False,
45,4,52,A-7,False,
46,1,45,D-7,False,
46,2,48,D-7,False,
46,3,50,G7,False,
46,4,45,G7,False,
47,1,43,C6,False,
47,2,42,C6,False,
47,3,41,Bb7,False,
47,4,42,Bb7,False,
48,1,43,Cj7,False,
48,2,47,Cj7,False,
48,3,50,Cj7,False,
48,4,50,Cj7,False,
49,1,47,E-7,False,
49,2,47,E-7,False,
49,3,44,A7,False,
49,4,40,A7,True,40
50,1,47,E-7,False,
50,2,50,E-7,False,
50,3,44,A7,False,
50,4,44,A7,False,
51,1,45,Dj7,False,
51,2,45,Dj7,False,
51,3,43,Gj7,False,
51,4,42,Gj7,False,
52,1,45,Dj7,False,
52,2,49,Dj7,False,
52,3,52,Dj7,False,
52,4,42,Dj7,False,
53,1,45,D-7,False,
53,2,48,D-7,False,
53,3,42,G7,False,
53,4,38,G7,False,
54,1,45,D-7,False,
54,2,48,D-7,False,
54,3,50,G7,False,
54,4,51,G7,False,
55,1,47,E-7,False,
55,2,50,E-7,False,
55,3,52,A7,False,
55,4,44,A7,False,
56,1,45,D7,False,
56,2,49,D7,False,
56,3,42,Gsus7,False,
56,4,38,Gsus7,False,
57,1,43,Cj7,False,
57,2,42,Cj7,False,
57,3,41,A-7,False,
57,4,40,A-7,False,
58,1,45,D-7,False,
58,2,45,D-7,False,
58,3,50,G7,False,
58,4,38,G7,False,
59,1,42,E7,False,
59,2,47,E7,False,
59,3,41,A7,False,
59,4,34,A7,False,
60,1,40,D7,False,
60,2,45,D7,False,
60,3,39,Gsus7,False,
60,4,44,Gsus7,False,
61,1,43,Cj7,False,
61,2,43,Cj7,False,
61,3,40,A79b,False,
61,4,52,A79b,False,
62,1,45,D-7,False,
62,2,51,D-7,False,
62,3,50,G7,False,
62,4,38,G7,False,
63,1,43,C6,False,
63,2,43,C6,False,
63,3,41,C6,False,
63,4,42,C6,False,
64,1,43,D-7,False,
64,2,47,D-7,False,
64,3,45,G7,False,
64,4,50,G7,False,
65,1,43,Cj7,False,
65,2,42,Cj7,False,
65,3,52,A-7,False,
65,4,38,A-7,False,
66,1,38,D-7,False,
66,2,45,D-7,False,
66,3,45,G7,False,
66,4,38,G7,False,
67,1,35,E7,False,
67,2,42,E7,False,
67,3,40,A7,False,
67,4,43,A7,False,
68,1,45,D7,False,
68,2,49,D7,False,
68,3,52,Gsus7,False,
68,4,50,Gsus7,False,
69,1,43,Cj7,False,
69,2,42,Cj7,False,
69,3,40,A-7,False,
69,4,52,A-7,False,
70,1,45,D-7,False,
70,2,50,D-7,False,
70,3,50,G7,False,
70,4,38,G7,False,
71,1,47,E7,False,
71,2,51,E7,False,
71,3,52,A7,False,
71,4,44,A7,False,
72,1,45,D7,False,
72,2,37,D7,False,
72,3,38,Gsus7,False,
72,4,41,Gsus7,False,
73,1,43,Cj7,False,
73,2,47,Cj7,False,
73,3,40,A-7,False,
73,4,43,A-7,False,
74,1,45,D-7,False,
74,2,48,D-7,False,
74,3,50,G7,False,
74,4,42,G7,False,
75,1,47,E7,False,
75,2,47,E7,False,
75,3,52,A7,False,
75,4,43,A7,False,
76,1,45,D7,False,
76,2,49,D7,False,
76,3,50,Gsus7,False,
76,4,50,Gsus7,False,
77,1,43,Cj7,False,
77,2,42,Cj7,False,
77,3,40,A-7,False,
77,4,47,A-7,False,
78,1,45,D-7,False,
78,2,45,D-7,False,
78,3,38,G7,False,
78,4,38,G7,False,
79,1,43,C6,False,
79,2,43,C6,False,
79,3,41,Bb7,False,
79,4,47,Bb7,False,
80,1,43,Cj7,False,
80,2,50,Cj7,False,
80,3,38,Cj7,False,
80,4,50,Cj7,False,
81,1,47,E-7,False,
81,2,47,E-7,False,
81,3,43,A7,False,
81,4,40,A7,False,
82,1,47,E-7,False,
82,2,50,E-7,False,
82,3,51,A7,False,
82,4,48,A7,False,
83,1,45,Dj7,False,
83,2,52,Dj7,False,
83,3,51,Gj7,False,
83,4,52,Gj7,False,
84,1,45,Dj7,False,
84,2,37,Dj7,False,
84,3,38,Dj7,False,
84,4,43,Dj7,False,
85,1,49,D-7,False,
85,2,49,D-7,False,
85,3,45,G7,False,
85,4,38,G7,False,
86,1,38,D-7,False,
86,2,42,D-7,False,
86,3,43,G7,False,
86,4,38,G7,False,
87,1,47,E7,False,
87,2,50,E7,False,
87,3,50,A7,False,
87,4,44,A7,False,
88,1,45,D7,False,
88,2,49,D7,False,
88,3,38,Gsus7,False,
88,4,40,Gsus7,False,
89,1,43,Cj7,False,
89,2,42,Cj7,False,
89,3,40,A-7,False,
89,4,47,A-7,False,
90,1,45,D-7,False,
90,2,50,D-7,False,
90,3,50,G7,False,
90,4,50,G7,False,
91,1,42,E7,False,
91,2,47,E7,False,
91,3,41,A7,False,
91,4,34,A7,False,
92,1,40,D7,False,
92,2,45,D7,False,
92,3,39,Gsus7,False,
92,4,44,Gsus7,False,
93,1,43,Cj7,False,
93,2,42,Cj7,False,
93,3,40,A79b,False,
93,4,43,A79b,True,47
94,1,45,D-7,False,
94,2,51,D-7,False,
94,3,52,G7,True,50
94,4,50,G7,False,
95,1,43,C6,False,
95,2,43,C6,False,
95,3,44,C6,False,
95,4,42,C6,False,
96,1,43,D-7,False,
96,2,42,D-7,False,
96,3,42,G7,False,
96,4,42,G7,False,
97,1,43,G7,False,
97,2,42,G7,False,
97,3,52,G7,False,
97,4,37,G7,False,
98,1,51,G7,False,
98,2,43,G7,False,
98,3,42,G7,False,
