bar,beat,note,chord,replaced,original_value
1,1,37,Dj7,False,
1,2,45,Dj7,False,
1,3,45,Dj7,False,
1,4,45,Dj7,False,
2,1,45,Dj7,False,
2,2,45,Dj7,False,
2,3,45,Bb7,False,
2,4,33,Bb7,False,
3,1,41,Bj7,False,
3,2,42,Bj7,False,
3,3,48,Bj7,False,
3,4,49,Bj7,False,
4,1,50,Abj7,False,
4,2,50,Abj7,False,
4,3,38,Abj7,False,
4,4,50,Abj7,False,
5,1,48,Fm7b5,False,
5,2,48,Fm7b5,False,
5,3,48,Fm7b5,False,
5,4,48,Fm7b5,False,
6,1,50,Bb7,False,
6,2,48,Bb7,False,
6,3,45,Bb7,False,
6,4,45,Bb7,False,
7,1,47,Ej7911#,False,
7,2,47,Ej7911#,False,
7,3,48,Ej7911#,False,
7,4,49,Ej7911#,False,
8,1,48,Ej7911#,False,
8,2,48,Ej7911#,False,
8,3,49,Ej7911#,False,
8,4,47,Ej7911#,False,
9,1,48,Ej7911#,False,
9,2,37,Ej7911#,False,
9,3,48,Ej7911#,False,
9,4,48,Ej7911#,False,
10,1,48,Ej7911#,False,
10,2,49,Ej7911#,False,
10,3,37,Eb7,False,
10,4,47,Eb7,False,
11,1,51,Abj7,False,
11,2,51,Abj7,False,
11,3,47,Abj7,False,
11,4,48,Abj7,False,
12,1,50,G7913,False,
12,2,37,G7913,False,
12,3,42,G7913,False,
12,4,50,G7913,False,
13,1,49,Gb7913,False,
13,2,50,Gb7913,False,
13,3,43,Gb7913,False,
13,4,44,Gb7913,False,
14,1,40,Cbj7,False,
14,2,40,Cbj7,False,
14,3,40,F7,False,
14,4,40,F7,False,
15,1,37,F7,False,
15,2,43,F7,False,
15,3,50,F7,False,
15,4,43,F7,False,
16,1,38,F7,False,
16,2,42,F7,False,
16,3,43,F7,False,
16,4,48,F7,False,
17,1,37,Gj7,False,
17,2,37,Gj7,False,
17,3,42,Aj7,False,
17,4,37,Aj7,False,
18,1,42,Bj7,False,
18,2,37,Bj7,False,
18,3,37,Cj7911#,False,
18,4,45,Cj7911#,False,
19,1,45,Dj7,False,
19,2,37,Dj7,False,
19,3,49,Dj7,False,
19,4,47,Dj7,False,
20,1,45,Dj7,False,
20,2,45,Dj7,False,
20,3,41,Bb7,False,
20,4,42,Bb7,False,
21,1,42,Bj7,False,
21,2,49,Bj7,False,
21,3,42,Bj7,False,
21,4,49,Bj7,False,
22,1,50,Abj7,False,
22,2,50,Abj7,False,
22,3,51,Abj7,False,
22,4,51,Abj7,False,
23,1,48,Fm7b5,False,
23,2,50,Fm7b5,False,
23,3,51,Fm7b5,False,
23,4,52,Fm7b5,False,
24,1,50,Bb7,False,
24,2,51,Bb7,False,
24,3,48,Bb7,False,
24,4,42,Bb7,False,
25,1,47,Ej7,False,
25,2,42,Ej7,False,
25,3,47,Ej7,False,
25,4,47,Ej7,False,
26,1,43,Ej7,False,
26,2,47,Ej7,False,
26,3,42,Ej7,False,
26,4,45,Ej7,False,
27,1,47,Ej7,False,
27,2,48,Ej7,False,
27,3,49,Ej7,False,
27,4,42,Ej7,False,
28,1,49,Ej7,False,
28,2,38,Eb7,False,
28,3,37,Eb7,False,
28,4,51,Abj7,False,
29,1,43,Abj7,False,
29,2,48,Abj7,False,
29,3,37,Abj7,False,
29,4,50,G7913,False,
30,1,37,G7913,False,
30,2,42,G7913,False,
30,3,49,G7913,False,
30,4,49,Gb7913,False,
31,1,50,Gb7913,False,
31,2,43,Gb7,False,
31,3,37,Gb7,False,
31,4,38,Cbj7,False,
32,1,40,Cbj7,False,
32,2,45,F7,False,
32,3,50,F7,False,
32,4,52,F79,False,
33,1,51,F79,False,
33,2,50,F79,False,
33,3,48,F79,False,
33,4,48,F79,False,
34,1,50,F79,False,
34,2,43,F79,False,
34,3,48,F79,False,
34,4,50,Gj7,False,
35,1,42,Gj7,False,
35,2,37,Aj7,False,
35,3,37,Aj7,False,
35,4,42,Bj7,False,
36,1,42,Bj7,False,
36,2,43,Cj7911#,False,
36,3,43,Cj7911#,False,
36,4,45,Dj7,False,
37,1,43,Dj7,False,
37,2,42,Dj7,False,
37,3,49,Dj7,False,
37,4,40,Dj7,False,
38,1,50,Dj7,False,
38,2,48,Bb7,False,
38,3,48,Bb7,False,
38,4,42,Bj7,False,
39,1,47,Bj7,False,
39,2,49,Bj7,False,
39,3,44,Bj7,False,
39,4,50,Abj7,False,
40,1,50,Abj7,False,
40,2,51,Abj7,False,
40,3,51,Abj7,False,
40,4,48,Fm7b5,False,
41,1,49,Fm7b5,False,
41,2,37,Fm7b5,False,
41,3,37,Fm7b5,False,
41,4,38,Bb7,False,
42,1,50,Bb7,False,
42,2,50,Bb7,False,
42,3,47,Bb7,False,
42,4,47,Ej7911#,False,
43,1,48,Ej7911#,False,
43,2,37,Ej7911#,False,
43,3,48,Ej7911#,False,
43,4,47,Ej7911#,False,
44,1,37,Ej7911#,False,
44,2,40,Ej7911#,True,37
44,3,48,Ej7911#,False,
44,4,48,Ej7911#,False,
45,1,47,Ej7911#,False,
45,2,37,Ej7911#,False,
45,3,48,Ej7911#,False,
45,4,47,Ej7911#,False,
46,1,47,Ej7911#,False,
46,2,50,Eb7,False,
46,3,37,Eb7,False,
46,4,51,Abj7,False,
47,1,42,Abj7,False,
47,2,43,Abj7,False,
47,3,48,Abj7,False,
47,4,50,G7,False,
48,1,37,G7,False,
48,2,42,G7,False,
48,3,50,G7,False,
48,4,49,Gb7913,False,
49,1,44,Gb7913,False,
49,2,44,Gb7913,False,
49,3,42,Gb7913,False,
49,4,48,Cbj7,False,
50,1,40,Cbj7,False,
50,2,43,F7,False,
50,3,45,F7,False,
50,4,50,F79,False,
51,1,50,F79,False,
51,2,48,F79,False,
51,3,52,F79,False,
51,4,41,F79,False,
52,1,42,F79,False,
52,2,43,F79,False,
52,3,50,F79,False,
52,4,50,Gj7,False,
53,1,50,Gj7,False,
53,2,37,Aj7,False,
53,3,42,Aj7,False,
53,4,37,Bj7,False,
54,1,43,Bj7,False,
54,2,38,Cj7911#,False,
54,3,37,Cj7911#,False,
54,4,37,Dj7,False,
55,1,37,Dj7,False,
55,2,39,Dj7,False,
55,3,44,Dj7,False,
55,4,37,Dj7,False,
56,1,37,Dj7,False,
56,2,37,Bb7,False,
56,3,44,Bb7,False,
56,4,37,Bj7,False,
57,1,44,Bj7,False,
57,2,44,Bj7,False,
57,3,45,Bj7,False,
57,4,45,Abj7,False,
58,1,50,Abj7,False,
58,2,51,Abj7,False,
58,3,37,Abj7,False,
58,4,48,Fm7b5,True,48
59,1,42,Fm7b5,False,
59,2,51,Fm7b5,False,
59,3,48,Fm7b5,False,
