bar,beat,note,chord,replaced,original_value
1,1,38,D-,False,
1,2,38,D-,False,
1,3,38,D-,False,
1,4,40,D-,False,
2,1,50,G-,False,
2,2,50,G-,False,
2,3,50,G-,False,
2,4,40,G-,False,
3,1,40,D-,False,
3,2,38,D-,False,
3,3,38,D-,False,
3,4,40,D-,False,
4,1,40,G-,False,
4,2,50,G-,False,
4,3,50,G-,False,
4,4,38,G-,False,
5,1,44,D-,False,
5,2,38,D-,False,
5,3,38,D-,False,
5,4,38,D-,False,
6,1,50,G-,False,
6,2,50,G-,False,
6,3,50,G-,False,
6,4,38,G-,False,
7,1,40,D-,False,
7,2,38,D-,False,
7,3,38,D-,False,
7,4,38,D-,False,
8,1,50,G-,False,
8,2,50,G-,False,
8,3,50,G-,False,
8,4,38,G-,False,
9,1,51,Abj7,False,
9,2,38,Abj7,False,
9,3,45,Abj7,False,
9,4,45,Abj7,False,
10,1,50,G-,False,
10,2,50,G-,False,
10,3,41,G-,False,
10,4,41,G-,False,
11,1,51,Abj7,False,
11,2,45,Abj7,False,
11,3,45,Abj7,False,
11,4,45,Abj7,False,
12,1,47,G-,False,
12,2,47,G-,False,
12,3,52,A7,False,
12,4,40,A7,False,
13,1,44,D-,False,
13,2,38,D-,False,
13,3,38,D-,False,
13,4,38,D-,False,
14,1,50,G-,False,
14,2,50,G-,False,
14,3,50,G-,False,
14,4,40,G-,False,
15,1,44,D-,False,
15,2,38,D-,False,
15,3,38,D-,False,
15,4,37,D-,False,
16,1,50,G-,False,
16,2,50,G-,False,
16,3,50,G-,False,
16,4,38,G-,False,
17,1,50,D-,False,
17,2,40,D-,False,
17,3,38,D-,False,
17,4,40,D-,False,
18,1,44,G-,True,40
18,2,50,G-,False,
18,3,50,G-,False,
18,4,38,G-,False,
19,1,50,D-,False,
19,2,40,D-,False,
19,3,38,D-,False,
19,4,40,D-,False,
20,1,50,G-,False,
20,2,39,G-,True,49
20,3,50,G-,False,
20,4,50,G-,False,
21,1,38,D-,False,
21,2,38,D-,False,
21,3,38,D-,False,
21,4,40,D-,False,
22,1,50,G-,False,
22,2,50,G-,False,
22,3,50,G-,False,
22,4,40,G-,False,
23,1,38,D-,False,
23,2,38,D-,False,
23,3,38,D-,False,
23,4,38,D-,False,
24,1,38,G-,False,
24,2,50,G-,False,
24,3,40,G-,False,
24,4,50,G-,False,
25,1,51,Abj7,False,
25,2,38,Abj7,False,
25,3,40,Abj7,False,
25,4,51,Abj7,False,
26,1,50,G-,False,
26,2,45,G-,False,
26,3,45,G-,False,
26,4,45,G-,False,
27,1,39,Abj7,False,
27,2,40,Abj7,False,
27,3,45,Abj7,False,
27,4,38,Abj7,False,
28,1,47,G-,False,
28,2,47,G-,False,
28,3,52,A7,False,
28,4,40,A7,False,
29,1,44,D-,False,
29,2,38,D-,False,
29,3,38,D-,False,
29,4,40,D-,False,
30,1,50,G-,False,
30,2,50,G-,False,
30,3,50,G-,False,
30,4,50,G-,False,
31,1,50,D-,False,
31,2,38,D-,False,
31,3,38,D-,False,
31,4,40,D-,False,
32,1,38,G-,False,
32,2,50,G-,False,
32,3,38,G-,False,
32,4,40,G-,False,
33,1,50,G-,False,
33,2,38,G-,False,
33,3,50,A7,False,
33,4,50,A7,False,
34,1,45,D-,False,
34,2,45,D-,False,
34,3,45,D-,False,
34,4,45,D-,False,
35,1,38,G-,False,
35,2,38,G-,False,
35,3,40,A7,False,
35,4,40,A7,False,
36,1,45,D-,False,
36,2,45,D-,False,
36,3,45,D-,False,
36,4,45,D-,False,
37,1,38,G-,False,
37,2,38,G-,False,
37,3,40,A7,False,
37,4,40,A7,False,
38,1,45,D-,False,
38,2,45,D-,False,
38,3,45,D-,False,
38,4,45,D-,False,
39,1,38,G-,False,
39,2,38,G-,False,
39,3,40,G-,False,
39,4,40,G-,False,
40,1,40,A7,False,
40,2,40,A7,False,
40,3,40,Eb7,False,
40,4,41,Eb7,False,
41,1,41,D-,False,
41,2,41,D-,False,
41,3,41,D-,False,
41,4,49,D-,True,40
42,1,45,A7,False,
42,2,38,A7,False,
42,3,50,Eb7,False,
42,4,40,Eb7,False,
43,1,45,D-,False,
43,2,38,D-,False,
43,3,38,D-,False,
43,4,40,D-,False,
44,1,50,G-,False,
44,2,50,G-,False,
44,3,50,G-,False,
44,4,38,G-,False,
45,1,44,D-,False,
45,2,38,D-,False,
45,3,38,D-,False,
45,4,40,D-,False,
46,1,50,G-,False,
46,2,50,G-,False,
46,3,50,G-,False,
46,4,50,G-,False,
47,1,38,D-,False,
47,2,38,D-,False,
47,3,38,D-,False,
47,4,40,D-,False,
48,1,50,Bb-,False,
48,2,50,Bb-,False,
48,3,50,Bb-,False,
48,4,38,Bb-,False,
49,1,50,D-,False,
49,2,38,D-,False,
49,3,38,D-,False,
49,4,38,D-,False,
50,1,38,G-,False,
50,2,50,G-,False,
50,3,38,G-,False,
50,4,38,G-,False,
51,1,38,D-,False,
51,2,38,D-,False,
