bar,beat,note,chord,replaced,original_value
1,1,48,F7,False,
1,2,47,F7,False,
1,3,45,F7,False,
1,4,45,F7,False,
2,1,43,Bb7,False,
2,2,40,Bb7,False,
2,3,41,Bb7,False,
2,4,42,Bb7,False,
3,1,43,F7,False,
3,2,45,F7,False,
3,3,50,F7,False,
3,4,38,F7,False,
4,1,52,F7,False,
4,2,43,F7,False,
4,3,48,F7,False,
4,4,42,F7,False,
5,1,41,Bb7,False,
5,2,42,Bb7,False,
5,3,43,Bb7,False,
5,4,45,Bb7,False,
6,1,47,Bb7,False,
6,2,47,Bb7,False,
6,3,48,Bb7,False,
6,4,50,Bb7,False,
7,1,51,F7,False,
7,2,52,F7,False,
7,3,40,F7,False,
7,4,51,F7,False,
8,1,40,A-7,False,
8,2,40,A-7,False,
8,3,45,D7,False,
8,4,38,D7,False,
9,1,50,G-7,False,
9,2,51,G-7,False,
9,3,52,G-7,False,
9,4,51,G-7,False,
10,1,50,C7,False,
10,2,49,C7,False,
10,3,48,C7,False,
10,4,47,C7,False,
11,1,34,F7,False,
11,2,45,F7,False,
11,3,44,F7,False,
11,4,42,F7,False,
12,1,43,C7,False,
12,2,44,C7,False,
12,3,45,C7,False,
12,4,47,C7,False,
13,1,48,F7,False,
13,2,42,F7,False,
13,3,43,F7,False,
13,4,47,F7,False,
14,1,47,Bb7,False,
14,2,42,Bb7,False,
14,3,43,Bb7,False,
14,4,47,Bb7,False,
15,1,48,F7,False,
15,2,42,F7,False,
15,3,42,F7,False,
15,4,45,F7,False,
16,1,48,F7,False,
16,2,38,F7,False,
16,3,33,F7,False,
16,4,33,F7,False,
17,1,42,Bb7,False,
17,2,52,Bb7,False,
17,3,51,Bb7,False,
17,4,50,Bb7,False,
18,1,48,Bb7,False,
18,2,45,Bb7,False,
18,3,47,Bb7,False,
18,4,47,Bb7,False,
19,1,48,F7,False,
19,2,50,F7,False,
19,3,51,F7,False,
19,4,51,F7,False,
20,1,51,A-7,False,
20,2,40,A-7,False,
20,3,45,D7,False,
