bar,beat,note,chord,replaced,original_value
1,1,47,Bbj7,False,
1,2,50,Bbj7,False,
1,3,37,Bbj7,False,
1,4,49,Bbj7,False,
2,1,49,Bbj7,False,
2,2,50,Bbj7,False,
2,3,48,Bbj7,False,
2,4,48,Bbj7,False,
3,1,50,F-7,False,
3,2,45,F-7,False,
3,3,45,F-7,False,
3,4,50,F-7,False,
4,1,50,Bb7,False,
4,2,48,Bb7,False,
4,3,48,Bb7,False,
4,4,42,Bb7,False,
5,1,47,Ebj7,False,
5,2,45,Ebj7,False,
5,3,47,Ebj7,False,
5,4,50,Ebj7,False,
6,1,51,Ebj7,False,
6,2,37,Ebj7,False,
6,3,50,Ebj7,False,
6,4,50,Ebj7,False,
7,1,50,Ab7,False,
7,2,47,Ab7,False,
7,3,49,Ab7,False,
7,4,45,Ab7,False,
8,1,51,Ab7,False,
8,2,51,Ab7,False,
8,3,37,Ab7,False,
8,4,50,Ab7,False,
9,1,50,Bbj7,False,
9,2,49,Bbj7,False,
9,3,49,Bbj7,False,
9,4,37,Bbj7,False,
10,1,37,G-7,False,
10,2,45,G-7,False,
10,3,50,G-7,False,
10,4,50,G-7,False,
11,1,45,C7,False,
11,2,50,C7,False,
11,3,47,C7,False,
11,4,48,C7,False,
12,1,49,C7,False,
12,2,47,C7,False,
12,3,50,C7,False,
12,4,50,C7,False,
13,1,50,C-7,False,
13,2,50,C-7,False,
13,3,49,C-7,False,
13,4,47,C-7,False,
14,1,45,Bo,False,
14,2,37,Bo,False,
14,3,45,Bo,False,
14,4,44,Bo,False,
15,1,44,C-7,False,
15,2,50,C-7,False,
15,3,50,C-7,False,
15,4,45,C-7,True,51
16,1,47,F+7,False,
16,2,47,F+7,False,
16,3,48,F+7,False,
16,4,49,F+7,False,
17,1,49,Bbj7,False,
17,2,45,Bbj7,False,
17,3,50,Bbj7,False,
17,4,45,Bbj7,False,
18,1,50,Bbj7,False,
18,2,47,Bbj7,False,
18,3,48,Bbj7,False,
18,4,47,Bbj7,False,
19,1,42,F-7,False,
19,2,47,F-7,False,
19,3,37,F-7,False,
19,4,38,F-7,False,
20,1,40,Bb7,False,
20,2,42,Bb7,False,
20,3,42,Bb7,False,
20,4,45,Bb7,False,
21,1,47,Ebj7,False,
21,2,47,Ebj7,False,
21,3,50,Ebj7,False,
21,4,50,Ebj7,False,
22,1,47,Ebj7,False,
22,2,47,Ebj7,False,
22,3,47,Ebj7,False,
22,4,47,Ebj7,False,
23,1,37,Ab7,False,
23,2,47,Ab7,False,
23,3,51,Ab7,False,
23,4,50,Ab7,False,
24,1,37,Ab7,False,
24,2,47,Ab7,False,
24,3,47,Ab7,False,
24,4,37,Ab7,False,
25,1,37,Bbj7,False,
25,2,47,Bbj7,False,
25,3,50,Bbj7,False,
25,4,42,Bbj7,False,
26,1,37,G-7,False,
26,2,37,G-7,False,
26,3,37,G-7,False,
26,4,50,G-7,False,
27,1,49,C7,False,
27,2,50,C7,False,
27,3,45,C7,False,
