bar,beat,note,chord,replaced,original_value
1,1,48,Ab6,True,39
1,2,43,Ab6,True,43
1,3,34,Ab6,True,39
1,4,36,Ab6,True,43
2,1,47,Ab6,True,39
2,2,45,Ab6,True,39
2,3,40,Ab6,True,43
2,4,47,Ab6,True,43
3,1,47,Ab-6,True,42
3,2,45,Ab-6,True,39
3,3,43,Ab-6,True,39
3,4,34,Ab-6,True,39
4,1,41,Db7,True,44
4,2,38,Db7,True,44
4,3,49,Db7,True,42
4,4,37,Db7,True,45
5,1,48,Ebj7,True,45
5,2,47,Ebj7,True,41
5,3,42,Ebj7,True,34
5,4,47,Ebj7,True,34
6,1,44,G-7,True,50
6,2,43,G-7,True,50
6,3,43,C7,True,47
6,4,43,C7,True,50
7,1,34,F-7,True,51
7,2,43,F-7,True,48
7,3,35,F-7,True,47
7,4,47,F-7,True,43
8,1,44,F-7,True,43
8,2,44,F-7,True,41
8,3,44,F-7,True,38
8,4,35,F-7,True,43
9,1,47,Ab-7,True,41
9,2,46,Ab-7,True,41
9,3,37,Ab-7,True,43
9,4,48,Ab-7,True,48
10,1,42,Db7,True,51
10,2,36,Db7,True,42
10,3,34,Db7,True,38
10,4,47,Db7,True,44
11,1,44,Eb,True,34
11,2,40,Eb,True,42
11,3,44,C-7,True,38
11,4,43,C-7,True,45
12,1,35,G-7,True,38
12,2,46,G-7,True,38
12,3,36,C7,True,43
12,4,42,C7,True,43
13,1,36,F-7,True,48
13,2,39,F-7,True,48
13,3,44,F-7,True,38
13,4,40,F-7,True,38
14,1,41,Bb7,True,39
14,2,48,Bb7,True,40
14,3,42,Bb7,True,41
14,4,39,Bb7,True,41
15,1,38,Eb7,True,34
15,2,44,Eb7,True,41
15,3,37,Eb7,True,34
15,4,37,Eb7,True,40
16,1,40,Ab7,True,39
16,2,38,Ab7,True,44
16,3,41,Ab7,True,43
16,4,48,Ab7,True,42
17,1,35,Eb7,True,41
17,2,46,Eb7,True,40
17,3,42,Eb7,True,38
17,4,36,Eb7,True,40
18,1,38,Ab7,True,39
18,2,49,Ab7,True,44
18,3,42,Ab7,True,43
18,4,41,Ab7,True,42
19,1,39,Eb7,True,41
19,2,38,Eb7,True,42
19,3,34,Eb7,True,41
19,4,36,Eb7,True,44
20,1,48,Ab7,True,43
20,2,44,Ab7,True,34
20,3,36,Ab7,True,45
20,4,47,Ab7,True,41
21,1,45,Eb7,True,34
21,2,48,Eb7,True,40
21,3,44,Eb7,True,38
21,4,41,Eb7,True,40
22,1,46,Ab7,True,39
22,2,45,Ab7,True,44
22,3,35,Ab7,True,43
22,4,42,Ab7,True,40
23,1,42,Eb7,True,41
23,2,34,Eb7,True,43
23,3,48,Eb7,True,44
23,4,44,Eb7,True,47
24,1,44,Ab7,True,34
24,2,49,Ab7,True,49
24,3,40,Ab7,True,48
24,4,44,Ab7,True,51
25,1,47,Eb7,True,50
25,2,48,Eb7,True,41
25,3,48,Eb7,True,51
25,4,42,Eb7,True,37
26,1,42,Ab7,True,49
26,2,39,Ab7,True,48
26,3,42,Ab7,True,40
26,4,48,Ab7,True,45
27,1,41,Eb7,True,44
27,2,48,Eb7,True,43
27,3,47,Eb7,True,41
27,4,36,Eb7,True,40
28,1,38,Ab7,True,39
28,2,49,Ab7,True,37
28,3,48,Ab7,True,48
28,4,34,Ab7,True,47
29,1,37,Eb7,True,34
29,2,36,Eb7,True,40
29,3,38,Eb7,True,38
29,4,48,Eb7,True,40
30,1,36,Ab7,True,39
30,2,34,Ab7,True,44
30,3,34,Ab7,True,43
30,4,41,Ab7,True,42
31,1,49,Eb7,True,34
31,2,40,Eb7,True,48
31,3,35,Eb7,True,49
31,4,45,Eb7,True,50
32,1,39,Ab7,True,49
32,2,46,Ab7,True,49
32,3,34,Ab7,True,49
32,4,39,Ab7,True,49
33,1,35,Eb7,True,50
33,2,43,Eb7,True,50
33,3,47,Eb7,True,50
33,4,38,Eb7,True,50
34,1,47,Ab7,True,49
34,2,35,Ab7,True,49
34,3,49,Ab7,True,48
34,4,40,Ab7,True,40
35,1,42,Eb7,True,41
35,2,43,Eb7,True,43
35,3,39,Eb7,True,44
35,4,36,Eb7,True,44
36,1,40,Ab7,True,43
36,2,47,Ab7,True,44
36,3,44,Ab7,True,43
36,4,37,Ab7,True,42
37,1,48,Eb7,True,41
37,2,48,Eb7,True,42
37,3,42,Eb7,True,41
37,4,44,Eb7,True,44
38,1,37,Ab7,True,43
38,2,43,Ab7,True,44
38,3,40,Ab7,True,43
38,4,47,Ab7,True,42
39,1,40,Eb7,True,41
39,2,49,Eb7,True,42
39,3,41,Eb7,True,41
39,4,38,Eb7,True,44
40,1,43,Ab7,True,43
40,2,34,Ab7,True,44
40,3,46,Ab7,True,43
40,4,42,Ab7,True,40
41,1,48,Eb7,True,41
41,2,35,Eb7,True,42
41,3,38,Eb7,True,41
41,4,46,Eb7,True,37
42,1,41,Ab7,True,39
42,2,49,Ab7,True,37
42,3,49,Ab7,True,48
42,4,44,Ab7,True,41
43,1,34,Eb7,True,34
43,2,34,Eb7,True,49
43,3,42,Eb7,True,50
43,4,49,Eb7,True,41
44,1,44,Ab7,True,51
44,2,39,Ab7,True,43
44,3,42,Ab7,True,51
44,4,45,Ab7,True,41
45,1,45,Eb7,True,50
45,2,44,Eb7,True,51
45,3,38,Eb7,True,52
45,4,36,Eb7,True,40
46,1,48,Ab7,True,39
46,2,38,Ab7,True,37
46,3,40,Ab7,True,39
46,4,37,Ab7,True,40
47,1,36,Eb7,True,34
47,2,36,Eb7,True,44
47,3,40,Eb7,True,45
47,4,43,Eb7,True,48
48,1,40,Ab7,True,49
48,2,48,Ab7,True,45
48,3,45,Ab7,True,41
48,4,37,Ab7,True,40
49,1,35,Eb7,True,41
49,2,39,Eb7,True,43
49,3,35,Eb7,True,44
49,4,45,Eb7,True,34
50,1,46,Ab7,True,49
50,2,40,Ab7,True,51
50,3,38,Ab7,True,43
50,4,36,Ab7,True,40
51,1,35,Eb7,True,41
51,2,36,Eb7,True,43
51,3,49,Eb7,True,44
51,4,35,Eb7,True,45
52,1,48,Ab7,True,48
52,2,36,Ab7,True,48
52,3,38,Ab7,True,41
52,4,47,Ab7,True,42
53,1,40,Eb7,True,41
53,2,36,Eb7,True,44
53,3,41,Eb7,True,43
53,4,48,Eb7,True,42
54,1,47,Ab7,True,33
54,2,44,Ab7,True,51
54,3,47,Ab7,True,40
54,4,39,Ab7,True,41
55,1,40,Eb7,True,41
55,2,36,Eb7,True,40
55,3,41,Eb7,True,38
55,4,38,Eb7,True,40
56,1,46,Ab7,True,43
56,2,35,Ab7,True,44
56,3,48,Ab7,True,48
56,4,38,Ab7,True,48
57,1,39,Eb7,True,50
57,2,48,Eb7,True,41
57,3,47,Eb7,True,41
57,4,47,Eb7,True,44
58,1,43,Ab7,True,43
58,2,34,Ab7,True,48
58,3,44,Ab7,True,49
58,4,46,Ab7,True,43
59,1,43,Eb7,True,44
59,2,43,Eb7,True,41
59,3,45,Eb7,True,34
59,4,44,Eb7,True,38
60,1,45,Ab7,True,37
60,2,46,Ab7,True,37
60,3,36,Ab7,True,39
60,4,45,Ab7,True,40
61,1,49,Eb7,True,38
61,2,39,Eb7,True,38
61,3,45,Eb7,True,39
61,4,43,Eb7,True,38
62,1,36,Ab7,True,37
62,2,48,Ab7,True,37
62,3,49,Ab7,True,37
62,4,37,Ab7,True,38
63,1,45,Eb7,True,38
63,2,46,Eb7,True,38
63,3,36,Eb7,True,40
63,4,49,Eb7,True,38
64,1,43,Ab7,True,37
64,2,45,Ab7,True,37
64,3,38,Ab7,True,39
64,4,49,Ab7,True,39
65,1,46,Eb7,True,38
65,2,49,Eb7,True,38
65,3,48,Eb7,True,39
65,4,39,Eb7,True,38
66,1,44,Ab7,True,37
66,2,36,Ab7,True,37
66,3,42,Ab7,True,39
66,4,38,Ab7,True,40
67,1,39,Eb7,True,38
67,2,48,Eb7,True,50
67,3,36,Eb7,True,38
67,4,48,Eb7,True,38
68,1,34,Ab7,True,37
68,2,36,Ab7,True,37
68,3,35,Ab7,True,39
68,4,47,Ab7,True,40
69,1,39,Eb7,True,34
69,2,41,Eb7,True,50
69,3,44,Eb7,True,41
69,4,46,Eb7,True,34
70,1,38,Ab7,True,51
70,2,36,Ab7,True,42
70,3,43,Ab7,True,43
70,4,36,Ab7,True,40
71,1,42,Eb7,True,34
71,2,41,Eb7,True,41
71,3,45,Eb7,True,34
71,4,37,Eb7,True,50
72,1,43,Ab7,True,49
72,2,48,Ab7,True,34
72,3,37,Ab7,True,49
72,4,34,Ab7,True,51
73,1,44,Eb7,True,37
73,2,37,Eb7,True,41
73,3,43,Eb7,True,42
