bar,beat,note,chord,replaced,original_value
1,1,36,Bbj7,True,41
1,2,42,Bbj7,True,45
1,3,37,G7,True,50
1,4,44,G7,True,37
2,1,46,C-7,True,43
2,2,51,C-7,True,37
2,3,34,C-7,True,43
2,4,42,C-7,True,37
3,1,48,Ab7,True,51
3,2,49,Ab7,True,37
3,3,42,G7,True,50
3,4,38,G7,True,37
4,1,45,C7,True,43
4,2,46,C7,True,37
4,3,41,C7,True,37
4,4,40,C7,True,50
5,1,48,C-7,True,43
5,2,43,C-7,True,37
5,3,36,F7,True,48
5,4,44,F7,True,37
6,1,44,Am7b5,True,43
6,2,48,Am7b5,True,37
6,3,50,D7,True,48
6,4,45,D7,True,45
7,1,42,G-7,True,50
7,2,50,G-7,True,37
7,3,35,C7,True,43
7,4,49,C7,True,37
8,1,44,Gb7,True,37
8,2,45,Gb7,True,37
8,3,38,F7,True,48
8,4,40,F7,True,48
9,1,45,Bbj7,True,41
9,2,43,Bbj7,True,45
9,3,45,G7,True,50
9,4,49,G7,True,37
10,1,34,C-7,True,43
10,2,36,C-7,True,37
10,3,38,C-7,True,43
10,4,39,C-7,True,50
11,1,51,Ab7,True,51
11,2,44,Ab7,True,37
11,3,34,G7,True,50
11,4,39,G7,True,50
12,1,41,C7,True,43
12,2,36,C7,True,37
12,3,48,C7,True,43
12,4,48,C7,True,37
13,1,34,C-7,True,34
13,2,42,C-7,True,37
13,3,42,Db-7,True,43
13,4,39,Db-7,True,37
14,1,49,Bbj7,True,48
14,2,45,Ebj7,True,37
14,3,37,G-7,True,47
14,4,47,C7,True,50
15,1,41,Gb7,True,43
15,2,42,Gb7,True,37
15,3,44,F7,True,37
15,4,38,F7,True,37
16,1,41,Bb6,True,41
16,2,40,Bb6,True,37
16,3,42,Bb6,True,48
16,4,50,Bb6,True,48
17,1,40,Bbj7,True,41
17,2,46,Bbj7,True,45
17,3,45,G7,True,50
17,4,50,G7,True,50
18,1,41,C-7,True,43
18,2,45,C-7,True,50
18,3,41,C-7,True,38
18,4,34,C-7,True,43
19,1,49,Ab7,True,51
19,2,48,Ab7,True,51
19,3,40,G7,True,50
19,4,46,G7,True,50
20,1,51,C7,True,43
20,2,37,C7,True,50
20,3,37,C7,True,47
20,4,37,C7,True,43
21,1,44,C-7,True,43
21,2,41,C-7,True,43
21,3,46,F7,True,48
21,4,43,F7,True,48
22,1,40,Am7b5,True,37
22,2,36,Am7b5,True,43
22,3,50,D7,True,48
22,4,34,D7,True,45
23,1,36,G-7,True,50
23,2,49,G-7,True,50
23,3,40,C7,True,43
23,4,38,C7,True,43
24,1,34,Gb7,True,37
24,2,47,Gb7,True,37
24,3,38,F7,True,48
24,4,50,F7,True,48
25,1,46,Bbj7,True,41
25,2,43,Bbj7,True,37
25,3,38,G7,True,50
25,4,39,G7,True,50
26,1,46,C-7,True,43
26,2,40,C-7,True,50
26,3,49,C-7,True,51
26,4,42,C-7,True,43
27,1,34,Ab7,True,51
27,2,48,Ab7,True,51
27,3,45,G7,True,50
27,4,47,G7,True,50
28,1,41,C7,True,43
28,2,40,C7,True,43
28,3,34,C7,True,50
28,4,43,C7,True,43
29,1,41,C-7,True,47
29,2,37,C-7,True,42
29,3,44,Db-7,True,43
29,4,46,Db-7,True,43
30,1,36,Bbj7,True,48
30,2,34,Ebj7,True,43
30,3,34,G-7,True,48
30,4,50,C7,True,50
31,1,46,Gb7,True,43
31,2,47,Gb7,True,43
31,3,50,F7,True,48
31,4,45,F7,True,48
32,1,36,Bb6,True,41
32,2,41,Bb6,True,37
32,3,35,Bb6,True,43
32,4,39,Bb6,True,48
33,1,41,Bbj7,True,41
