bar,beat,note,chord,replaced,original_value
1,1,40,C-69,True,43
1,2,40,C-69,True,38
1,3,40,C-69,True,38
1,4,40,C-69,True,38
2,1,40,Dm7b5,True,44
2,2,40,Dm7b5,True,45
2,3,40,G7,True,38
2,4,40,G7,True,44
3,1,40,Gm7b5,True,43
3,2,40,Gm7b5,True,38
3,3,40,C79b,True,43
3,4,40,C79b,True,37
4,1,40,F-6,True,37
4,2,40,F-6,True,38
4,3,40,F-6,True,38
4,4,40,F-6,True,38
5,1,40,Dm7b5,True,45
5,2,40,Dm7b5,True,45
5,3,40,Dm7b5,True,37
5,4,40,Dm7b5,True,38
6,1,40,G79b,True,38
6,2,40,G79b,True,45
6,3,40,G79b,True,38
6,4,40,G79b,True,42
7,1,40,Cj7,True,43
7,2,40,Cj7,True,38
7,3,40,Cj7,True,38
7,4,40,Cj7,True,38
8,1,40,Dm7b5,True,37
8,2,40,Dm7b5,True,45
8,3,40,G7,True,38
8,4,40,G7,True,40
9,1,40,C-69,True,43
9,2,40,C-69,True,38
9,3,40,C-69,True,40
9,4,40,C-69,True,38
10,1,40,Dm7b5,True,45
10,2,40,Dm7b5,True,40
10,3,40,G7,True,38
10,4,40,G7,True,45
11,1,40,Gm7b5,True,43
11,2,40,Gm7b5,True,37
11,3,40,C79b,True,38
11,4,40,C79b,True,38
12,1,40,F-6,True,38
12,2,40,F-6,True,43
12,3,40,F-6,True,45
12,4,40,F-6,True,45
13,1,40,Dm7b5,True,45
13,2,40,Dm7b5,True,45
13,3,40,Dm7b5,True,38
13,4,40,Dm7b5,True,40
14,1,40,G79b,True,39
14,2,40,G79b,True,38
14,3,40,G79b,True,40
14,4,40,G79b,True,40
15,1,40,Cj7,True,40
15,2,40,Cj7,True,40
15,3,40,Cj7,True,40
15,4,40,Cj7,True,40
16,1,40,C7,True,40
16,2,40,C7,True,40
16,3,40,C7,True,40
16,4,40,C7,True,40
17,1,40,Ab7,True,40
17,2,40,Ab7,True,40
17,3,40,Ab7,True,40
17,4,40,Ab7,True,40
18,1,40,Am7b5,True,38
18,2,40,Am7b5,True,40
18,3,40,D79b,True,40
18,4,40,D79b,True,40
19,1,40,G7,True,40
19,2,40,G7,True,40
19,3,40,G7,True,40
19,4,40,G7,True,40
20,1,40,G7,True,40
20,2,40,G7,True,40
20,3,40,G7,True,40
20,4,40,G7,True,40
21,1,40,Ab7,True,40
21,2,40,Ab7,True,40
21,3,40,Ab7,True,40
21,4,40,Ab7,True,40
22,1,40,Am7b5,True,40
22,2,40,Am7b5,True,38
22,3,40,D79b,True,38
22,4,40,D79b,True,45
23,1,40,G7,True,39
23,2,40,G7,True,38
23,3,40,Ab7,True,38
23,4,40,Ab7,True,44
24,1,40,G7,True,40
24,2,40,G7,True,40
24,3,40,Db7911#,True,40
