bar,beat,note,chord,replaced,original_value
1,1,48,D-7,True,47
1,2,36,D-7,True,40
1,3,52,D-7,True,45
1,4,49,D-7,True,47
2,1,46,D-7,True,48
2,2,49,D-7,True,52
2,3,33,D-7,True,43
2,4,52,D-7,True,44
3,1,40,D-7,True,44
3,2,44,D-7,True,32
3,3,47,D-7,True,32
3,4,41,D-7,True,32
4,1,44,D-7,True,44
4,2,47,D-7,True,44
4,3,48,D-7,True,43
4,4,50,D-7,True,41
5,1,44,D-7,True,51
5,2,33,D-7,True,50
5,3,38,D-7,True,48
5,4,35,D-7,True,47
6,1,49,D-7,True,45
6,2,37,D-7,True,43
6,3,42,D-7,True,42
6,4,33,D-7,True,41
7,1,36,D-7,True,40
7,2,33,D-7,True,42
7,3,49,D-7,True,47
7,4,42,D-7,True,40
8,1,33,D-7,True,45
8,2,41,D-7,True,47
8,3,37,D-7,True,48
8,4,46,D-7,True,52
9,1,47,D-7,True,45
9,2,34,D-7,True,44
9,3,49,D-7,True,43
9,4,35,D-7,True,42
10,1,45,D-7,True,41
10,2,34,D-7,True,40
10,3,47,D-7,True,45
10,4,38,D-7,True,47
11,1,52,D-7,True,48
11,2,34,D-7,True,51
11,3,50,D-7,True,43
11,4,37,D-7,True,44
12,1,46,D-7,True,44
12,2,47,D-7,True,43
12,3,48,D-7,True,45
12,4,37,D-7,True,43
13,1,47,D-7,True,45
13,2,49,D-7,True,43
13,3,34,D-7,True,42
13,4,49,D-7,True,40
14,1,41,D-7,True,45
14,2,49,D-7,True,47
14,3,52,D-7,True,48
14,4,34,D-7,True,51
15,1,50,D-7,True,44
15,2,41,D-7,True,32
15,3,47,D-7,True,32
15,4,48,D-7,True,32
16,1,42,D-7,True,44
16,2,46,D-7,True,44
16,3,50,D-7,True,43
16,4,37,D-7,True,37
17,1,45,Eb-7,True,43
17,2,36,Eb-7,True,43
17,3,40,Eb-7,True,37
17,4,46,Eb-7,True,51
18,1,43,Eb-7,True,51
18,2,43,Eb-7,True,49
18,3,39,Eb-7,True,48
18,4,45,Eb-7,True,42
19,1,33,Eb-7,True,43
19,2,37,Eb-7,True,42
19,3,50,Eb-7,True,43
19,4,41,Eb-7,True,48
20,1,46,Eb-7,True,51
20,2,50,Eb-7,True,42
20,3,43,Eb-7,True,43
20,4,34,Eb-7,True,38
21,1,36,Eb-7,True,32
21,2,39,Eb-7,True,32
21,3,36,Eb-7,True,44
21,4,47,Eb-7,True,43
22,1,46,Eb-7,True,37
22,2,42,Eb-7,True,51
22,3,34,Eb-7,True,51
22,4,43,Eb-7,True,49
23,1,42,Eb-7,True,48
23,2,43,Eb-7,True,42
23,3,34,Eb-7,True,38
23,4,40,Eb-7,True,42
24,1,34,Eb-7,True,43
24,2,35,Eb-7,True,48
24,3,34,Eb-7,True,43
24,4,47,Eb-7,True,48
25,1,42,D-7,True,40
25,2,39,D-7,True,45
25,3,39,D-7,True,47
25,4,34,D-7,True,48
26,1,49,D-7,True,51
26,2,37,D-7,True,43
26,3,39,D-7,True,43
26,4,39,D-7,True,32
27,1,51,D-7,True,32
27,2,47,D-7,True,32
27,3,43,D-7,True,43
27,4,44,D-7,True,44
28,1,45,D-7,True,44
28,2,35,D-7,True,43
28,3,35,D-7,True,37
28,4,33,D-7,True,51
29,1,52,D-7,True,51
29,2,39,D-7,True,40
29,3,42,D-7,True,42
29,4,42,D-7,True,43
30,1,41,D-7,True,45
30,2,42,D-7,True,47
30,3,36,D-7,True,48
30,4,43,D-7,True,40
31,1,50,D-7,True,45
31,2,52,D-7,True,43
31,3,35,D-7,True,42
31,4,33,D-7,True,41
32,1,45,D-7,True,40
32,2,49,D-7,True,37
32,3,34,D-7,True,47
32,4,48,D-7,True,40
33,1,33,D-7,True,45
33,2,47,D-7,True,47
33,3,50,D-7,True,48
33,4,33,D-7,True,51
34,1,46,D-7,True,44
34,2,45,D-7,True,32
34,3,33,D-7,True,32
34,4,52,D-7,True,32
35,1,37,D-7,True,43
35,2,43,D-7,True,32
35,3,49,D-7,True,32
35,4,52,D-7,True,32
36,1,43,D-7,True,32
36,2,38,D-7,True,32
36,3,45,D-7,True,32
36,4,33,D-7,True,32
37,1,46,D-7,True,32
37,2,36,D-7,True,32
37,3,47,D-7,True,44
37,4,34,D-7,True,43
38,1,35,D-7,True,44
38,2,51,D-7,True,44
38,3,41,D-7,True,43
38,4,50,D-7,True,41
39,1,43,D-7,True,51
39,2,37,D-7,True,50
39,3,52,D-7,True,48
39,4,51,D-7,True,47
40,1,40,D-7,True,45
40,2,37,D-7,True,43
40,3,47,D-7,True,42
40,4,42,D-7,True,40
41,1,34,D-7,True,45
