bar,beat,note,chord,replaced,original_value
1,1,45,F-7,True,44
1,2,46,F-7,True,37
1,3,39,F-7,True,40
1,4,35,F-7,True,45
2,1,36,F-7,True,38
2,2,48,F-7,True,42
2,3,37,F-7,True,43
2,4,49,F-7,True,47
3,1,34,F-7,True,48
3,2,43,F-7,True,51
3,3,37,F-7,True,50
3,4,35,F-7,True,44
4,1,36,F-7,True,44
4,2,46,F-7,True,45
4,3,43,F-7,True,47
4,4,50,F-7,True,50
5,1,44,F-7,True,48
5,2,35,F-7,True,51
5,3,48,F-7,True,41
5,4,38,F-7,True,42
6,1,42,F-7,True,43
6,2,37,F-7,True,48
6,3,45,F-7,True,44
6,4,39,F-7,True,50
7,1,51,G7,True,50
7,2,45,G7,True,50
7,3,50,G7,True,42
7,4,44,G7,True,45
8,1,51,C7,True,44
8,2,45,C7,True,47
8,3,36,C7,True,50
8,4,50,C7,True,50
9,1,39,F-7,True,48
9,2,50,F-7,True,47
9,3,36,F-7,True,45
9,4,34,F-7,True,44
10,1,42,F-7,True,44
10,2,38,F-7,True,41
10,3,45,F-7,True,38
10,4,39,F-7,True,50
11,1,33,F-7,True,48
11,2,41,F-7,True,40
11,3,39,F-7,True,45
11,4,47,F-7,True,44
12,1,50,F-7,True,44
12,2,48,F-7,True,45
12,3,37,F-7,True,47
12,4,50,F-7,True,47
13,1,42,F7,True,48
13,2,41,F7,True,51
13,3,51,F7,True,43
13,4,48,F7,True,42
14,1,37,Bb7,True,41
14,2,45,Bb7,True,48
14,3,44,Bb7,True,41
14,4,33,Bb7,True,42
15,1,49,G7,True,43
15,2,44,G7,True,45
15,3,47,C7,True,38
15,4,39,C7,True,38
16,1,48,F-7,True,38
16,2,34,F-7,True,38
16,3,51,F-7,True,44
16,4,50,F-7,True,44
17,1,46,F-7,True,43
17,2,38,F-7,True,44
17,3,47,F-7,True,44
17,4,44,F-7,True,44
18,1,50,F-7,True,37
18,2,51,F-7,True,41
18,3,38,F-7,True,51
18,4,42,F-7,True,50
19,1,37,F-7,True,48
19,2,44,F-7,True,42
19,3,42,F-7,True,45
19,4,38,F-7,True,44
20,1,44,F-7,True,44
20,2,44,F-7,True,38
20,3,39,F-7,True,37
20,4,34,F-7,True,47
21,1,46,F-7,True,48
21,2,49,F-7,True,40
21,3,36,F-7,True,45
21,4,41,F-7,True,44
22,1,39,F-7,True,44
22,2,41,F-7,True,44
22,3,34,F-7,True,45
22,4,48,F-7,True,49
23,1,48,G7,True,50
23,2,44,G7,True,50
23,3,44,G7,True,42
23,4,43,G7,True,45
24,1,36,C7,True,43
24,2,39,C7,True,47
24,3,44,C7,True,50
24,4,44,C7,True,47
25,1,45,F-7,True,48
25,2,42,F-7,True,51
25,3,43,F-7,True,37
25,4,38,F-7,True,42
26,1,50,F-7,True,43
26,2,48,F-7,True,44
26,3,33,F-7,True,38
26,4,50,F-7,True,38
27,1,45,F-7,True,40
27,2,49,F-7,True,38
27,3,48,F-7,True,37
27,4,43,F-7,True,44
28,1,41,F-7,True,43
28,2,39,F-7,True,41
28,3,43,F-7,True,51
28,4,46,F-7,True,50
29,1,46,F7,True,37
29,2,42,F7,True,43
29,3,47,F7,True,38
29,4,41,F7,True,40
30,1,46,Bb7,True,41
30,2,37,Bb7,True,41
30,3,51,Bb7,True,33
30,4,50,Bb7,True,37
31,1,40,G7,True,38
31,2,49,G7,True,42
31,3,41,C7,True,43
31,4,49,C7,True,47
32,1,38,F-7,True,37
32,2,36,F-7,True,40
32,3,47,F-7,True,41
32,4,33,F-7,True,42
33,1,38,F-7,True,43
33,2,43,F-7,True,48
33,3,42,F-7,True,40
33,4,34,F-7,True,45
34,1,40,F-7,True,38
34,2,49,F-7,True,42
34,3,37,F-7,True,43
34,4,40,F-7,True,47
35,1,47,F-7,True,37
35,2,49,F-7,True,51
35,3,34,F-7,True,50
35,4,37,F-7,True,38
36,1,39,F-7,True,43
36,2,41,F-7,True,45
