bar,beat,note,chord,replaced,original_value
1,1,50,Eb-,True,34
1,2,38,Eb-,True,42
1,3,46,D+7,True,41
1,4,43,D+7,True,41
2,1,36,Eb-7,True,42
2,2,43,Eb-7,True,42
2,3,48,D7,True,51
2,4,46,D7,True,45
3,1,52,Dbj7,True,44
3,2,50,Dbj7,True,44
3,3,40,Eb-7,True,51
3,4,36,Eb-7,True,40
4,1,34,F-7,True,48
4,2,45,F-7,True,41
4,3,44,Eo,True,47
4,4,33,Eo,True,42
5,1,41,Eb-7,True,34
5,2,46,Eb-7,True,42
5,3,37,Eb-7,True,40
5,4,41,Eb-7,True,41
6,1,38,Cm7b5,True,48
6,2,47,Cm7b5,True,48
6,3,35,B7,True,52
6,4,44,B7,True,52
7,1,45,Bb-7,True,40
7,2,39,Bb-7,True,41
7,3,44,Eb-7,True,51
7,4,42,Ab7,True,38
8,1,52,Dbj7,True,44
8,2,45,Dbj7,True,44
8,3,35,Fm7b5,True,48
8,4,43,Bb79b,True,40
9,1,47,Eb-,True,34
9,2,43,Eb-,True,45
9,3,52,D+7,True,40
9,4,43,D+7,True,41
10,1,49,Eb-7,True,34
10,2,51,Eb-7,True,41
10,3,40,D7,True,33
10,4,35,D7,True,33
11,1,43,Db-7,True,44
11,2,52,Db-7,True,44
11,3,37,Eb-7,True,51
11,4,44,Eb-7,True,51
12,1,39,F-7,True,48
12,2,37,F-7,True,48
12,3,42,Eo,True,47
12,4,46,Eo,True,50
13,1,34,Eb-7,True,34
13,2,47,Eb-7,True,45
13,3,48,Eb-7,True,41
13,4,45,Eb-7,True,41
14,1,42,Cm7b5,True,48
14,2,50,Cm7b5,True,37
14,3,52,B7,True,37
14,4,37,B7,True,52
15,1,47,Bb-7,True,44
15,2,34,Bb-7,True,44
15,3,43,Eb-7,True,51
15,4,45,Ab7,True,42
16,1,43,Db,True,44
16,2,38,Db,True,37
16,3,33,E-7,True,47
16,4,49,A7,True,52
17,1,35,Dj7,True,33
17,2,50,Dj7,True,45
17,3,37,E-7,True,52
17,4,33,E-7,True,52
18,1,37,B-7,True,33
18,2,46,F#,True,45
18,3,36,G-7,True,50
18,4,44,C7,True,50
19,1,41,F#-7,True,45
19,2,52,B-7,True,45
19,3,45,E-7,True,52
19,4,48,A7,True,52
20,1,33,Dj7,True,42
20,2,44,Dj7,True,42
20,3,52,F#-7,True,42
20,4,35,E-7,True,52
21,1,39,D-7,True,33
21,2,36,D-7,True,45
21,3,38,G7,True,50
21,4,52,G7,True,50
22,1,38,Cj7,True,47
22,2,42,Cj7,True,47
22,3,40,Ebo,True,34
22,4,39,Ebo,True,34
23,1,33,D-7,True,33
23,2,45,D-7,True,33
23,3,38,G7,True,50
23,4,52,G7,True,50
24,1,36,C7,True,37
24,2,38,B7,True,42
24,3,42,Bbsus7,True,40
24,4,44,Bb7,True,41
25,1,43,Eb-,True,34
25,2,43,Eb-,True,45
25,3,39,B+7,True,37
25,4,36,B+7,True,41
26,1,34,Eb-7,True,47
26,2,39,Eb-7,True,47
26,3,42,Ab7,True,51
26,4,42,Ab7,True,33
27,1,40,Dbj7,True,44
27,2,37,Dbj7,True,44
27,3,42,Gb7,True,51
27,4,35,Gb7,True,51
28,1,48,F-7,True,48
28,2,49,F-7,True,42
28,3,51,Eo,True,47
28,4,52,Eo,True,42
29,1,47,Eb-7,True,34
29,2,40,Eb-7,True,42
29,3,47,Eb-7,True,40
29,4,50,Eb-7,True,40
30,1,46,Ab7,True,48
30,2,45,Ab7,True,48
30,3,49,Ao,True,37
30,4,45,Ao,True,41
31,1,42,Ao,True,40
31,2,46,Ao,True,41
31,3,45,Eb-7,True,51
31,4,35,Ab+7,True,51
32,1,50,Ab+7,True,44
32,2,33,Ab+7,True,42
32,3,47,Fm7b5,True,48
32,4,47,Bb7,True,40
33,1,40,Eb-,True,34
33,2,36,Eb-,True,34
33,3,35,D+7,True,40
33,4,48,D+7,True,41
34,1,50,Fb-7,True,34
34,2,45,Fb-7,True,51
34,3,51,D7,True,51
34,4,42,D7,True,33
35,1,34,Dbj7,True,44
35,2,49,Dbj7,True,44
35,3,37,Eb-7,True,51
35,4,38,Eb-7,True,42
36,1,46,F-7,True,48
36,2,45,F-7,True,48
36,3,34,Eo,True,47
36,4,51,Eo,True,42
37,1,52,Eb-7,True,34
37,2,36,Eb-7,True,42
37,3,39,Eb-7,True,41
37,4,35,Eb-7,True,42
38,1,51,Cm7b5,True,48
38,2,45,Cm7b5,True,48
38,3,40,B7,True,37
38,4,42,B7,True,38
39,1,44,Bb-7,True,44
39,2,36,Bb-7,True,44
39,3,37,Eb-7,True,51
39,4,50,Ab7,True,40
40,1,41,Dbj7,True,44
40,2,47,Dbj7,True,42
40,3,36,Fm7b5,True,48
40,4,34,Bb79b,True,40
41,1,35,Eb-,True,47
41,2,34,Eb-,True,42
41,3,41,D+7,True,41
41,4,48,D+7,True,42
42,1,41,Eb-7,True,47
42,2,48,Eb-7,True,51
42,3,38,D7,True,51
42,4,47,D7,True,33
43,1,47,Dbj7,True,44
43,2,36,Dbj7,True,44
43,3,33,Eb-7,True,51
43,4,51,Eb-7,True,51
44,1,37,F-7,True,48
44,2,36,F-7,True,48
44,3,42,Eo,True,51
44,4,44,Eo,True,50
45,1,51,Eb-7,True,34
45,2,38,Eb-7,True,34
45,3,44,Eb-7,True,41
45,4,44,Eb-7,True,41
46,1,45,Cm7b5,True,48
46,2,50,Cm7b5,True,42
46,3,33,B7,True,52
46,4,50,B7,True,52
47,1,46,Bb-7,True,44
47,2,51,Bb-7,True,42
47,3,48,Eb-7,True,51
47,4,47,Ab7,True,51
48,1,36,Db,True,44
48,2,49,Db,True,42
48,3,46,E-7,True,47
48,4,35,A7,True,52
