bar,beat,note,chord,replaced,original_value
1,1,33,F-,True,37
1,2,48,F-,True,38
1,3,47,Gm7b5,True,38
1,4,41,Gm7b5,True,41
2,1,32,F-/Ab,True,44
2,2,36,F-/Ab,True,44
2,3,37,Bb-6,True,44
2,4,36,Bb-6,True,47
3,1,33,F-/C,True,43
3,2,49,F-/C,True,43
3,3,33,F-/C,True,44
3,4,49,F-/C,True,41
4,1,47,Gm7b5,True,38
4,2,37,Gm7b5,True,50
4,3,37,C7,True,47
4,4,47,C7,True,50
5,1,32,F-,True,48
5,2,38,F-,True,38
5,3,34,Gm7b5,True,38
5,4,33,Gm7b5,True,41
6,1,43,F-/Ab,True,41
6,2,41,F-/Ab,True,43
6,3,45,Bb-6,True,44
6,4,49,Bb-6,True,44
7,1,38,F-/C,True,38
7,2,48,F-/C,True,32
7,3,43,F-/C,True,43
7,4,32,F-/C,True,43
8,1,36,Gm7b5,True,37
8,2,37,Gm7b5,True,37
8,3,41,F-,True,43
8,4,37,F-,True,44
9,1,38,F-7,True,44
9,2,45,F-7,True,37
9,3,34,Gm7b5,True,37
9,4,42,Gm7b5,True,37
10,1,33,F-/Ab,True,37
10,2,36,F-/Ab,True,38
10,3,47,Bb-6,True,33
10,4,48,Bb-6,True,44
11,1,46,F-/C,True,44
11,2,42,F-/C,True,38
11,3,38,F-/C,True,41
11,4,44,F-/C,True,52
12,1,35,Gm7b5,True,51
12,2,34,Gm7b5,True,48
12,3,32,C7,True,48
12,4,39,C7,True,47
13,1,44,F-,True,48
13,2,46,F-,True,48
13,3,47,Gm7b5,True,51
13,4,40,Gm7b5,True,51
14,1,32,F-/Ab,True,40
14,2,46,F-/Ab,True,44
14,3,50,Bb-6,True,44
14,4,34,Bb-6,True,37
15,1,49,F-/C,True,33
15,2,38,F-/C,True,33
15,3,40,F-/C,True,33
15,4,34,F-/C,True,33
16,1,44,Gm7b5,True,42
16,2,41,Gm7b5,True,44
16,3,43,F-,True,44
16,4,36,F-,True,44
17,1,39,F-7,True,44
17,2,37,F-7,True,44
17,3,32,F-7,True,44
17,4,47,F-7,True,42
18,1,42,Bb79#,True,33
18,2,47,Bb79#,True,33
18,3,38,Bb79#,True,33
18,4,50,Bb79#,True,42
19,1,43,Ebj7,True,42
19,2,42,Ebj7,True,51
19,3,48,Ebj7,True,50
19,4,37,Ebj7,True,48
20,1,44,Ebj7,True,33
20,2,33,Ebj7,True,50
20,3,49,Ebj7,True,40
20,4,32,Ebj7,True,42
21,1,48,Eb-7,True,42
21,2,37,Eb-7,True,38
21,3,49,Eb-7,True,38
21,4,49,Eb-7,True,44
22,1,43,Ab79#,True,42
22,2,34,Ab79#,True,41
22,3,48,Ab79#,True,38
22,4,32,Ab79#,True,50
23,1,38,Dbj7,True,51
23,2,39,Dbj7,True,48
23,3,40,Dbj7,True,48
23,4,45,Dbj7,True,44
24,1,40,Gm7b5,True,44
24,2,45,Gm7b5,True,43
24,3,45,C79b,True,43
24,4,43,C79b,True,50
25,1,40,F-7,True,48
25,2,40,F-7,True,48
25,3,46,Gm7b5,True,51
25,4,41,Gm7b5,True,41
26,1,32,F-/Ab,True,42
26,2,32,F-/Ab,True,42
26,3,38,Bb-6,True,38
26,4,37,Bb-6,True,37
27,1,44,F-/C,True,33
27,2,45,F-/C,True,42
27,3,43,F-/C,True,33
27,4,36,F-/C,True,44
28,1,34,Gm7b5,True,42
28,2,42,Gm7b5,True,44
28,3,47,C7,True,43
28,4,32,C7,True,44
29,1,41,F-,True,44
29,2,47,F-,True,45
29,3,47,Gm7b5,True,42
29,4,46,Gm7b5,True,33
30,1,45,F-/Ab,True,39
30,2,37,F-/Ab,True,38
30,3,42,Bb-6,True,44
30,4,45,Bb-6,True,43
31,1,50,F-/C,True,50
31,2,41,F-/C,True,48
31,3,34,F-/C,True,37
31,4,38,F-/C,True,51
32,1,50,C7,True,41
32,2,42,C7,True,39
32,3,37,F-,True,50
32,4,40,F-,True,50
33,1,49,F-7,True,48
33,2,43,F-7,True,51
33,3,47,Gm7b5,True,51
33,4,36,Gm7b5,True,48
34,1,40,F-/Ab,True,47
34,2,34,F-/Ab,True,50
34,3,45,Bb-6,True,37
34,4,43,Bb-6,True,44
35,1,34,F-/C,True,43
35,2,36,F-/C,True,37
35,3,41,F-/C,True,51
35,4,42,F-/C,True,48
36,1,44,Gm7b5,True,37
36,2,37,Gm7b5,True,37
36,3,43,C7,True,42
36,4,50,C7,True,38
37,1,45,F-,True,38
37,2,40,F-,True,38
37,3,40,Gm7b5,True,38
37,4,36,Gm7b5,True,37
38,1,36,F-/Ab,True,42
38,2,33,F-/Ab,True,37
38,3,50,Bb-6,True,42
38,4,35,Bb-6,True,44
39,1,46,F-/C,True,44
39,2,42,F-/C,True,40
39,3,47,F-/C,True,44
39,4,42,F-/C,True,42
40,1,38,Gm7b5,True,50
40,2,43,Gm7b5,True,37
40,3,45,F-,True,52
40,4,48,F-,True,51
41,1,36,F-7,True,51
41,2,46,F-7,True,48
41,3,38,Gm7b5,True,48
41,4,39,Gm7b5,True,51
42,1,42,F-/Ab,True,42
42,2,40,F-/Ab,True,42
42,3,40,Bb-6,True,42
42,4,35,Bb-6,True,43
43,1,50,F-/C,True,44
43,2,33,F-/C,True,37
43,3,39,F-/C,True,50
43,4,37,F-/C,True,44
44,1,33,Gm7b5,True,42
44,2,46,Gm7b5,True,42
44,3,40,C7,True,50
44,4,49,C7,True,47
45,1,49,F-,True,48
45,2,33,F-,True,51
45,3,43,Gm7b5,True,51
45,4,50,Gm7b5,True,42
46,1,47,F-/Ab,True,42
46,2,38,F-/Ab,True,42
46,3,48,Bb-6,True,42
46,4,48,Bb-6,True,37
47,1,45,F-/C,True,38
47,2,44,F-/C,True,37
47,3,41,F-/C,True,42
47,4,40,F-/C,True,44
48,1,43,Gm7b5,True,44
48,2,40,Gm7b5,True,33
48,3,36,F-,True,45
48,4,46,F-,True,42
49,1,42,F-7,True,38
49,2,36,F-7,True,38
49,3,32,F-7,True,43
49,4,35,F-7,True,43
50,1,34,Bb79#,True,42
50,2,41,Bb79#,True,42
50,3,42,Bb79#,True,40
50,4,50,Bb79#,True,42
51,1,42,Ebj7,True,42
51,2,44,Ebj7,True,42
51,3,44,Ebj7,True,42
51,4,43,Ebj7,True,42
52,1,41,Ebj7,True,44
52,2,35,Ebj7,True,44
52,3,38,Ebj7,True,42
52,4,38,Ebj7,True,37
53,1,36,Eb-7,True,42
53,2,47,Eb-7,True,42
53,3,32,Eb-7,True,42
53,4,50,Eb-7,True,42
54,1,44,Ab79#,True,42
54,2,42,Ab79#,True,42
54,3,45,Ab79#,True,42
54,4,34,Ab79#,True,44
55,1,44,Dbj7,True,38
55,2,45,Dbj7,True,42
55,3,43,Dbj7,True,44
55,4,40,Dbj7,True,40
56,1,46,Gm7b5,True,33
56,2,34,Gm7b5,True,37
56,3,49,C79b,True,32
56,4,42,C79b,True,38
57,1,37,F-7,True,33
57,2,36,F-7,True,33
57,3,46,Gm7b5,True,44
57,4,46,Gm7b5,True,33
58,1,39,F-/Ab,True,40
58,2,41,F-/Ab,True,44
58,3,39,Bb-6,True,44
