bar,beat,note,chord,replaced,original_value
1,1,50,A-79,True,40
1,2,49,A-79,True,43
1,3,37,A-79,True,45
1,4,50,A-79,True,41
2,1,48,G-79,True,40
2,2,40,G-79,True,43
2,3,48,G-79,True,48
2,4,45,G-79,True,37
3,1,45,A-79,True,40
3,2,42,A-79,True,43
3,3,50,A-79,True,45
3,4,47,A-79,True,43
4,1,48,F-79,True,37
4,2,42,F-79,True,37
4,3,42,F-79,True,41
4,4,47,F-79,True,41
5,1,39,F-7,True,37
5,2,43,F-7,True,42
5,3,39,Bb7,True,41
5,4,49,Bb7,True,39
6,1,42,G-7,True,38
6,2,44,G-7,True,38
6,3,47,C79b,True,43
6,4,49,C79b,True,37
7,1,48,A-7,True,40
7,2,38,A-7,True,43
7,3,45,D79b,True,45
7,4,42,D79b,True,49
8,1,42,G-7,True,50
8,2,50,C7,True,43
8,3,49,F-7,True,48
8,4,47,E7,True,47
9,1,50,A-79,True,40
9,2,43,A-79,True,40
9,3,50,A-79,True,45
9,4,43,A-79,True,45
10,1,38,G-79,True,38
