bar,beat,note,chord,replaced,original_value
1,1,45,Gj7,True,37
1,2,37,Gj7,True,42
1,3,41,Gj7,True,50
1,4,39,Gj7,True,50
2,1,43,G6,True,50
2,2,40,G6,True,50
2,3,42,G6,True,50
2,4,38,G6,True,50
3,1,43,Gj7,True,38
3,2,46,Gj7,True,51
3,3,43,Gj7,True,50
3,4,44,Gj7,True,50
4,1,49,G6,True,50
4,2,50,G6,True,50
4,3,50,G6,True,50
4,4,42,G6,True,50
5,1,50,G-7,True,43
5,2,45,G-7,True,38
5,3,49,G-7,True,47
5,4,48,G-7,True,50
6,1,42,G-6,True,50
6,2,45,G-6,True,50
6,3,51,G-6,True,50
6,4,38,G-6,True,50
7,1,47,G-7,True,50
7,2,45,G-7,True,50
7,3,47,G-7,True,41
7,4,38,G-7,True,50
8,1,45,G-6,True,50
8,2,40,G-6,True,50
8,3,40,G-6,True,45
8,4,44,G-6,True,43
9,1,45,Am7b5,True,38
9,2,44,Am7b5,True,50
9,3,49,Am7b5,True,48
9,4,47,Am7b5,True,47
10,1,50,D7,True,45
10,2,45,D7,True,37
10,3,41,D7,True,37
10,4,50,D7,True,45
11,1,40,Bm7b5,True,48
11,2,44,Bm7b5,True,42
11,3,41,Bm7b5,True,50
11,4,46,Bm7b5,True,48
12,1,40,E7,True,47
12,2,42,E7,True,50
12,3,50,E7,True,51
12,4,42,E7,True,47
13,1,47,A-7,True,51
13,2,48,A-7,True,50
13,3,37,A-7,True,50
13,4,40,A-7,True,44
14,1,47,D7,True,42
14,2,47,D7,True,45
14,3,45,D7,True,47
14,4,38,D7,True,37
15,1,47,G,True,50
15,2,46,G,True,50
15,3,51,G,True,42
15,4,47,G,True,50
16,1,39,G79b,True,42
16,2,44,G79b,True,45
16,3,45,G79b,True,50
16,4,39,G79b,True,50
17,1,49,C-7,True,47
17,2,46,C-7,True,48
17,3,39,C-7,True,50
17,4,51,C-7,True,50
18,1,40,F7,True,37
18,2,43,F7,True,48
18,3,51,F7,True,37
18,4,39,F7,True,51
19,1,45,Bbj7,True,41
19,2,45,Bbj7,True,37
19,3,49,Bbj7,True,41
19,4,45,Bbj7,True,50
20,1,44,G-7,True,42
20,2,46,G-7,True,37
20,3,40,G-7,True,38
20,4,49,G-7,True,38
21,1,38,C-7,True,38
21,2,45,C-7,True,50
21,3,51,C-7,True,50
21,4,38,C-7,True,41
22,1,51,F7,True,37
22,2,48,F7,True,48
22,3,41,F7,True,50
22,4,37,F7,True,50
23,1,37,Bbj7,True,41
23,2,39,Bbj7,True,50
23,3,42,Bbj7,True,50
23,4,38,Bbj7,True,48
24,1,46,Bb6,True,41
24,2,41,Bb6,True,41
24,3,37,Bb6,True,50
24,4,43,Bb6,True,48
25,1,51,A-7,True,37
25,2,48,A-7,True,42
25,3,37,A-7,True,50
25,4,39,A-7,True,37
26,1,43,D7,True,51
26,2,46,D7,True,37
26,3,49,D7,True,47
26,4,49,D7,True,49
27,1,37,Gj7,True,50
27,2,38,Gj7,True,50
27,3,50,Gj7,True,51
27,4,46,Gj7,True,50
28,1,42,G6,True,42
28,2,47,G6,True,45
28,3,45,G6,True,50
28,4,39,G6,True,50
29,1,50,F#-7,True,37
29,2,46,F#-7,True,37
29,3,51,F#-7,True,42
29,4,50,F#-7,True,44
30,1,46,B7,True,42
30,2,48,B7,True,38
30,3,40,B7,True,51
30,4,47,B7,True,48
31,1,48,Ej7,True,51
31,2,39,Ej7,True,47
31,3,49,Ej7,True,51
31,4,43,Ej7,True,51
32,1,50,A-7,True,37
32,2,45,A-7,True,50
32,3,47,D7,True,39
32,4,49,D7,True,51
33,1,37,Gj7,True,42
33,2,51,Gj7,True,42
33,3,44,Gj7,True,42
33,4,40,Gj7,True,50
34,1,44,G6,True,50
34,2,50,G6,True,50
34,3,42,G6,True,50
34,4,39,G6,True,50
35,1,38,Gj7,True,50
35,2,48,Gj7,True,38
35,3,40,Gj7,True,38
35,4,37,Gj7,True,42
36,1,38,G6,True,50
36,2,47,G6,True,50
36,3,43,G6,True,50
36,4,42,G6,True,50
37,1,50,G-7,True,43
37,2,41,G-7,True,45
37,3,39,G-7,True,47
37,4,46,G-7,True,50
38,1,37,G-6,True,50
38,2,44,G-6,True,37
38,3,45,G-6,True,50
38,4,40,G-6,True,50
39,1,40,G-7,True,50
39,2,39,G-7,True,50
39,3,41,G-7,True,41
39,4,47,G-7,True,50
40,1,51,G-6,True,42
40,2,43,G-6,True,45
40,3,44,G-6,True,50
40,4,41,G-6,True,50
41,1,47,Am7b5,True,47
41,2,47,Am7b5,True,50
41,3,45,Am7b5,True,50
41,4,46,Am7b5,True,50
42,1,49,D7,True,45
42,2,46,D7,True,37
42,3,48,D7,True,37
42,4,49,D7,True,45
43,1,44,Bm7b5,True,48
43,2,48,Bm7b5,True,50
43,3,51,Bm7b5,True,50
43,4,47,Bm7b5,True,48
44,1,46,E7,True,47
44,2,41,E7,True,42
44,3,47,E7,True,51
44,4,49,E7,True,47
45,1,37,A-7,True,50
45,2,42,A-7,True,42
45,3,48,A-7,True,50
45,4,44,A-7,True,44
46,1,44,D7,True,51
46,2,41,D7,True,45
46,3,47,D7,True,47
46,4,37,D7,True,49
47,1,46,G,True,50
47,2,44,G,True,50
47,3,49,G,True,42
47,4,40,G,True,39
48,1,40,G,True,50
48,2,51,G,True,42
48,3,41,G,True,51
48,4,49,G,True,44
49,1,38,Gj7,True,42
49,2,39,Gj7,True,50
49,3,39,Gj7,True,50
49,4,51,Gj7,True,50
50,1,42,G6,True,50
50,2,47,G6,True,50
50,3,46,G6,True,50
50,4,46,G6,True,50
51,1,37,Gj7,True,43
51,2,39,Gj7,True,45
51,3,39,Gj7,True,47
51,4,46,Gj7,True,49
52,1,46,G6,True,50
52,2,46,G6,True,50
52,3,51,G6,True,50
52,4,38,G6,True,50
53,1,43,G-7,True,50
53,2,48,G-7,True,50
53,3,41,G-7,True,51
53,4,43,G-7,True,38
54,1,47,G-6,True,37
54,2,46,G-6,True,51
54,3,42,G-6,True,42
54,4,49,G-6,True,50
55,1,50,G-7,True,41
55,2,46,G-7,True,50
55,3,41,G-7,True,50
55,4,48,G-7,True,50
56,1,51,G-6,True,47
56,2,41,G-6,True,43
