bar,beat,note,chord,replaced,original_value
1,1,41,Eb7,True,34
1,2,41,Eb7,True,45
1,3,48,Eb7,True,41
1,4,50,Eb7,True,41
2,1,39,Eb7,True,34
2,2,41,Eb7,True,42
2,3,51,Eb7,True,41
2,4,45,Eb7,True,45
3,1,39,Eb7,True,34
3,2,46,Eb7,True,45
3,3,46,Eb7,True,41
3,4,41,Eb7,True,45
4,1,39,Eb7,True,34
4,2,48,Eb7,True,50
4,3,43,Eb7,True,50
4,4,42,Eb7,True,45
5,1,48,Eb7,True,34
5,2,41,Eb7,True,45
5,3,38,Eb7,True,41
5,4,51,Eb7,True,45
6,1,42,Eb7,True,34
6,2,42,Eb7,True,45
6,3,43,Eb7,True,41
6,4,46,Eb7,True,45
7,1,43,Eb7,True,34
7,2,49,Eb7,True,50
7,3,39,Eb7,True,41
7,4,49,Eb7,True,42
8,1,37,Eb7,True,34
8,2,40,Eb7,True,42
8,3,49,Eb7,True,41
8,4,42,Eb7,True,50
9,1,39,Ab7,True,51
9,2,51,Ab7,True,40
9,3,48,Ab7,True,42
9,4,37,Ab7,True,50
10,1,40,Ab7,True,51
10,2,48,Ab7,True,51
10,3,47,Ab7,True,42
10,4,48,Ab7,True,50
11,1,43,Ab7,True,51
11,2,50,Ab7,True,51
11,3,38,Ab7,True,42
11,4,49,Ab7,True,50
12,1,42,Ab7,True,51
12,2,39,Ab7,True,38
12,3,51,Ab7,True,38
12,4,43,Ab7,True,45
13,1,49,Eb7,True,34
13,2,47,Eb7,True,45
13,3,37,Eb7,True,41
13,4,46,Eb7,True,45
14,1,39,Eb7,True,34
14,2,45,Eb7,True,45
14,3,48,Eb7,True,41
14,4,46,Eb7,True,45
15,1,51,Eb7,True,34
15,2,41,Eb7,True,45
15,3,44,Eb7,True,41
15,4,46,Eb7,True,45
16,1,49,Eb7,True,42
16,2,45,Eb7,True,42
16,3,39,Eb7,True,41
16,4,40,Eb7,True,47
17,1,41,Bb7,True,48
17,2,46,Bb7,True,48
17,3,41,Bb7,True,43
17,4,50,Bb7,True,47
18,1,42,Bb7,True,48
18,2,42,Bb7,True,48
18,3,38,Bb7,True,43
18,4,46,Bb7,True,47
19,1,43,Bb7,True,37
19,2,42,Bb7,True,45
19,3,48,Bb7,True,42
19,4,39,Bb7,True,47
20,1,38,Bb7,True,41
20,2,39,Bb7,True,41
20,3,40,Bb7,True,48
20,4,43,Bb7,True,45
21,1,43,Eb7,True,34
21,2,42,Eb7,True,45
21,3,38,Eb7,True,41
21,4,39,Eb7,True,45
22,1,41,Eb7,True,34
22,2,45,Eb7,True,45
22,3,47,Eb7,True,41
22,4,37,Eb7,True,45
23,1,44,Eb7,True,34
23,2,40,Eb7,True,42
23,3,43,Eb7,True,41
23,4,50,Eb7,True,45
24,1,48,Eb7,True,34
24,2,49,Eb7,True,50
24,3,41,Eb7,True,50
24,4,37,Eb7,True,45
