bar,beat,note,chord,replaced,original_value
1,1,44,Eb,True,47
1,2,47,Eb,True,34
1,3,41,Eb,True,42
1,4,42,Eb,True,42
2,1,42,D7,True,42
2,2,43,D7,True,47
2,3,38,D7,True,42
2,4,48,D7,True,47
3,1,49,Eb,True,42
3,2,38,Eb,True,34
3,3,42,Eb,True,50
3,4,51,Eb,True,42
4,1,42,C+7,True,47
4,2,46,C+7,True,47
4,3,46,C7,True,50
4,4,41,C7,True,42
5,1,50,F7,True,51
5,2,43,F7,True,42
5,3,37,F7,True,51
5,4,37,F7,True,51
6,1,44,Bb7,True,47
6,2,44,Bb7,True,51
6,3,37,Bb7,True,47
6,4,44,Bb7,True,34
7,1,47,Eb,True,47
7,2,37,Eb,True,42
7,3,40,Eb,True,50
7,4,40,Eb,True,42
8,1,46,Bb7,True,47
8,2,46,Bb7,True,47
8,3,44,Bb7,True,47
8,4,45,Bb7,True,47
9,1,51,Eb,True,42
9,2,50,Eb,True,34
9,3,47,Eb,True,34
9,4,39,Eb,True,34
10,1,43,D7,True,47
10,2,39,D7,True,42
10,3,46,D7,True,47
10,4,46,D7,True,42
11,1,47,Eb,True,50
11,2,37,Eb,True,47
11,3,43,Eb,True,34
11,4,48,Eb,True,47
12,1,43,C+7,True,47
12,2,37,C+7,True,50
12,3,41,C7,True,42
12,4,47,C7,True,42
13,1,51,F7,True,47
13,2,40,F7,True,47
13,3,41,F7,True,42
13,4,49,F7,True,42
14,1,50,Bb7,True,42
14,2,42,Bb7,True,42
14,3,38,Bb7,True,42
14,4,37,Bb7,True,37
15,1,49,F-7,True,50
15,2,50,F-7,True,50
15,3,43,Bb7,True,42
15,4,51,Bb7,True,42
16,1,41,Eb,True,34
16,2,40,Eb,True,42
16,3,49,Eb,True,42
16,4,45,Eb,True,47
17,1,43,Eb,True,47
17,2,41,Eb,True,50
17,3,39,Eb,True,42
