bar,beat,note,chord,replaced,original_value
1,1,44,F79#,True,48
1,2,42,F79#,True,41
1,3,40,F79#,True,51
1,4,47,F79#,True,51
2,1,43,F79#,True,41
2,2,43,F79#,True,38
2,3,37,F79#,True,38
2,4,49,F79#,True,40
3,1,49,F79#,True,47
3,2,34,F79#,True,42
3,3,38,F79#,True,51
3,4,38,F79#,True,51
4,1,47,F79#,True,48
4,2,37,F79#,True,51
4,3,35,F79#,True,48
4,4,51,F79#,True,48
5,1,47,F79#,True,48
5,2,50,F79#,True,41
5,3,42,F79#,True,51
5,4,35,F79#,True,40
6,1,41,F79#,True,37
6,2,34,F79#,True,51
6,3,47,F79#,True,41
6,4,51,F79#,True,48
7,1,37,F79#,True,47
7,2,36,F79#,True,42
7,3,39,F79#,True,51
7,4,39,F79#,True,51
8,1,37,F79#,True,51
8,2,43,F79#,True,51
8,3,37,F79#,True,37
8,4,42,F79#,True,47
9,1,44,F79#,True,47
9,2,48,F79#,True,41
9,3,38,F79#,True,51
9,4,41,F79#,True,51
10,1,40,F79#,True,51
10,2,49,F79#,True,41
10,3,39,F79#,True,38
10,4,51,F79#,True,47
11,1,48,F79#,True,48
11,2,37,F79#,True,34
11,3,45,F79#,True,51
11,4,36,F79#,True,51
12,1,44,F79#,True,51
12,2,40,F79#,True,51
12,3,34,F79#,True,37
12,4,51,F79#,True,40
13,1,37,F79#,True,37
13,2,35,F79#,True,37
13,3,42,F79#,True,51
13,4,46,F79#,True,51
14,1,39,F79#,True,51
14,2,41,F79#,True,51
14,3,46,F79#,True,38
14,4,47,F79#,True,47
15,1,44,F79#,True,48
15,2,37,F79#,True,41
15,3,48,F79#,True,51
15,4,37,F79#,True,51
16,1,46,F79#,True,48
16,2,44,F79#,True,37
16,3,37,F79#,True,48
16,4,36,F79#,True,48
17,1,38,F79#,True,48
17,2,46,F79#,True,48
17,3,51,F79#,True,51
17,4,36,F79#,True,51
18,1,40,F79#,True,51
18,2,43,F79#,True,40
18,3,47,F79#,True,38
18,4,36,F79#,True,48
19,1,44,F79#,True,48
19,2,40,F79#,True,42
19,3,48,F79#,True,42
19,4,44,F79#,True,42
20,1,42,F79#,True,48
20,2,38,F79#,True,45
20,3,36,F79#,True,47
20,4,36,F79#,True,48
21,1,41,F79#,True,48
21,2,41,F79#,True,42
21,3,45,F79#,True,43
21,4,46,F79#,True,42
22,1,48,F79#,True,48
22,2,48,F79#,True,48
22,3,49,F79#,True,47
22,4,35,F79#,True,47
23,1,36,F79#,True,48
23,2,51,F79#,True,47
23,3,34,F79#,True,43
23,4,41,F79#,True,42
24,1,50,F79#,True,48
24,2,43,F79#,True,37
24,3,48,F79#,True,40
24,4,42,F79#,True,48
25,1,49,F79#,True,48
25,2,46,F79#,True,41
25,3,36,F79#,True,42
25,4,35,F79#,True,42
26,1,49,F79#,True,48
26,2,41,F79#,True,42
26,3,48,F79#,True,42
26,4,39,F79#,True,48
27,1,34,F79#,True,48
27,2,38,F79#,True,42
27,3,41,F79#,True,42
27,4,43,F79#,True,41
28,1,36,F79#,True,37
28,2,47,F79#,True,37
28,3,42,F79#,True,48
28,4,39,F79#,True,48
29,1,49,F79#,True,48
29,2,41,F79#,True,34
29,3,43,F79#,True,42
29,4,39,F79#,True,42
30,1,40,F79#,True,41
30,2,47,F79#,True,42
30,3,47,F79#,True,34
30,4,34,F79#,True,47
31,1,46,F79#,True,48
31,2,36,F79#,True,48
31,3,43,F79#,True,42
31,4,39,F79#,True,34
32,1,40,F79#,True,48
32,2,47,F79#,True,37
32,3,44,F79#,True,41
32,4,48,F79#,True,48
