bar,beat,note,chord,replaced,original_value
1,1,50,E-7,True,47
1,2,51,E-7,True,47
1,3,37,E-7,True,41
1,4,37,E-7,True,41
2,1,37,A7,True,38
2,2,48,A7,True,38
2,3,43,A7,True,34
2,4,44,A7,True,47
3,1,48,Dj7,True,45
3,2,46,Dj7,True,45
3,3,37,Dj7,True,37
3,4,44,Dj7,True,42
4,1,41,Dj7,True,50
4,2,45,Dj7,True,50
4,3,40,Dj7,True,48
4,4,42,Dj7,True,47
5,1,48,D-7,True,45
5,2,44,D-7,True,45
5,3,38,D-7,True,42
5,4,37,D-7,True,43
6,1,37,G7,True,38
6,2,49,G7,True,38
6,3,44,G7,True,38
6,4,42,G7,True,37
7,1,43,Cj7,True,43
7,2,51,Cj7,True,43
7,3,50,Cj7,True,42
7,4,38,Cj7,True,50
8,1,47,Cj7,True,50
8,2,45,Cj7,True,48
8,3,44,Cj7,True,47
8,4,42,Cj7,True,50
9,1,48,C-7,True,43
9,2,44,C-7,True,45
9,3,50,C-7,True,45
9,4,47,C-7,True,50
10,1,49,F7,True,48
10,2,48,F7,True,50
10,3,39,F7,True,38
10,4,43,F7,True,48
11,1,39,Bbj7,True,41
11,2,51,Bbj7,True,41
11,3,44,Bbj7,True,40
11,4,51,Bbj7,True,50
12,1,39,Ebj7,True,51
12,2,39,Ebj7,True,50
12,3,43,Ebj7,True,48
12,4,43,Ebj7,True,48
13,1,42,E-7,True,42
13,2,42,E-7,True,47
13,3,46,E-7,True,41
13,4,46,E-7,True,41
14,1,44,F7,True,50
14,2,46,F7,True,51
14,3,40,F7,True,47
14,4,37,F7,True,43
15,1,51,Bbj7,True,42
15,2,49,Bbj7,True,50
15,3,50,Bbj7,True,38
15,4,44,Bbj7,True,38
16,1,37,E-7,True,42
16,2,47,E-7,True,47
16,3,47,A79#,True,37
16,4,45,A79#,True,38
17,1,48,E-7,True,45
17,2,49,E-7,True,45
17,3,48,E-7,True,47
17,4,40,E-7,True,42
18,1,41,A7,True,40
18,2,41,A7,True,47
18,3,44,A7,True,45
18,4,49,A7,True,45
19,1,47,Dj7,True,45
19,2,45,Dj7,True,45
19,3,49,Dj7,True,45
19,4,45,Dj7,True,47
20,1,38,Dj7,True,49
20,2,45,Dj7,True,49
20,3,49,Dj7,True,47
20,4,40,Dj7,True,38
21,1,44,D-7,True,45
21,2,47,D-7,True,45
21,3,51,D-7,True,43
21,4,40,D-7,True,43
22,1,41,G7,True,42
22,2,48,G7,True,42
22,3,41,G7,True,38
22,4,49,G7,True,42
23,1,41,Cj7,True,43
23,2,44,Cj7,True,43
23,3,48,Cj7,True,47
23,4,47,Cj7,True,42
24,1,38,Cj7,True,45
24,2,50,Cj7,True,42
24,3,43,Cj7,True,42
24,4,49,Cj7,True,50
25,1,39,C-7,True,43
25,2,41,C-7,True,45
25,3,48,C-7,True,34
25,4,39,C-7,True,47
26,1,46,F7,True,48
26,2,41,F7,True,38
26,3,41,F7,True,51
26,4,37,F7,True,51
27,1,46,Bbj7,True,41
27,2,50,Bbj7,True,41
27,3,50,Bbj7,True,41
27,4,51,Bbj7,True,50
28,1,45,Ebj7,True,50
28,2,44,Ebj7,True,50
