bar,beat,note,chord,replaced,original_value
1,1,48,G-,True,50
1,2,49,G-,True,50
1,3,38,D7,True,37
1,4,48,D7,True,37
2,1,48,G-,True,37
2,2,38,G-,True,37
2,3,46,D7,True,37
2,4,51,D7,True,37
3,1,42,G-,True,50
3,2,46,G-,True,50
3,3,38,D7,True,37
3,4,48,D7,True,37
4,1,47,G-,True,37
4,2,52,G-,True,37
4,3,51,G7,True,50
4,4,43,G7,True,50
5,1,48,C-,True,37
5,2,39,C-,True,37
5,3,48,C-,True,37
5,4,38,C-,True,37
6,1,52,C-,True,42
6,2,49,C-,True,38
6,3,51,C-,True,42
6,4,41,C-,True,37
7,1,50,Am7b5,True,37
7,2,46,Am7b5,True,37
7,3,52,Am7b5,True,37
7,4,40,Am7b5,True,37
8,1,50,D7,True,37
8,2,49,D7,True,37
8,3,40,D7,True,37
8,4,49,D7,True,37
9,1,48,G-,True,50
9,2,37,G-,True,50
9,3,41,G-,True,37
9,4,50,G-,True,37
10,1,38,G-,True,37
10,2,47,G-,True,37
10,3,38,G-,True,37
10,4,48,G-,True,37
11,1,39,G-,True,50
11,2,38,G-,True,50
11,3,50,G-,True,45
11,4,46,G-,True,45
12,1,48,C-7,True,50
12,2,51,C-7,True,50
12,3,43,F7,True,37
12,4,46,F7,True,50
13,1,47,Bbj7,True,37
13,2,52,Bbj7,True,37
13,3,47,Eb7,True,37
13,4,38,Eb7,True,37
14,1,41,Am7b5,True,37
14,2,51,Am7b5,True,37
14,3,37,D7,True,45
14,4,46,D7,True,45
15,1,52,G-,True,50
15,2,49,G-,True,50
15,3,48,G-,True,37
15,4,45,G-,True,47
16,1,38,Am7b5,True,50
16,2,38,Am7b5,True,37
16,3,38,D7,True,50
16,4,40,D7,True,47
17,1,38,G-,True,50
17,2,51,G-,True,50
17,3,46,G-,True,37
17,4,42,G-,True,37
18,1,43,G-,True,50
18,2,49,G-,True,50
18,3,52,G-,True,37
18,4,38,G-,True,37
19,1,51,G-,True,50
19,2,52,G-,True,50
19,3,45,G-,True,37
19,4,39,G-,True,37
20,1,38,G-,True,37
20,2,44,G-,True,37
20,3,38,G7,True,37
20,4,51,G7,True,50
21,1,39,C-,True,37
21,2,41,C-,True,37
21,3,41,C-,True,37
21,4,43,C-,True,42
22,1,43,C-,True,42
22,2,52,C-,True,37
22,3,50,C-,True,37
22,4,47,C-,True,37
23,1,49,Am7b5,True,37
23,2,44,Am7b5,True,37
23,3,50,Am7b5,True,47
23,4,51,Am7b5,True,47
24,1,43,D7,True,37
24,2,48,D7,True,47
24,3,51,D7,True,37
24,4,46,D7,True,37
25,1,40,G-,True,50
25,2,50,G-,True,50
25,3,51,G-,True,37
25,4,49,G-,True,37
26,1,37,G-,True,37
26,2,49,G-,True,37
26,3,47,G-,True,37
26,4,50,G-,True,37
27,1,44,G-,True,50
27,2,40,G-,True,50
27,3,40,G-,True,45
27,4,44,G-,True,45
28,1,50,G-7,True,50
28,2,45,G-7,True,50
28,3,48,G-7,True,50
28,4,50,F7,True,37
29,1,41,Bbj7,True,37
29,2,39,Bbj7,True,37
29,3,52,Eb7,True,37
29,4,40,Eb7,True,50
30,1,50,Am7b5,True,37
30,2,42,Am7b5,True,42
30,3,42,D7,True,38
30,4,52,D7,True,47
31,1,48,G-,True,50
31,2,38,G-,True,50
31,3,37,G-,True,37
31,4,48,G-,True,47
32,1,40,Am7b5,True,50
32,2,45,Am7b5,True,37
32,3,38,D7,True,37
32,4,41,D7,True,37
33,1,37,G-,True,50
33,2,37,G-,True,50
33,3,46,G-,True,50
33,4,43,G-,True,37
34,1,49,G-,True,50
34,2,50,G-,True,37
34,3,49,G-,True,42
34,4,48,G-,True,37
35,1,38,G-,True,50
35,2,46,G-,True,50
35,3,42,G-,True,37
35,4,40,G-,True,37
36,1,42,G-,True,50
36,2,46,G-,True,50
36,3,51,G7,True,50
36,4,38,G7,True,37
37,1,45,C-,True,52
37,2,50,C-,True,37
37,3,50,C-,True,50
37,4,48,C-,True,50
38,1,46,C-,True,37
38,2,44,C-,True,38
38,3,43,C-,True,37
38,4,50,C-,True,37
39,1,47,Am7b5,True,37
39,2,47,Am7b5,True,47
39,3,50,Am7b5,True,37
39,4,37,Am7b5,True,47
40,1,52,D7,True,37
40,2,38,D7,True,37
40,3,49,D7,True,47
40,4,42,D7,True,37
41,1,47,G-,True,50
41,2,40,G-,True,50
41,3,37,G-,True,37
41,4,43,G-,True,38
42,1,39,G-,True,37
42,2,38,G-,True,37
42,3,51,G-,True,37
42,4,49,G-,True,37
43,1,49,G-,True,50
43,2,42,G-,True,50
43,3,37,G-,True,37
43,4,51,G-,True,37
44,1,49,C-7,True,37
44,2,45,C-7,True,37
44,3,45,F7,True,37
44,4,50,F7,True,50
45,1,42,Bbj7,True,37
45,2,52,Bbj7,True,47
45,3,48,Eb7,True,50
45,4,43,Eb7,True,37
46,1,49,Am7b5,True,37
46,2,51,Am7b5,True,37
46,3,52,D7,True,50
46,4,39,D7,True,37
47,1,42,G-,True,50
47,2,42,G-,True,50
47,3,38,G-,True,37
47,4,38,G-,True,37
48,1,41,Am7b5,True,50
48,2,37,Am7b5,True,37
48,3,50,D7,True,37
48,4,38,D7,True,37
49,1,46,G-,True,50
49,2,37,G-,True,38
49,3,41,G-,True,37
49,4,49,G-,True,37
50,1,41,G-,True,37
50,2,49,G-,True,37
50,3,40,G-,True,37
50,4,40,G-,True,37
51,1,41,G-,True,50
51,2,47,G-,True,50
51,3,49,G-,True,37
51,4,52,G-,True,37
52,1,43,G-,True,50
52,2,47,G-,True,38
52,3,47,G-,True,37
52,4,44,G-,True,50
53,1,52,C-,True,37
53,2,46,C-,True,37
53,3,49,C-,True,37
53,4,40,C-,True,38
54,1,40,C-,True,38
54,2,47,C-,True,37
54,3,43,C-,True,37
54,4,40,C-,True,37
55,1,38,Am7b5,True,37
55,2,41,Am7b5,True,37
55,3,44,Am7b5,True,47
55,4,50,Am7b5,True,47
56,1,52,D7,True,37
56,2,45,D7,True,37
56,3,41,D7,True,37
56,4,49,D7,True,37
57,1,49,G-,True,50
57,2,46,G-,True,50
57,3,42,G-,True,37
57,4,42,G-,True,37
58,1,42,G-,True,37
58,2,43,G-,True,37
58,3,49,G-,True,37
58,4,46,G-,True,37
59,1,44,G-,True,50
59,2,43,G-,True,50
59,3,44,G-,True,37
59,4,43,G-,True,37
60,1,43,C-7,True,50
60,2,51,C-7,True,50
60,3,42,F7,True,50
60,4,40,F7,True,50
61,1,51,Bbj7,True,37
61,2,47,Bbj7,True,37
61,3,48,Eb7,True,37
61,4,37,Eb7,True,37
62,1,49,Am7b5,True,42
62,2,45,Am7b5,True,40
62,3,37,D7,True,51
62,4,47,D7,True,38
63,1,46,D7,True,37
63,2,39,D7,True,37
63,3,37,D7,True,37
63,4,42,D7,True,38
64,1,43,D7,True,37
64,2,45,D7,True,40
64,3,47,D7,True,37
64,4,40,D7,True,51
65,1,42,D7,True,41
65,2,48,D7,True,40
65,3,46,G-7,True,37
65,4,47,G-7,True,37
66,1,50,G-7,True,38
66,2,37,G-7,True,38
66,3,45,G-7,True,37
66,4,50,G-7,True,37
