bar,beat,note,chord,replaced,original_value
1,1,48,Bb7,True,45
1,2,43,Bb7,True,42
1,3,35,Bb7,True,37
1,4,41,Bb7,True,47
2,1,43,Bb7,True,47
2,2,37,Bb7,True,47
2,3,36,Bb7,True,48
2,4,50,Bb7,True,37
3,1,37,Bb7,True,37
3,2,44,Bb7,True,37
3,3,33,Bb7,True,51
3,4,46,Bb7,True,50
4,1,41,Bb7,True,43
4,2,36,Bb7,True,42
4,3,42,Bb7,True,37
4,4,46,Bb7,True,47
5,1,44,Eb7,True,42
5,2,40,Eb7,True,50
5,3,33,Eb7,True,51
5,4,44,Eb7,True,37
6,1,41,Eb7,True,50
6,2,47,Eb7,True,50
6,3,45,Eb7,True,48
6,4,47,Eb7,True,42
7,1,51,Bb7,True,45
7,2,46,Bb7,True,50
7,3,33,Bb7,True,37
7,4,49,Bb7,True,51
8,1,49,Bb7,True,50
8,2,43,Bb7,True,37
8,3,35,Bb7,True,37
8,4,36,Bb7,True,37
9,1,43,C-7,True,37
9,2,38,C-7,True,37
9,3,49,C-7,True,51
9,4,41,C-7,True,44
10,1,35,F7,True,43
10,2,49,F7,True,37
10,3,49,F7,True,37
10,4,43,F7,True,37
11,1,33,Bb7,True,50
11,2,41,Bb7,True,45
11,3,43,Bb7,True,50
11,4,40,Bb7,True,37
12,1,35,Bb7,True,37
12,2,45,Bb7,True,42
12,3,33,Bb7,True,37
12,4,48,Bb7,True,42
13,1,38,Bb7,True,37
13,2,40,Bb7,True,42
13,3,37,Bb7,True,41
13,4,51,Bb7,True,37
14,1,45,Eb7,True,37
14,2,41,Eb7,True,37
14,3,44,Eb7,True,37
14,4,45,Eb7,True,37
15,1,45,Bb7,True,37
15,2,43,Bb7,True,37
15,3,34,Bb7,True,37
15,4,42,Bb7,True,37
16,1,33,Bb7,True,37
16,2,39,Bb7,True,37
16,3,43,Bb7,True,37
16,4,47,Bb7,True,37
17,1,43,Eb7,True,37
17,2,50,Eb7,True,37
17,3,34,Eb7,True,37
17,4,35,Eb7,True,37
18,1,50,Eb7,True,50
18,2,45,Eb7,True,50
18,3,45,Eb7,True,48
18,4,42,Eb7,True,47
19,1,39,Bb7,True,45
19,2,43,Bb7,True,43
19,3,36,Bb7,True,37
19,4,42,Bb7,True,37
