bar,beat,note,chord,replaced,original_value
1,1,45,NC,True,44
1,2,43,NC,True,43
1,3,47,NC,True,43
1,4,42,NC,True,43
2,1,46,NC,True,42
2,2,42,NC,True,42
2,3,47,NC,True,43
2,4,42,NC,True,43
3,1,41,NC,True,43
3,2,44,NC,True,44
3,3,46,NC,True,44
3,4,42,NC,True,43
4,1,45,NC,True,33
4,2,46,NC,True,45
4,3,46,NC,True,42
4,4,43,NC,True,42
5,1,45,NC,True,47
5,2,43,NC,True,50
5,3,42,NC,True,47
5,4,41,NC,True,49
6,1,47,NC,True,44
6,2,43,NC,True,43
6,3,46,NC,True,42
6,4,45,NC,True,52
7,1,47,NC,True,51
7,2,45,NC,True,50
7,3,45,NC,True,43
7,4,44,NC,True,43
8,1,47,NC,True,35
8,2,41,NC,True,47
8,3,45,NC,True,37
8,4,41,NC,True,37
9,1,41,NC,True,38
9,2,42,NC,True,38
9,3,47,NC,True,43
9,4,46,NC,True,44
10,1,47,NC,True,50
10,2,43,NC,True,50
10,3,42,NC,True,45
10,4,47,NC,True,44
11,1,43,NC,True,43
11,2,41,NC,True,43
11,3,44,NC,True,37
11,4,43,NC,True,44
12,1,42,NC,True,43
12,2,46,NC,True,48
12,3,47,NC,True,43
12,4,44,NC,True,43
13,1,41,NC,True,42
13,2,43,NC,True,43
13,3,45,NC,True,44
13,4,44,NC,True,43
14,1,44,NC,True,45
14,2,42,NC,True,42
14,3,47,NC,True,43
14,4,44,NC,True,44
15,1,41,NC,True,43
15,2,44,NC,True,49
15,3,41,NC,True,42
15,4,47,NC,True,49
16,1,46,NC,True,43
16,2,43,NC,True,49
16,3,43,NC,True,47
16,4,43,NC,True,42
17,1,44,NC,True,51
17,2,41,NC,True,42
17,3,45,NC,True,45
17,4,45,NC,True,45
18,1,42,NC,True,43
18,2,43,NC,True,50
18,3,47,NC,True,43
18,4,45,NC,True,43
19,1,41,NC,True,35
19,2,43,NC,True,47
19,3,44,NC,True,43
19,4,46,NC,True,38
20,1,41,NC,True,38
20,2,42,NC,True,38
20,3,47,NC,True,45
20,4,42,NC,True,45
21,1,42,NC,True,50
21,2,45,NC,True,43
21,3,44,NC,True,43
21,4,41,NC,True,44
22,1,42,NC,True,51
22,2,46,NC,True,43
22,3,47,NC,True,50
22,4,41,NC,True,43
23,1,41,NC,True,43
23,2,46,NC,True,43
23,3,45,NC,True,50
23,4,41,NC,True,44
24,1,42,NC,True,43
24,2,47,NC,True,50
24,3,46,NC,True,43
24,4,41,NC,True,41
25,1,41,NC,True,50
25,2,47,NC,True,50
25,3,45,NC,True,43
25,4,47,NC,True,43
26,1,42,NC,True,48
26,2,43,NC,True,43
26,3,43,NC,True,42
26,4,41,NC,True,43
27,1,47,NC,True,43
27,2,46,NC,True,50
27,3,44,NC,True,43
27,4,42,NC,True,43
28,1,47,NC,True,44
28,2,42,NC,True,45
28,3,43,NC,True,50
28,4,45,NC,True,43
29,1,47,NC,True,43
29,2,42,NC,True,43
29,3,41,NC,True,43
29,4,45,NC,True,42
30,1,46,NC,True,43
30,2,42,NC,True,43
30,3,41,NC,True,43
30,4,46,NC,True,43
31,1,41,NC,True,43
31,2,41,NC,True,43
31,3,41,NC,True,43
31,4,41,NC,True,43
32,1,42,NC,True,43
32,2,45,NC,True,43
32,3,47,NC,True,43
32,4,44,NC,True,50
33,1,46,NC,True,44
33,2,46,NC,True,44
33,3,42,NC,True,49
33,4,41,NC,True,43
34,1,44,NC,True,48
34,2,42,NC,True,43
34,3,47,NC,True,44
34,4,46,NC,True,43
35,1,43,NC,True,43
35,2,45,NC,True,50
35,3,44,NC,True,45
35,4,44,NC,True,43
36,1,45,NC,True,51
36,2,42,NC,True,45
36,3,42,NC,True,50
36,4,45,NC,True,44
37,1,41,NC,True,35
37,2,42,NC,True,35
37,3,41,NC,True,44
37,4,44,NC,True,43
38,1,42,NC,True,37
38,2,44,NC,True,43
38,3,42,NC,True,38
38,4,42,NC,True,40
39,1,41,NC,True,50
39,2,43,NC,True,50
39,3,45,NC,True,44
39,4,44,NC,True,43
40,1,46,NC,True,49
40,2,41,NC,True,50
40,3,42,NC,True,49
40,4,41,NC,True,48
41,1,44,NC,True,40
41,2,45,NC,True,42
41,3,44,NC,True,43
41,4,46,NC,True,44
