bar,beat,note,chord,replaced,original_value
1,1,37,C-,False,
1,2,40,C-,False,
1,3,38,C-/Bb,False,
1,4,41,C-/Bb,False,
2,1,51,Ab,False,
2,2,50,Ab,False,
2,3,50,G7,False,
2,4,49,G7,True,51
3,1,42,C-,True,51
3,2,45,C-,True,41
3,3,47,C-/Bb,True,41
3,4,41,C-/Bb,False,
4,1,40,Ab,True,51
4,2,50,Ab,False,
4,3,39,G7,True,50
4,4,38,G7,True,42
5,1,37,C-,False,
5,2,47,C-,True,50
5,3,50,C-/Bb,False,
5,4,41,C-/Bb,False,
6,1,50,Ab,False,
6,2,50,Ab,False,
6,3,50,G7,False,
6,4,51,G7,False,
7,1,51,C-,False,
7,2,41,C-,False,
7,3,37,C-/Bb,False,
7,4,37,C-/Bb,False,
8,1,37,Ab,False,
8,2,42,Ab,True,37
8,3,38,G7,False,
8,4,42,G7,False,
9,1,41,C-,False,
9,2,47,C-,True,50
9,3,43,C-/Bb,True,50
9,4,41,C-/Bb,False,
10,1,51,Ab,False,
10,2,50,Ab,False,
10,3,50,G7,False,
10,4,50,G7,False,
11,1,50,C-,False,
11,2,41,C-,False,
11,3,40,C-/Bb,False,
11,4,46,C-/Bb,True,42
12,1,45,Ab,True,51
12,2,50,Ab,False,
12,3,50,G7,False,
12,4,40,G7,False,
13,1,50,C-,False,
13,2,50,C-,False,
13,3,50,C-/Bb,False,
13,4,41,C-/Bb,False,
14,1,51,Ab,False,
14,2,50,Ab,False,
14,3,50,G7,True,50
14,4,50,G7,False,
15,1,50,C-,False,
15,2,41,C-,False,
15,3,41,C-/Bb,False,
15,4,41,C-/Bb,False,
16,1,50,Ab,False,
16,2,51,Ab,True,50
16,3,37,G7,False,
16,4,49,G7,True,37
17,1,42,C7,False,
17,2,38,C7,False,
17,3,38,C7,False,
17,4,49,C7,True,37
18,1,47,C7,True,37
18,2,45,C7,True,37
18,3,50,C7,True,37
18,4,41,C7,False,
19,1,38,F7,False,
19,2,50,F7,False,
19,3,50,F7,False,
19,4,50,F7,False,
20,1,51,F7,False,
20,2,40,F7,False,
20,3,51,F7,True,41
20,4,37,F7,False,
21,1,37,Bb7,False,
21,2,37,Bb7,False,
21,3,48,Bb7,True,37
21,4,37,Bb7,False,
22,1,37,Bb7,False,
22,2,37,Bb7,False,
22,3,41,Bb7,False,
22,4,51,Bb7,False,
23,1,50,Eb7,True,51
23,2,50,Eb7,False,
23,3,37,Eb7,False,
23,4,45,Eb7,True,38
24,1,41,D-,True,41
24,2,51,D-,False,
24,3,51,G7,False,
24,4,38,G7,False,
25,1,37,C-,False,
25,2,38,C-,False,
25,3,42,C-/Bb,False,
25,4,41,C-/Bb,True,41
26,1,51,Ab,False,
26,2,50,Ab,False,
26,3,37,G7,False,
26,4,50,G7,False,
27,1,51,C-,False,
27,2,41,C-,False,
27,3,41,C-/Bb,False,
27,4,42,C-/Bb,False,
28,1,37,Ab,True,51
28,2,50,Ab,False,
28,3,50,G7,False,
28,4,39,G7,True,50
29,1,38,C-,True,51
29,2,41,C-,False,
29,3,40,C-/Bb,True,42
29,4,42,C-/Bb,False,
30,1,40,Ab,True,40
30,2,50,Ab,False,
30,3,40,G7,True,50
30,4,38,G7,False,
31,1,51,C-,False,
31,2,41,C-,False,
31,3,42,C-/Bb,False,
31,4,43,C-/Bb,False,
32,1,41,Ab,False,
32,2,40,Ab,False,
32,3,50,G7,False,
32,4,50,G7,False,
33,1,37,C-,False,
33,2,37,C-,False,
33,3,37,C-/Bb,False,
33,4,37,C-/Bb,False,
34,1,38,Ab,False,
34,2,37,Ab,False,
34,3,41,G7,False,
