bar,beat,note,chord,replaced,original_value
1,1,42,Eb,False,
1,2,50,Eb,False,
1,3,41,Eb,False,
1,4,42,Eb,False,
2,1,34,Eb,False,
2,2,48,Eb,True,50
2,3,50,Eb,False,
2,4,42,Eb,False,
3,1,34,Eb,False,
3,2,46,Eb,True,34
3,3,44,D7,False,
3,4,44,Db7,False,
4,1,43,C7,False,
4,2,47,C7,False,
4,3,50,C7,False,
4,4,44,C7,True,45
5,1,48,F7,False,
5,2,48,F7,False,
5,3,43,F7,True,48
5,4,42,F7,False,
6,1,41,Bb7,False,
6,2,51,Bb7,False,
6,3,50,Bb7,False,
6,4,45,Bb7,True,42
7,1,40,G-7,True,50
7,2,40,G-7,True,50
7,3,49,Gb7,False,
7,4,48,Gb7,False,
8,1,45,F-7,True,48
8,2,43,F-7,False,
8,3,41,Bb7,False,
8,4,42,Bb7,False,
9,1,42,Eb,False,
9,2,42,Eb,False,
9,3,41,Eb,False,
9,4,44,Eb,True,42
10,1,42,Eb,False,
10,2,49,Eb,True,42
10,3,51,Eb,True,43
10,4,50,Eb,False,
11,1,34,Eb,False,
11,2,39,Eb,True,34
11,3,44,D7,False,
11,4,38,Db7,True,42
12,1,43,C7,False,
12,2,49,C7,True,50
12,3,43,C7,False,
12,4,43,C7,False,
13,1,48,F7,False,
13,2,48,F7,False,
13,3,48,F7,False,
13,4,40,F7,False,
14,1,41,Bb7,False,
14,2,51,Bb7,False,
14,3,50,Bb7,False,
14,4,42,Bb7,False,
15,1,41,Eb,True,34
15,2,34,Eb,False,
15,3,51,Eb,False,
15,4,42,Eb,False,
16,1,34,Eb7,False,
16,2,45,Eb7,False,
16,3,47,Eb7,True,42
16,4,42,Eb+7,False,
17,1,51,Ab,False,
17,2,46,Ab,True,51
17,3,34,Ab,False,
17,4,34,Ab,False,
18,1,50,C7,False,
18,2,45,C7,True,43
18,3,43,C7,False,
18,4,44,C7,True,43
19,1,48,F-,False,
19,2,48,F-,False,
19,3,43,F-,False,
19,4,43,F-,False,
20,1,48,F-,False,
20,2,44,F-,True,43
20,3,43,F-,False,
20,4,48,F-,False,
21,1,41,Bb7,False,
21,2,42,Bb7,False,
21,3,48,Bb7,False,
21,4,48,Bb7,False,
22,1,41,Bb7,False,
22,2,51,Bb7,False,
22,3,49,Bb7,True,50
22,4,48,Bb7,False,
23,1,34,Eb,False,
23,2,34,Eb,False,
23,3,47,Eo,False,
23,4,47,Eo,True,48
24,1,48,F-7,False,
24,2,43,F-7,False,
24,3,50,Bb7,True,41
24,4,42,Bb7,False,
25,1,42,Eb,False,
25,2,38,Eb,False,
25,3,50,Eb,False,
25,4,49,Eb,True,50
26,1,42,Eb,False,
26,2,51,Eb,False,
26,3,50,Eb,False,
26,4,39,Eb,True,42
27,1,34,Eb,False,
27,2,34,Eb,False,
27,3,44,D7,False,
27,4,44,Db7,False,
28,1,45,C7,True,43
28,2,40,C7,True,45
28,3,50,C7,True,47
28,4,50,C7,False,
29,1,48,F7,False,
29,2,48,F7,False,
29,3,48,F7,False,
29,4,48,F7,False,
30,1,43,Bb7,True,41
30,2,51,Bb7,False,
30,3,50,Bb7,False,
30,4,50,Bb7,False,
31,1,34,Eb,False,
31,2,50,Eb,True,34
31,3,50,Ab7,False,
31,4,50,Ab7,False,
32,1,41,Eb,True,41
32,2,44,Eb,True,40
32,3,40,Eb,False,
32,4,37,NC,False,
