bar,beat,note,chord,replaced,original_value
1,1,48,Bbj7,True,41
1,2,44,Bbj7,False,
1,3,44,Bbj7,True,44
1,4,44,Bbj7,True,38
2,1,42,Eb7,True,37
2,2,44,Eb7,False,
2,3,37,Eb7,False,
2,4,43,Eb7,False,
3,1,44,Ab7,False,
3,2,44,Ab7,False,
3,3,45,Ab7,False,
3,4,45,Ab7,False,
4,1,42,G7,True,50
4,2,50,G7,False,
4,3,51,G7,False,
4,4,50,G7,False,
5,1,46,C7,True,44
5,2,43,C7,False,
5,3,45,C7,True,42
5,4,42,C7,True,42
6,1,43,C7,False,
6,2,46,C7,True,43
6,3,37,C7,False,
6,4,37,C7,False,
7,1,44,C-7,True,38
7,2,43,C-7,True,38
7,3,38,C-7,False,
7,4,38,C-7,False,
8,1,40,F7,False,
8,2,47,F7,True,40
8,3,43,F7,False,
8,4,43,F7,False,
9,1,45,Bbj7,False,
9,2,48,Bbj7,True,45
9,3,42,Bbj7,True,48
9,4,48,Bbj7,False,
10,1,34,Eb7,False,
10,2,47,Eb7,True,34
10,3,37,Eb7,False,
10,4,43,Eb7,False,
11,1,45,Ab7,True,51
11,2,43,Ab7,True,51
11,3,48,Ab7,True,45
11,4,45,Ab7,False,
12,1,50,G7,False,
12,2,50,G7,False,
12,3,44,G7,True,50
12,4,45,G7,False,
13,1,43,C7,False,
13,2,43,C7,False,
13,3,37,C7,False,
13,4,37,C7,False,
14,1,42,C-7,False,
14,2,42,C-7,False,
14,3,45,F7,True,44
14,4,40,F7,True,48
15,1,48,Bb6,False,
15,2,43,Bb6,True,44
15,3,47,Bb6,True,45
15,4,37,Bb6,False,
16,1,41,Bb6,True,43
16,2,43,Bb6,False,
16,3,44,Bb6,False,
16,4,43,Bb6,True,43
17,1,47,Am7b5,True,45
17,2,45,Am7b5,True,45
17,3,45,D7,False,
17,4,45,D7,True,45
18,1,48,G-6,True,45
18,2,45,G-6,False,
18,3,45,G-6,False,
18,4,45,G-6,False,
19,1,45,G-6,False,
19,2,45,G-6,False,
19,3,44,D7,False,
19,4,44,D7,False,
20,1,45,G-6,False,
20,2,45,G-6,False,
20,3,45,G-6,False,
20,4,44,G-6,True,45
21,1,45,Am7b5,False,
21,2,45,Am7b5,False,
21,3,48,D7,True,45
21,4,45,D7,False,
22,1,45,G-7,False,
22,2,45,G-7,False,
22,3,45,G-7,False,
22,4,45,G-7,False,
23,1,46,C7,True,43
23,2,43,C7,False,
23,3,37,C7,False,
23,4,37,C7,False,
24,1,42,F7,False,
24,2,42,F7,False,
24,3,48,F7,False,
24,4,37,F7,False,
25,1,48,Bbj7,True,40
25,2,41,Bbj7,False,
25,3,41,Bbj7,False,
25,4,48,Bbj7,True,41
26,1,47,Eb7,True,34
26,2,48,Eb7,False,
26,3,46,Eb7,True,50
26,4,50,Eb7,False,
27,1,37,Ab7,False,
27,2,50,Ab7,False,
27,3,51,Ab7,False,
27,4,51,Ab7,False,
28,1,50,G7,False,
28,2,50,G7,False,
28,3,48,G7,True,44
28,4,44,G7,False,
29,1,45,C7,True,43
29,2,43,C7,False,
29,3,43,C7,False,
29,4,41,C7,True,37
30,1,40,C-7,True,42
30,2,47,C-7,True,42
30,3,42,F7,False,
30,4,43,F7,True,37
31,1,37,Bb6,False,
31,2,42,Bb6,False,
31,3,43,Bb6,False,
31,4,44,Bb6,False,
32,1,50,F7,False,
32,2,48,F7,False,
32,3,45,F7,False,
32,4,42,F7,False,
33,1,45,Bbj7,False,
33,2,41,Bbj7,False,
33,3,47,Bbj7,False,
33,4,47,Bbj7,False,
34,1,40,Eb7,True,34
34,2,41,Eb7,True,34
34,3,34,Eb7,False,
34,4,48,Eb7,True,34
35,1,45,Ab7,False,
35,2,45,Ab7,False,
35,3,51,Ab7,False,
35,4,43,Ab7,False,
36,1,48,G7,True,50
36,2,50,G7,False,
36,3,42,G7,False,
36,4,42,G7,False,
37,1,44,C7,False,
37,2,45,C7,False,
37,3,44,C7,False,
37,4,44,C7,False,
38,1,37,C7,False,
38,2,49,C7,False,
38,3,50,C7,False,
38,4,41,C7,True,42
39,1,43,C-7,False,
39,2,45,C-7,False,
39,3,42,C-7,True,44
39,4,43,C-7,True,45
40,1,44,F7,False,
40,2,44,F7,False,
40,3,44,F7,False,
40,4,44,F7,False,
41,1,41,Bbj7,False,
41,2,48,Bbj7,True,37
41,3,37,Bbj7,False,
41,4,37,Bbj7,False,
42,1,37,Eb7,False,
42,2,37,Eb7,False,
42,3,37,Eb7,False,
42,4,40,Eb7,True,37
43,1,44,Ab7,False,
43,2,44,Ab7,False,
43,3,51,Ab7,False,
43,4,44,Ab7,False,
44,1,50,G7,False,
44,2,40,G7,True,50
44,3,44,G7,False,
44,4,44,G7,False,
45,1,43,C7,False,
45,2,43,C7,False,
45,3,43,C7,False,
45,4,43,C7,False,
