bar,beat,note,chord,replaced,original_value
1,1,45,Ebj7,True,44
1,2,44,Ebj7,False,
1,3,42,Ebj7,True,48
1,4,41,Ebj7,False,
2,1,41,F-7/Bb,False,
2,2,48,F-7/Bb,False,
2,3,44,F-7/Bb,True,48
2,4,41,F-7/Bb,False,
3,1,44,Ebj7,False,
3,2,41,Ebj7,False,
3,3,48,Ebj7,False,
3,4,37,Ebj7,False,
4,1,41,F-7/Bb,False,
4,2,44,F-7/Bb,False,
4,3,44,F-7/Bb,False,
4,4,38,F-7/Bb,True,47
5,1,47,Eb7,False,
5,2,51,Eb7,False,
5,3,51,Ab7,False,
5,4,50,Ab7,False,
6,1,50,G-7,False,
6,2,44,G-7,False,
6,3,43,C7,False,
6,4,44,C7,True,48
7,1,48,F-7,False,
7,2,43,F-7,True,42
7,3,42,F-7,False,
7,4,41,F-7,True,41
8,1,41,Bb7,False,
8,2,41,Bb7,True,43
8,3,45,Bb7,True,43
8,4,44,Bb7,False,
9,1,48,F-7,False,
9,2,39,F-7,True,42
9,3,48,F-7,False,
9,4,48,F-7,False,
10,1,36,Bb7,True,43
10,2,42,Bb7,False,
10,3,52,Bb7,True,48
10,4,41,Bb7,False,
11,1,41,F-7,False,
11,2,41,F-7,False,
11,3,48,F-7,False,
11,4,37,F-7,False,
12,1,41,Bb7,False,
12,2,37,Bb7,False,
12,3,42,Bb7,False,
12,4,41,Bb7,True,48
13,1,48,F-7,False,
13,2,35,F-7,True,48
13,3,44,F-7,False,
13,4,35,F-7,True,48
14,1,43,Bb7,False,
14,2,44,Bb7,False,
14,3,45,Bb7,True,48
14,4,48,Bb7,False,
15,1,44,Ebj7,False,
15,2,47,Ebj7,True,44
15,3,48,Ebj7,False,
15,4,50,Ebj7,False,
16,1,50,F-7,False,
16,2,37,F-7,False,
16,3,41,Bb7,False,
16,4,39,Bb7,True,42
17,1,44,Ebj7,False,
17,2,37,Ebj7,False,
17,3,50,Ebj7,False,
17,4,37,Ebj7,False,
18,1,43,F-7/Bb,False,
18,2,39,F-7/Bb,True,48
18,3,43,F-7/Bb,True,48
18,4,50,F-7/Bb,True,41
19,1,44,Ebj7,False,
19,2,44,Ebj7,False,
19,3,50,Ebj7,False,
19,4,34,Ebj7,True,50
20,1,43,F-7/Bb,False,
20,2,43,F-7/Bb,False,
20,3,48,F-7/Bb,False,
20,4,42,F-7/Bb,True,37
21,1,43,Eb7,False,
21,2,43,Eb7,False,
21,3,50,Ab7,False,
21,4,50,Ab7,False,
22,1,52,G-7,True,43
22,2,37,G-7,False,
22,3,37,C7,False,
22,4,48,C7,False,
23,1,48,F-7,False,
23,2,48,F-7,False,
23,3,37,F-7,False,
23,4,37,F-7,False,
24,1,41,Bb7,True,41
24,2,41,Bb7,False,
24,3,37,Bb7,False,
24,4,48,Bb7,False,
25,1,48,F-7,False,
25,2,47,F-7,True,44
25,3,43,F-7,False,
25,4,36,F-7,True,43
26,1,41,Bb7,False,
26,2,41,Bb7,False,
26,3,43,Bb7,False,
26,4,41,Bb7,True,43
27,1,48,F-7,False,
27,2,48,F-7,False,
27,3,42,F-7,False,
27,4,42,F-7,False,
28,1,40,Bb7,True,42
28,2,42,Bb7,False,
28,3,42,Bb7,True,44
28,4,44,Bb7,False,
29,1,49,F-7,False,
29,2,49,F-7,False,
29,3,48,F-7,False,
29,4,42,F-7,True,48
30,1,42,Bb7,False,
30,2,35,Bb7,True,44
30,3,44,Bb7,False,
30,4,42,Bb7,False,
31,1,47,Ebj7,True,42
31,2,37,Ebj7,False,
31,3,37,Ebj7,False,
31,4,37,Ebj7,False,
32,1,39,Dm7b5,False,
32,2,51,Dm7b5,False,
32,3,50,G7,False,
32,4,44,G7,False,
33,1,45,C-7,False,
33,2,50,C-7,False,
33,3,37,C-7,False,
33,4,44,C-7,True,37
34,1,35,F7,True,37
34,2,44,F7,False,
34,3,44,F7,False,
34,4,45,F7,False,
35,1,41,Bbj7,False,
35,2,42,Bbj7,False,
35,3,44,Bbj7,True,43
35,4,49,Bbj7,True,37
36,1,37,Bbj7,False,
36,2,38,Bbj7,True,43
36,3,42,Bbj7,False,
36,4,44,Bbj7,False,
37,1,42,Bb-7,False,
37,2,52,Bb-7,False,
37,3,37,Bb-7,False,
37,4,47,Bb-7,False,
38,1,47,Eb7,False,
38,2,47,Eb7,False,
38,3,48,Eb7,False,
38,4,50,Eb7,False,
39,1,51,Abj7,False,
39,2,44,Abj7,False,
39,3,44,Abj7,False,
39,4,49,Abj7,True,44
40,1,44,Ab-7,False,
40,2,44,Ab-7,False,
40,3,41,Db7,True,44
40,4,43,Db7,False,
41,1,52,Ebj7,True,44
41,2,39,Ebj7,True,37
41,3,48,Ebj7,False,
41,4,37,Ebj7,False,
42,1,43,F-7/Bb,True,41
42,2,52,F-7/Bb,True,48
42,3,48,F-7/Bb,False,
42,4,34,F-7/Bb,True,41
43,1,44,Fm7b5,False,
43,2,39,Fm7b5,True,41
43,3,38,Fm7b5,False,
43,4,43,Fm7b5,False,
44,1,40,C79#,True,43
44,2,43,C79#,False,
44,3,37,C79#,False,
44,4,37,C79#,False,
45,1,37,F-7,False,
45,2,37,F-7,False,
45,3,42,F-7,False,
45,4,43,F-7,True,42
46,1,41,Bb7,False,
46,2,34,Bb7,True,41
46,3,45,Bb7,False,
46,4,45,Bb7,False,
47,1,42,Ebj7,False,
47,2,34,Ebj7,False,
47,3,42,Ebj7,False,
47,4,48,Ebj7,False,
48,1,48,Ebj7,False,
48,2,48,Ebj7,False,
48,3,41,Ebj7,False,
48,4,44,Ebj7,False,
49,1,44,Ebj7,False,
49,2,42,Ebj7,False,
49,3,41,Ebj7,False,
49,4,48,Ebj7,False,
50,1,48,F-7/Bb,False,
50,2,50,F-7/Bb,True,48
50,3,36,F-7/Bb,True,44
50,4,43,F-7/Bb,True,44
51,1,44,Ebj7,False,
51,2,42,Ebj7,False,
51,3,44,Ebj7,True,37
51,4,48,Ebj7,False,
52,1,48,F-7/Bb,False,
