bar,beat,note,chord,replaced,original_value
1,1,48,F7,False,
1,2,50,F7,True,52
1,3,48,F7,True,43
1,4,34,F7,False,
2,1,42,Bb7,True,48
2,2,39,Bb7,True,41
2,3,39,Bb7,True,51
2,4,48,Bb7,False,
3,1,52,F7,False,
3,2,48,F7,False,
3,3,34,F7,False,
3,4,43,F7,False,
4,1,49,F#-,False,
4,2,51,F#-,True,44
4,3,42,B7,False,
4,4,42,B7,False,
5,1,40,Bb7,True,41
5,2,51,Bb7,False,
5,3,50,Bb7,False,
5,4,48,Bb7,False,
6,1,41,Bo,False,
6,2,42,Bo,False,
6,3,38,Bo,True,45
6,4,48,Bo,False,
7,1,48,E79#,False,
7,2,47,E79#,False,
7,3,52,Ab7913b,False,
7,4,51,Ab7913b,False,
8,1,52,A-7,False,
8,2,52,A-7,False,
8,3,50,Ab-7,False,
8,4,44,Ab-7,False,
9,1,50,G-7,False,
9,2,45,G-7,True,43
9,3,38,G-7,True,44
9,4,44,G-7,False,
10,1,44,C#-,False,
10,2,44,C#-,False,
10,3,49,F#7,False,
10,4,51,F#7,False,
11,1,42,B+7,False,
11,2,43,B+7,False,
11,3,43,B+7,True,44
11,4,42,B+7,False,
12,1,42,B+7,False,
12,2,44,B+7,False,
12,3,42,B+7,False,
12,4,37,B+7,False,
13,1,48,F7,False,
13,2,52,F7,False,
13,3,45,F7,True,48
13,4,43,F7,False,
14,1,41,Bb7,False,
14,2,51,Bb7,False,
14,3,50,Bb7,False,
14,4,48,Bb7,False,
15,1,48,F7,False,
15,2,51,F7,True,52
15,3,43,F7,False,
15,4,45,F7,False,
16,1,39,F#-,False,
16,2,37,F#-,False,
16,3,42,B7,False,
16,4,44,B7,False,
17,1,48,Bb7,True,41
17,2,48,Bb7,True,51
17,3,50,Bb7,False,
17,4,48,Bb7,False,
18,1,41,Bo,False,
18,2,42,Bo,False,
18,3,45,Bo,True,45
18,4,33,Bo,False,
19,1,47,E79#,False,
19,2,47,E79#,False,
19,3,52,A7913b,False,
19,4,52,A7913b,False,
20,1,51,A-7,False,
20,2,51,A-7,False,
20,3,45,Ab-7,True,50
20,4,44,Ab-7,False,
21,1,46,G-7,True,50
21,2,38,G-7,False,
21,3,41,G-7,False,
21,4,43,G-7,False,
22,1,44,C#-,False,
22,2,50,C#-,False,
22,3,49,F#7,False,
22,4,44,F#7,True,43
23,1,42,B+7,False,
23,2,43,B+7,False,
23,3,44,B+7,False,
23,4,45,B+7,False,
24,1,34,B+7,False,
24,2,44,B+7,True,42
24,3,45,B+7,True,44
24,4,47,B+7,False,
25,1,48,F7,True,48
25,2,52,F7,False,
25,3,43,F7,True,43
25,4,42,F7,False,
26,1,41,Bb7,False,
26,2,47,Bb7,True,44
26,3,42,Bb7,False,
26,4,39,Bb7,True,37
27,1,38,F7,False,
27,2,48,F7,False,
27,3,43,F7,False,
27,4,44,F7,False,
28,1,44,F#-,False,
28,2,33,F#-,False,
28,3,42,B7,False,
28,4,46,B7,True,42
29,1,40,Bb7,True,33
29,2,33,Bb7,False,
29,3,48,Bb7,True,47
29,4,48,Bb7,False,
30,1,42,Bo,False,
30,2,40,Bo,True,42
30,3,45,Bo,False,
30,4,51,Bo,True,51
31,1,50,E79#,True,47
31,2,47,E79#,False,
31,3,52,A7913b,False,
31,4,51,A7913b,False,
32,1,52,A-7,False,
32,2,47,A-7,True,52
32,3,50,Ab-7,False,
32,4,49,Ab-7,True,44
33,1,50,G-7,False,
33,2,50,G-7,False,
33,3,52,G-7,False,
33,4,47,G-7,True,41
34,1,44,C#-,False,
34,2,42,C#-,True,38
34,3,33,F7,False,
34,4,44,F7,False,
35,1,44,B+7,False,
35,2,42,B+7,False,
35,3,41,B+7,False,
35,4,42,B+7,False,
36,1,41,B+7,False,
36,2,42,B+7,False,
36,3,42,B+7,False,
36,4,49,B+7,True,42
37,1,46,F7,True,48
37,2,42,F7,True,34
37,3,45,F7,False,
37,4,43,F7,False,
38,1,41,Bb7,False,
38,2,41,Bb7,False,
