bar,beat,note,chord,replaced,original_value
1,1,44,D-,True,45
1,2,45,D-,False,
1,3,43,D-,False,
1,4,37,D-,True,43
2,1,41,Em7b5,False,
2,2,41,Em7b5,False,
2,3,38,A79b,True,40
2,4,42,A79b,False,
3,1,45,D-,False,
3,2,45,D-,False,
3,3,49,D-,True,48
3,4,40,D-,False,
4,1,41,Em7b5,False,
4,2,47,Em7b5,False,
4,3,47,A79b,False,
4,4,40,A79b,False,
5,1,45,D-,False,
5,2,47,D-,False,
5,3,48,D-/C#,False,
5,4,42,D-/C#,True,50
6,1,40,D-/C,False,
6,2,42,D-/C,False,
6,3,42,D-/C,False,
6,4,45,D-/C,False,
7,1,42,Bm7b5,False,
7,2,40,Bm7b5,True,43
7,3,45,Bm7b5,False,
7,4,48,Bm7b5,False,
8,1,47,E7,False,
8,2,43,E7,True,45
8,3,48,E7,True,42
8,4,47,E7,False,
9,1,37,A+7,False,
9,2,50,A+7,False,
9,3,47,A+7,False,
9,4,40,A+7,False,
10,1,42,D7,False,
10,2,42,D7,False,
10,3,41,D7,False,
10,4,42,D7,False,
11,1,42,G7,False,
11,2,42,G7,False,
11,3,42,G7,False,
11,4,42,G7,False,
12,1,42,C7,False,
12,2,44,C7,True,42
12,3,49,C7,True,42
12,4,49,C7,False,
13,1,48,C-7,False,
13,2,45,C-7,False,
13,3,43,F7,False,
13,4,46,F7,True,48
14,1,41,Bbj7,False,
14,2,41,Bbj7,False,
14,3,50,Bbj7,False,
14,4,41,Bbj7,True,47
15,1,47,Em7b5,False,
15,2,40,Em7b5,False,
15,3,47,Em7b5,False,
15,4,39,Em7b5,True,40
16,1,41,A79b,True,42
16,2,41,A79b,False,
16,3,40,A79b,False,
16,4,38,A79b,False,
17,1,48,D-,True,37
17,2,48,D-,False,
17,3,42,D-,False,
17,4,40,D-,False,
18,1,47,Em7b5,False,
18,2,44,Em7b5,True,41
18,3,37,A79b,False,
18,4,41,A79b,False,
19,1,43,D-,True,42
19,2,41,D-,False,
19,3,42,D-,False,
19,4,38,D-,True,49
20,1,41,Em7b5,False,
20,2,47,Em7b5,False,
20,3,47,A79b,True,52
20,4,41,A79b,True,40
21,1,43,D-,True,45
21,2,39,D-,True,42
21,3,42,D-/C#,True,40
21,4,42,D-/C#,False,
22,1,40,D-/C,False,
22,2,50,D-/C,False,
22,3,48,D-/C,False,
22,4,45,D-/C,False,
23,1,41,Bm7b5,True,42
23,2,45,Bm7b5,True,43
23,3,40,Bm7b5,True,45
23,4,42,Bm7b5,False,
24,1,41,E7,False,
24,2,40,E7,True,41
24,3,43,E7,False,
24,4,46,E7,True,41
25,1,40,A+7,False,
25,2,42,A+7,False,
25,3,37,A+7,True,44
25,4,48,A+7,True,40
26,1,39,D7,False,
26,2,48,D7,True,38
26,3,41,D7,False,
26,4,43,D7,False,
27,1,50,G7,False,
27,2,48,G7,False,
27,3,45,G7,False,
27,4,46,G7,True,50
28,1,42,C7,False,
28,2,48,C7,True,41
28,3,42,C7,False,
28,4,41,C7,False,
29,1,41,C-7,False,
29,2,48,C-7,False,
29,3,45,F7,False,
29,4,43,F7,False,
30,1,41,Bbj7,False,
30,2,41,Bbj7,False,
30,3,38,Bbj7,True,42
30,4,42,Bbj7,False,
31,1,42,Em7b5,False,
31,2,37,Em7b5,True,40
31,3,42,Em7b5,True,40
31,4,40,Em7b5,False,
32,1,40,A79b,False,
32,2,40,A79b,False,
32,3,42,A79b,False,
32,4,42,A79b,False,
33,1,42,D-,False,
33,2,42,D-,False,
33,3,45,D-,True,42
33,4,41,D-,False,
34,1,48,Em7b5,True,41
34,2,47,Em7b5,False,
34,3,52,A79b,False,
34,4,48,A79b,True,40
35,1,45,D-,False,
35,2,43,D-,False,
35,3,47,D-,True,48
35,4,48,D-,True,42
36,1,41,Em7b5,False,
36,2,47,Em7b5,False,
36,3,40,A79b,False,
36,4,38,A79b,False,
37,1,37,D-,False,
37,2,40,D-,False,
37,3,44,D-/C#,False,
37,4,39,D-/C#,True,47
38,1,38,D-/C,True,45
38,2,40,D-/C,False,
38,3,41,D-/C,True,48
38,4,45,D-/C,False,
39,1,42,Bm7b5,False,
39,2,40,Bm7b5,False,
39,3,48,Bm7b5,False,
39,4,46,Bm7b5,True,42
40,1,47,E7,False,
40,2,41,E7,True,41
40,3,47,E7,False,
40,4,41,E7,False,
41,1,48,A+7,True,40
