bar,beat,note,chord,replaced,original_value
1,1,50,Fsus7913,False,
1,2,45,Fsus7913,False,
1,3,43,Fsus7913,False,
1,4,47,Fsus7913,False,
2,1,48,Fsus7913,False,
2,2,49,Fsus7913,False,
2,3,48,Fsus7913,False,
2,4,48,Fsus7913,False,
3,1,45,Fsus7913,False,
3,2,49,Fsus7913,True,43
3,3,43,Fsus7913,False,
3,4,45,Fsus7913,False,
4,1,49,Gbsus7913,False,
4,2,49,Gbsus7913,False,
4,3,48,Gbsus7913,False,
4,4,48,Gbsus7913,False,
5,1,48,Fsus7913,False,
5,2,49,Fsus7913,True,47
5,3,37,Fsus7913,False,
5,4,38,Fsus7913,False,
6,1,38,Fsus7913,False,
6,2,45,Fsus7913,False,
6,3,48,Fsus7913,False,
6,4,37,Fsus7913,False,
7,1,48,Fsus7913,False,
7,2,48,Fsus7913,False,
7,3,42,Ebsus7913,False,
7,4,47,Ebsus7913,False,
8,1,50,D79,False,
8,2,50,D79,False,
8,3,39,D79,True,50
8,4,43,D79,True,50
9,1,50,Ebj7911#,False,
9,2,42,Ebj7911#,False,
9,3,50,Ebj7911#,False,
9,4,47,Ebj7911#,False,
10,1,50,Ebj7911#,False,
10,2,47,Ebj7911#,False,
10,3,50,Ebj7911#,False,
10,4,48,Ebj7911#,False,
11,1,48,Ebj7911#,False,
11,2,45,Ebj7911#,False,
11,3,38,Ebj7911#,True,50
11,4,45,Ebj7911#,False,
12,1,45,Ebj7911#,True,43
12,2,44,Ebj7911#,True,45
12,3,47,Ebj7911#,False,
12,4,50,Ebj7911#,False,
13,1,48,Fsus7913,False,
13,2,44,Fsus7913,True,43
13,3,37,Fsus7913,False,
13,4,49,Fsus7913,False,
14,1,39,Fsus7913,True,48
14,2,37,Fsus7913,False,
14,3,38,Fsus7913,False,
14,4,37,Fsus7913,True,37
15,1,38,Fsus7913,False,
15,2,38,Fsus7913,False,
15,3,37,Fsus7913,False,
15,4,37,Fsus7913,False,
16,1,42,Gbsus7913,False,
16,2,43,Gbsus7913,False,
16,3,42,Gbsus7913,True,43
16,4,50,Gbsus7913,False,
17,1,50,Fsus7913,False,
17,2,46,Fsus7913,True,43
17,3,45,Fsus7913,False,
17,4,47,Fsus7913,False,
18,1,42,Fsus7913,False,
18,2,42,Fsus7913,False,
18,3,50,Fsus7913,False,
18,4,37,Fsus7913,False,
19,1,45,Fsus7913,False,
19,2,42,Fsus7913,True,50
19,3,50,Ebsus7913,False,
19,4,49,Ebsus7913,True,42
20,1,44,D79,True,43
20,2,45,D79,False,
20,3,47,D79,False,
20,4,50,D79,False,
21,1,42,Ebj7911#,False,
21,2,48,Ebj7911#,True,37
21,3,50,Ebj7911#,False,
21,4,47,Ebj7911#,False,
22,1,50,Ebj7911#,False,
22,2,45,Ebj7911#,False,
22,3,50,Ebj7911#,False,
22,4,49,Ebj7911#,False,
23,1,48,Ebj7911#,False,
23,2,46,Ebj7911#,True,50
23,3,47,Ebj7911#,False,
23,4,40,Ebj7911#,False,
