bar,beat,note,chord,replaced,original_value
1,1,50,G-6,False,
1,2,39,G-6,True,50
1,3,49,G-6,True,50
1,4,43,G-6,True,37
2,1,40,Eb7,False,
2,2,40,Eb7,False,
2,3,42,D79b,False,
2,4,37,D79b,False,
3,1,38,G-6,True,50
3,2,48,G-6,False,
3,3,48,G-6,True,47
3,4,45,G-6,False,
4,1,42,Eb7,False,
4,2,40,Eb7,False,
4,3,45,D79b,False,
4,4,41,D79b,False,
5,1,37,G-6,False,
5,2,40,G-6,False,
5,3,41,G-6,False,
5,4,43,G-6,False,
6,1,39,Eb7,True,45
6,2,47,Eb7,False,
6,3,48,D79b,False,
6,4,41,D79b,True,49
7,1,50,G-6,False,
7,2,37,G-6,False,
7,3,37,G-6,False,
7,4,44,G-6,True,42
8,1,37,Eb7,False,
8,2,38,Eb7,True,37
8,3,37,D79b,False,
8,4,37,D79b,False,
9,1,37,G-6,False,
9,2,37,G-6,False,
9,3,37,G-6,False,
9,4,37,G-6,False,
10,1,37,Eb7,False,
10,2,37,Eb7,False,
10,3,37,D79b,False,
10,4,38,D79b,True,37
11,1,37,G-6,True,42
11,2,50,G-6,False,
11,3,50,G-6,False,
11,4,37,G-6,True,40
12,1,50,Eb7,False,
12,2,46,Eb7,True,37
12,3,50,D79b,False,
12,4,37,D79b,False,
13,1,50,G-6,False,
13,2,40,G-6,True,48
13,3,47,G-6,False,
13,4,42,G-6,False,
14,1,45,Eb7,False,
14,2,43,Eb7,False,
14,3,45,D79b,False,
14,4,45,D79b,True,50
15,1,46,G-6,True,48
15,2,50,G-6,False,
15,3,50,G-6,False,
15,4,48,G-6,False,
16,1,42,F-7,True,47
16,2,50,F-7,False,
16,3,46,Bb7,True,50
16,4,50,Bb7,False,
17,1,47,Ebj7,False,
17,2,43,Ebj7,False,
17,3,48,F-7,False,
17,4,48,F-7,True,40
18,1,45,G-,False,
18,2,50,G-,False,
18,3,37,F-,True,50
18,4,43,F-,True,37
19,1,37,Ebj7,False,
19,2,41,Ebj7,False,
19,3,44,F-,True,38
19,4,37,F-,False,
20,1,38,G-,False,
20,2,37,G-,True,47
20,3,48,F-,False,
20,4,44,F-,True,41
21,1,42,Ebj7,False,
21,2,50,Ebj7,False,
21,3,48,F-,False,
21,4,40,F-,False,
22,1,38,G-,True,45
22,2,45,G-,True,50
22,3,43,C7,False,
22,4,47,C7,False,
23,1,48,F-,False,
23,2,50,F-,False,
23,3,47,Bb7,False,
23,4,50,Bb7,True,41
24,1,40,A79b,False,
24,2,44,A79b,False,
24,3,45,D79b,False,
24,4,50,D79b,False,
25,1,50,G-,False,
25,2,49,G-,False,
25,3,37,G-,False,
25,4,50,G-,False,
26,1,40,Eb7,False,
26,2,42,Eb7,False,
26,3,42,D79b,False,
