bar,beat,note,chord,replaced,original_value
1,1,34,Eb7,False,
1,2,42,Eb7,True,45
1,3,41,Eb7,False,
1,4,45,Eb7,False,
2,1,34,Eb7,False,
2,2,42,Eb7,True,50
2,3,50,Eb7,False,
2,4,41,Eb7,True,45
3,1,34,Eb7,False,
3,2,45,Eb7,False,
3,3,41,Eb7,False,
3,4,45,Eb7,False,
4,1,34,Eb7,False,
4,2,45,Eb7,False,
4,3,39,Eb7,True,41
4,4,45,Eb7,False,
5,1,44,Eb7,True,34
5,2,45,Eb7,False,
5,3,41,Eb7,False,
5,4,45,Eb7,False,
6,1,34,Eb7,False,
6,2,38,Eb7,True,45
6,3,41,Eb7,False,
6,4,44,Eb7,True,45
7,1,45,Eb7,False,
7,2,34,Eb7,False,
7,3,41,Eb7,False,
7,4,45,Eb7,False,
8,1,48,Eb7,True,42
8,2,42,Eb7,False,
8,3,43,Eb7,True,41
8,4,50,Eb7,False,
9,1,51,Ab7,False,
9,2,45,Ab7,False,
9,3,45,Ab7,False,
9,4,50,Ab7,False,
10,1,47,Ab7,True,51
10,2,51,Ab7,False,
10,3,42,Ab7,False,
10,4,43,Ab7,True,50
11,1,51,Ab7,False,
11,2,51,Ab7,False,
11,3,43,Ab7,True,42
11,4,50,Ab7,False,
12,1,51,Ab7,False,
12,2,44,Ab7,True,51
12,3,38,Ab7,False,
12,4,45,Ab7,False,
13,1,34,Eb7,False,
13,2,45,Eb7,False,
13,3,41,Eb7,False,
13,4,45,Eb7,False,
14,1,45,Eb7,False,
14,2,45,Eb7,False,
14,3,41,Eb7,False,
14,4,45,Eb7,True,45
15,1,42,Eb7,False,
15,2,42,Eb7,False,
15,3,41,Eb7,False,
15,4,45,Eb7,False,
16,1,34,Eb7,False,
16,2,37,Eb7,True,45
16,3,41,Eb7,False,
16,4,47,Eb7,False,
17,1,48,Bb7,False,
17,2,43,Bb7,True,50
17,3,50,Bb7,False,
17,4,42,Bb7,True,47
18,1,48,Bb7,False,
18,2,48,Bb7,False,
18,3,48,Bb7,True,43
18,4,47,Bb7,False,
19,1,37,Bb7,False,
19,2,45,Bb7,False,
19,3,43,Bb7,False,
19,4,48,Bb7,False,
20,1,40,Bb7,False,
20,2,40,Bb7,False,
20,3,42,Bb7,True,48
20,4,45,Bb7,False,
21,1,42,Eb7,False,
21,2,42,Eb7,False,
21,3,41,Eb7,False,
21,4,45,Eb7,False,
22,1,45,Eb7,False,
22,2,42,Eb7,False,
22,3,41,Eb7,False,
22,4,45,Eb7,False,
23,1,34,Eb7,False,
23,2,45,Eb7,False,
23,3,38,Eb7,True,41
23,4,40,Eb7,True,45
24,1,34,Eb7,False,
24,2,37,Eb7,True,42
24,3,41,Eb7,False,
24,4,43,Eb7,False,
25,1,34,Eb7,False,
25,2,34,Eb7,False,
25,3,41,Eb7,False,
25,4,42,Eb7,False,
26,1,42,Eb7,False,
26,2,50,Eb7,False,
26,3,41,Eb7,True,50
26,4,45,Eb7,False,
27,1,34,Eb7,False,
27,2,40,Eb7,False,
27,3,41,Eb7,False,
27,4,45,Eb7,False,
28,1,45,Eb7,False,
28,2,40,Eb7,False,
28,3,41,Eb7,False,
28,4,45,Eb7,False,
29,1,45,Eb7,False,
29,2,40,Eb7,False,
29,3,41,Eb7,False,
29,4,41,Eb7,False,
30,1,34,Eb7,False,
30,2,45,Eb7,False,
30,3,37,Eb7,True,41
30,4,45,Eb7,False,
31,1,46,Eb7,True,34
31,2,40,Eb7,False,
31,3,41,Eb7,False,
31,4,41,Eb7,False,
32,1,41,Eb7,True,45
32,2,40,Eb7,False,
32,3,41,Eb7,False,
32,4,50,Eb7,False,
33,1,51,Ab7,False,
33,2,45,Ab7,False,
33,3,45,Ab7,False,
33,4,37,Ab7,True,50
34,1,45,Ab7,True,51
34,2,40,Ab7,False,
34,3,42,Ab7,False,
34,4,50,Ab7,False,
35,1,51,Ab7,False,
35,2,45,Ab7,False,
35,3,34,Ab7,False,
35,4,50,Ab7,False,
36,1,40,Ab7,True,51
36,2,51,Ab7,False,
36,3,38,Ab7,False,
36,4,45,Ab7,False,
37,1,43,Eb7,True,45
37,2,40,Eb7,False,
37,3,41,Eb7,False,
37,4,41,Eb7,False,
38,1,45,Eb7,False,
38,2,40,Eb7,True,40
38,3,41,Eb7,True,41
38,4,41,Eb7,False,
39,1,41,Eb7,True,34
39,2,40,Eb7,False,
39,3,41,Eb7,False,
39,4,41,Eb7,False,
40,1,47,Eb7,True,45
40,2,45,Eb7,False,
40,3,41,Eb7,False,
40,4,47,Eb7,False,
41,1,48,Bb7,False,
41,2,40,Bb7,False,
41,3,37,Bb7,True,43
41,4,43,Bb7,False,
42,1,48,Bb7,False,
42,2,45,Bb7,False,
42,3,43,Bb7,False,
42,4,43,Bb7,False,
43,1,42,Bb7,True,48
43,2,48,Bb7,False,
43,3,43,Bb7,False,
43,4,48,Bb7,False,
44,1,45,Bb7,True,41
44,2,41,Bb7,False,
44,3,41,Bb7,True,48
44,4,45,Bb7,False,
45,1,34,Eb7,False,
45,2,40,Eb7,False,
45,3,41,Eb7,False,
45,4,41,Eb7,False,
46,1,34,Eb7,False,
46,2,45,Eb7,True,40
46,3,42,Eb7,True,41
46,4,45,Eb7,False,
47,1,34,Eb7,False,
47,2,47,Eb7,True,40
47,3,41,Eb7,False,
47,4,45,Eb7,False,
48,1,42,Eb7,False,
48,2,39,Eb7,True,40
48,3,41,Eb7,False,
48,4,41,Eb7,False,
49,1,34,Eb7,False,
49,2,45,Eb7,False,
49,3,41,Eb7,False,
49,4,48,Eb7,True,45
50,1,42,Eb7,True,34
50,2,50,Eb7,False,
50,3,50,Eb7,False,
50,4,41,Eb7,True,45
51,1,43,Eb7,True,34
51,2,44,Eb7,True,40
51,3,46,Eb7,True,41
51,4,41,Eb7,False,
52,1,34,Eb7,False,
52,2,38,Eb7,True,45
52,3,41,Eb7,False,
52,4,43,Eb7,False,
53,1,45,Eb7,False,
53,2,50,Eb7,False,
53,3,50,Eb7,False,
53,4,37,Eb7,True,48
54,1,34,Eb7,False,
54,2,47,Eb7,True,50
54,3,46,Eb7,True,50
54,4,48,Eb7,False,
55,1,34,Eb7,False,
55,2,42,Eb7,False,
55,3,44,Eb7,True,41
55,4,48,Eb7,False,
56,1,45,Eb7,False,
56,2,47,Eb7,True,45
56,3,41,Eb7,False,
56,4,50,Eb7,False,
57,1,41,Ab7,True,51
57,2,45,Ab7,False,
57,3,45,Ab7,False,
57,4,50,Ab7,False,
58,1,51,Ab7,False,
58,2,38,Ab7,True,38
58,3,42,Ab7,False,
58,4,40,Ab7,False,
59,1,38,Ab7,True,39
59,2,45,Ab7,False,
59,3,45,Ab7,False,
59,4,50,Ab7,False,
60,1,43,Ab7,True,51
60,2,51,Ab7,False,
60,3,37,Ab7,False,
60,4,43,Ab7,True,45
61,1,34,Eb7,False,
61,2,40,Eb7,False,
61,3,41,Eb7,False,
61,4,45,Eb7,False,
62,1,34,Eb7,False,
62,2,40,Eb7,False,
62,3,41,Eb7,False,
62,4,45,Eb7,False,
63,1,34,Eb7,False,
63,2,45,Eb7,False,
63,3,41,Eb7,False,
63,4,41,Eb7,False,
64,1,42,Eb7,False,
64,2,48,Eb7,True,42
64,3,41,Eb7,False,
64,4,46,Eb7,True,47
65,1,43,Bb7,True,48
65,2,48,Bb7,False,
65,3,45,Bb7,True,43
65,4,47,Bb7,False,
66,1,39,Bb7,True,48
66,2,45,Bb7,False,
66,3,40,Bb7,True,43
66,4,47,Bb7,False,
67,1,48,Bb7,False,
67,2,48,Bb7,False,
67,3,43,Bb7,False,
67,4,48,Bb7,False,
68,1,41,Bb7,False,
68,2,37,Bb7,False,
68,3,48,Bb7,False,
68,4,45,Bb7,False,
69,1,42,Eb7,True,45
69,2,48,Eb7,True,45
69,3,41,Eb7,False,
69,4,41,Eb7,False,
70,1,45,Eb7,False,
70,2,40,Eb7,False,
70,3,41,Eb7,False,
70,4,43,Eb7,False,
71,1,45,Eb7,False,
71,2,46,Eb7,True,33
71,3,41,Eb7,False,
71,4,47,Eb7,True,41
72,1,45,Eb7,False,
72,2,46,Eb7,True,50
72,3,44,Eb7,True,37
72,4,45,Eb7,False,
73,1,34,Eb7,False,
73,2,40,Eb7,True,45
73,3,41,Eb7,False,
73,4,41,Eb7,False,
74,1,45,Eb7,False,
74,2,45,Eb7,False,
74,3,41,Eb7,False,
