bar,beat,note,chord,replaced,original_value
1,1,37,Bb7,False,
1,2,51,Bb7,True,44
1,3,50,Bb7,False,
1,4,37,Bb7,False,
2,1,37,Eb7,True,37
2,2,38,Eb7,False,
2,3,41,Eb7,True,37
2,4,38,Eb7,False,
3,1,38,Bb7,False,
3,2,49,Bb7,False,
3,3,48,Bb7,False,
3,4,38,Bb7,False,
4,1,46,Bb7,True,37
4,2,37,Bb7,False,
4,3,37,Bb7,False,
4,4,38,Bb7,False,
5,1,38,Eb7,False,
5,2,37,Eb7,False,
5,3,37,Eb7,False,
5,4,36,Eb7,True,37
6,1,37,Eb7,False,
6,2,38,Eb7,False,
6,3,41,Eb7,False,
6,4,38,Eb7,False,
7,1,42,Bb7,False,
7,2,37,Bb7,False,
7,3,37,Bb7,False,
7,4,51,Bb7,False,
8,1,37,Bb7,False,
8,2,45,Bb7,False,
8,3,50,Bb7,False,
8,4,37,Bb7,False,
9,1,37,C-7,False,
9,2,37,C-7,False,
9,3,49,C-7,False,
9,4,37,C-7,False,
10,1,48,F7,False,
10,2,50,F7,False,
10,3,37,F7,True,37
10,4,44,F7,False,
11,1,37,Bb7,False,
11,2,45,Bb7,False,
11,3,42,Bb7,True,50
11,4,38,Bb7,False,
12,1,37,F7,False,
12,2,51,F7,True,37
12,3,48,F7,False,
12,4,38,F7,False,
13,1,37,Bb7,False,
13,2,37,Bb7,False,
13,3,37,Bb7,False,
13,4,37,Bb7,False,
14,1,37,Eb7,False,
14,2,37,Eb7,False,
14,3,37,Eb7,False,
14,4,37,Eb7,False,
15,1,37,Bb7,False,
15,2,50,Bb7,False,
15,3,49,Bb7,True,50
15,4,37,Bb7,False,
16,1,51,Bb7,False,
16,2,50,Bb7,False,
16,3,47,Bb7,False,
16,4,37,Bb7,False,
17,1,50,Eb7,True,42
17,2,35,Eb7,True,44
17,3,43,Eb7,False,
17,4,42,Eb7,False,
18,1,41,Eb7,False,
18,2,34,Eb7,False,
18,3,47,Eb7,False,
18,4,50,Eb7,False,
19,1,48,Bb7,False,
19,2,37,Bb7,False,
19,3,38,Bb7,True,37
19,4,51,Bb7,False,
20,1,43,Bb7,True,50
20,2,42,Bb7,False,
20,3,35,Bb7,True,48
20,4,45,Bb7,False,
21,1,47,C-7,True,43
21,2,40,C-7,True,50
21,3,42,C-7,False,
21,4,37,C-7,True,37
22,1,37,F7,False,
22,2,47,F7,True,48
22,3,49,F7,True,50
22,4,35,F7,True,34
23,1,48,Bb7,False,
23,2,46,Bb7,True,40
23,3,45,Bb7,False,
23,4,42,Bb7,False,
24,1,43,F7,False,
24,2,50,F7,False,
24,3,35,F7,True,48
24,4,40,F7,False,
25,1,41,Bb7,False,
25,2,48,Bb7,True,41
25,3,45,Bb7,False,
25,4,45,Bb7,False,
26,1,42,Eb7,False,
26,2,41,Eb7,True,34
26,3,47,Eb7,False,
26,4,47,Eb7,False,
27,1,48,Bb7,False,
27,2,48,Bb7,False,
27,3,48,Bb7,True,50
27,4,50,Bb7,False,
28,1,51,Bb7,False,
28,2,38,Bb7,False,
28,3,41,Bb7,False,
28,4,37,Bb7,False,
29,1,34,Eb7,False,
29,2,47,Eb7,False,
29,3,48,Eb7,False,
29,4,43,Eb7,True,48
30,1,50,Eb7,False,
30,2,50,Eb7,False,
30,3,49,Eb7,False,
30,4,50,Eb7,False,
31,1,48,Bb7,False,
31,2,41,Bb7,False,
31,3,37,Bb7,False,
31,4,48,Bb7,True,43
32,1,42,Bb7,False,
32,2,50,Bb7,False,
32,3,50,Bb7,False,
32,4,37,Bb7,False,
33,1,43,C-7,False,
33,2,37,C-7,False,
33,3,37,C-7,False,
33,4,37,C-7,False,
34,1,40,F7,True,37
34,2,42,F7,True,37
34,3,38,F7,False,
34,4,48,F7,True,38
35,1,37,Bb7,False,
35,2,37,Bb7,False,
35,3,38,Bb7,False,
35,4,48,Bb7,True,38
36,1,34,F7,True,37
36,2,37,F7,False,
36,3,38,F7,False,
36,4,38,F7,False,
37,1,37,Bb7,False,
37,2,51,Bb7,True,37
37,3,38,Bb7,False,
37,4,37,Bb7,False,
38,1,37,Eb7,False,
38,2,37,Eb7,False,
38,3,37,Eb7,False,
38,4,37,Eb7,False,
39,1,37,Bb7,False,
39,2,50,Bb7,False,
39,3,37,Bb7,False,
39,4,37,Bb7,False,
40,1,42,Bb7,True,51
40,2,37,Bb7,False,
40,3,47,Bb7,False,
40,4,50,Bb7,False,
41,1,45,Eb7,True,42
41,2,48,Eb7,True,43
41,3,42,Eb7,False,
41,4,37,Eb7,True,42
42,1,38,Eb7,False,
42,2,36,Eb7,True,41
42,3,43,Eb7,False,
42,4,42,Eb7,False,
43,1,47,Bb7,True,45
43,2,46,Bb7,True,43
43,3,43,Bb7,False,
43,4,40,Bb7,False,
44,1,37,Bb7,False,
44,2,37,Bb7,False,
44,3,41,Bb7,False,
44,4,42,Bb7,False,
45,1,43,C-7,False,
45,2,50,C-7,False,
45,3,37,C-7,False,
45,4,37,C-7,False,
46,1,38,F7,False,
46,2,37,F7,False,
46,3,39,F7,True,37
46,4,38,F7,False,
47,1,40,Bb7,True,37
47,2,41,Bb7,False,
47,3,45,Bb7,False,
47,4,50,Bb7,False,
48,1,43,F7,False,
48,2,50,F7,False,
48,3,48,F7,False,
48,4,43,F7,True,40
49,1,45,Bb7,False,
49,2,44,Bb7,True,45
49,3,42,Bb7,False,
49,4,47,Bb7,False,
50,1,48,Eb7,False,
50,2,50,Eb7,False,
50,3,39,Eb7,True,51
50,4,34,Eb7,True,37
51,1,39,Bb7,True,37
51,2,45,Bb7,True,37
51,3,48,Bb7,True,37
51,4,35,Bb7,True,37
52,1,45,Bb7,False,
52,2,43,Bb7,False,
52,3,42,Bb7,False,
52,4,49,Bb7,True,42
53,1,49,Eb7,True,42
53,2,37,Eb7,True,43
53,3,42,Eb7,False,
53,4,41,Eb7,False,
54,1,34,Eb7,False,
54,2,47,Eb7,False,
54,3,38,Eb7,True,50
54,4,49,Eb7,False,
55,1,49,Bb7,True,48
55,2,37,Bb7,False,
55,3,46,Bb7,True,37
55,4,45,Bb7,False,
56,1,50,Bb7,False,
56,2,37,Bb7,False,
56,3,50,Bb7,False,
56,4,50,Bb7,False,
57,1,43,C-7,False,
57,2,50,C-7,False,
57,3,37,C-7,False,
57,4,50,C-7,False,
58,1,37,F7,False,
58,2,47,F7,True,37
58,3,38,F7,False,
58,4,35,F7,True,38
59,1,37,Bb7,False,
59,2,35,Bb7,True,38
59,3,37,Bb7,False,
59,4,46,Bb7,True,37
60,1,37,F7,False,
60,2,42,F7,True,37
60,3,40,F7,True,38
60,4,37,F7,False,
61,1,37,Bb7,False,
61,2,41,Bb7,True,37
61,3,37,Bb7,False,
61,4,38,Bb7,False,
62,1,38,Eb7,False,
62,2,37,Eb7,False,
62,3,45,Eb7,True,37
62,4,38,Eb7,False,
63,1,38,Bb7,False,
63,2,44,Bb7,True,37
63,3,37,Bb7,False,
63,4,37,Bb7,False,
64,1,43,Bb7,False,
64,2,45,Bb7,False,
64,3,50,Bb7,False,
64,4,37,Bb7,False,
65,1,42,Eb7,False,
65,2,44,Eb7,False,
65,3,43,Eb7,False,
65,4,42,Eb7,False,
66,1,41,Eb7,False,
66,2,34,Eb7,False,
66,3,46,Eb7,True,47
66,4,50,Eb7,False,
67,1,48,Bb7,False,
67,2,47,Bb7,False,
67,3,45,Bb7,False,
67,4,43,Bb7,False,
68,1,42,Bb7,False,
68,2,37,Bb7,False,
68,3,40,Bb7,False,
68,4,42,Bb7,False,
69,1,43,C-7,False,
69,2,42,C-7,False,
69,3,41,C-7,False,
69,4,45,C-7,True,43
70,1,48,F7,False,
70,2,37,F7,False,
70,3,46,F7,True,50
70,4,40,F7,False,
71,1,41,Bb7,False,
71,2,49,Bb7,True,40
71,3,37,Bb7,False,
71,4,42,Bb7,False,
72,1,43,F7,False,
72,2,50,F7,False,
72,3,48,F7,False,
72,4,35,F7,True,40
73,1,38,Bb7,False,
73,2,44,Bb7,True,42
73,3,41,Bb7,True,43
73,4,42,Bb7,False,
74,1,41,Eb7,False,
74,2,40,Eb7,False,
74,3,48,Eb7,True,37
74,4,37,Eb7,False,
75,1,48,Bb7,False,
75,2,37,Bb7,False,
75,3,37,Bb7,False,
75,4,40,Bb7,False,
76,1,41,Bb7,False,
76,2,43,Bb7,False,
76,3,50,Bb7,False,
76,4,48,Bb7,False,
77,1,41,Eb7,False,
77,2,34,Eb7,False,
77,3,45,Eb7,False,
77,4,43,Eb7,False,
78,1,41,Eb7,False,
78,2,34,Eb7,False,
78,3,47,Eb7,True,47
78,4,50,Eb7,False,
79,1,48,Bb7,False,
79,2,41,Bb7,False,
79,3,35,Bb7,True,37
79,4,51,Bb7,False,
80,1,37,Bb7,False,
80,2,45,Bb7,False,
80,3,44,Bb7,True,51
80,4,47,Bb7,False,
81,1,50,C-7,False,
81,2,50,C-7,False,
81,3,45,C-7,False,
81,4,47,C-7,False,
82,1,47,F7,True,48
82,2,50,F7,False,
82,3,51,F7,False,
82,4,37,F7,False,
83,1,41,Bb7,False,
83,2,45,Bb7,False,
83,3,50,Bb7,False,
83,4,42,Bb7,False,
84,1,43,F7,False,
84,2,50,F7,False,
84,3,39,F7,True,48
84,4,40,F7,False,
85,1,41,Bb7,False,
