bar,beat,note,chord,replaced,original_value
1,1,37,Csus,False,
1,2,37,Csus,False,
1,3,42,Bsus,False,
1,4,42,Bsus,False,
2,1,41,Bbsus,True,47
2,2,50,Bbsus,False,
2,3,48,Bsus,True,50
2,4,50,Bsus,False,
3,1,45,Csus,True,43
3,2,37,Csus,False,
3,3,37,Bsus,False,
3,4,37,Bsus,False,
4,1,47,Bbsus,False,
4,2,50,Bbsus,False,
4,3,50,Bsus,False,
4,4,44,Bsus,True,38
5,1,43,Csus,False,
5,2,42,Csus,True,37
5,3,42,Bsus,False,
5,4,42,Bsus,False,
6,1,47,Bbsus,False,
6,2,37,Bbsus,False,
6,3,37,Bsus,False,
6,4,48,Bsus,True,38
7,1,43,Csus,False,
7,2,37,Csus,False,
7,3,51,Bsus,True,42
7,4,42,Bsus,True,38
8,1,47,Bbsus,True,47
8,2,42,Bbsus,False,
8,3,42,Bsus,False,
8,4,38,Bsus,True,38
9,1,43,Csus,False,
9,2,50,Csus,True,37
9,3,37,Bsus,False,
9,4,38,Bsus,False,
10,1,39,Bbsus,False,
10,2,47,Bbsus,False,
10,3,44,Bsus,True,42
10,4,46,Bsus,True,50
11,1,47,Csus,True,43
11,2,37,Csus,False,
11,3,42,Bsus,False,
11,4,37,Bsus,False,
12,1,47,Bbsus,False,
12,2,42,Bbsus,False,
12,3,39,Bsus,True,42
12,4,38,Bsus,True,38
13,1,43,Csus,False,
13,2,37,Csus,False,
13,3,37,Bsus,False,
13,4,41,Bsus,True,42
14,1,47,Bbsus,False,
14,2,47,Bbsus,False,
14,3,48,Bsus,True,42
14,4,50,Bsus,False,
15,1,43,Csus,False,
15,2,37,Csus,False,
15,3,42,Bsus,False,
15,4,37,Bsus,False,
16,1,40,Bbsus,False,
16,2,38,Bbsus,False,
16,3,42,Bsus,False,
16,4,38,Bsus,False,
17,1,43,Csus,True,50
17,2,37,Csus,False,
17,3,51,Bsus,True,37
17,4,39,Bsus,True,50
18,1,46,Bbsus,True,40
18,2,50,Bbsus,False,
18,3,51,Bsus,False,
18,4,50,Bsus,False,
19,1,43,Csus,False,
19,2,37,Csus,False,
19,3,50,Bsus,False,
19,4,50,Bsus,False,
20,1,47,Bbsus,False,
20,2,37,Bbsus,False,
20,3,37,Bsus,False,
20,4,38,Bsus,False,
21,1,43,Csus,False,
21,2,37,Csus,False,
