bar,beat,note,chord,replaced,original_value
1,1,49,F7,True,37
1,2,52,F7,False,
1,3,43,F7,True,43
1,4,48,F7,False,
2,1,41,Bb7,False,
2,2,50,Bb7,False,
2,3,50,Bb7,True,42
2,4,40,Bb7,True,45
3,1,43,F7,False,
3,2,48,F7,False,
3,3,37,F7,False,
3,4,37,F7,False,
4,1,52,F7,True,43
4,2,50,F7,False,
4,3,39,F7,True,48
4,4,37,F7,False,
5,1,41,Bb7,False,
5,2,48,Bb7,False,
5,3,41,Bb7,False,
5,4,51,Bb7,False,
6,1,50,Bb7,False,
6,2,48,Bb7,False,
6,3,41,Bb7,False,
6,4,42,Bb7,False,
7,1,43,F7,False,
7,2,52,F7,False,
7,3,46,F7,True,43
7,4,48,F7,False,
8,1,48,A-7,True,37
8,2,48,A-7,False,
8,3,45,D7,False,
8,4,44,D7,True,49
9,1,50,G-7,False,
9,2,50,G-7,True,41
9,3,52,G-7,False,
9,4,51,G-7,False,
10,1,50,C7,False,
10,2,37,C7,True,43
10,3,47,C7,False,
10,4,50,C7,False,
11,1,48,F7,False,
11,2,52,F7,False,
11,3,49,F7,True,45
11,4,38,F7,True,42
12,1,42,G-7,True,43
12,2,50,G-7,False,
12,3,48,C7,True,50
12,4,42,C7,True,43
13,1,48,F7,False,
13,2,52,F7,False,
13,3,43,F7,False,
13,4,37,F7,True,42
14,1,41,Bb7,False,
14,2,51,Bb7,False,
14,3,40,Bb7,True,50
14,4,47,Bb7,False,
15,1,50,F7,True,48
15,2,52,F7,False,
15,3,41,F7,False,
15,4,39,F7,True,42
16,1,43,F7,False,
16,2,45,F7,True,47
16,3,48,F7,False,
16,4,51,F7,True,48
17,1,41,Bb7,False,
17,2,38,Bb7,True,45
17,3,48,Bb7,False,
17,4,37,Bb7,False,
18,1,41,Bb7,False,
18,2,48,Bb7,False,
18,3,41,Bb7,False,
18,4,42,Bb7,False,
19,1,43,F7,False,
19,2,52,F7,False,
19,3,43,F7,False,
19,4,48,F7,False,
20,1,37,A-7,False,
20,2,48,A-7,True,42
20,3,33,D7,False,
20,4,49,D7,False,
21,1,50,G-7,False,
21,2,50,G-7,True,38
21,3,37,G-7,False,
21,4,46,G-7,True,37
22,1,49,C7,True,43
22,2,44,C7,False,
22,3,52,C7,True,37
22,4,44,C7,True,50
23,1,48,F7,False,
23,2,52,F7,False,
23,3,37,F7,True,45
23,4,47,F7,True,41
24,1,42,G-7,False,
24,2,44,G-7,False,
24,3,51,C7,True,50
24,4,52,C7,True,47
25,1,48,F7,False,
25,2,52,F7,True,42
25,3,43,F7,True,45
25,4,44,F7,False,
26,1,43,Bb7,False,
26,2,44,Bb7,True,52
26,3,41,Bb7,False,
26,4,41,Bb7,False,
27,1,43,F7,False,
27,2,44,F7,False,
27,3,47,F7,True,50
27,4,41,F7,True,47
28,1,48,F7,False,
28,2,37,F7,False,
28,3,50,F7,False,
28,4,52,F7,False,
29,1,41,Bb7,False,
29,2,45,Bb7,False,
29,3,48,Bb7,False,
29,4,37,Bb7,False,
30,1,41,Bb7,False,
30,2,51,Bb7,False,
30,3,50,Bb7,False,
30,4,47,Bb7,False,
31,1,48,F7,False,
31,2,37,F7,False,
31,3,50,F7,False,
31,4,37,F7,True,41
32,1,41,A-7,True,37
32,2,48,A-7,False,
32,3,45,D7,False,
32,4,49,D7,False,
33,1,50,G-7,False,
33,2,41,G-7,False,
33,3,50,G-7,False,
33,4,49,G-7,True,51
34,1,50,C7,False,
34,2,42,C7,False,
34,3,42,C7,False,
34,4,47,C7,True,47
35,1,48,F7,False,
35,2,37,F7,False,
35,3,41,F7,False,
35,4,42,F7,False,
36,1,41,G-7,True,37
36,2,44,G-7,False,
36,3,37,C7,False,
36,4,37,C7,False,
37,1,37,F7,False,
37,2,51,F7,True,37
37,3,42,F7,False,
37,4,44,F7,False,
38,1,37,Bb7,True,43
38,2,44,Bb7,False,
38,3,49,Bb7,True,39
38,4,37,Bb7,False,
39,1,38,F7,False,
39,2,39,F7,True,50
39,3,52,F7,False,
39,4,38,F7,True,43
40,1,48,F7,False,
40,2,37,F7,False,
40,3,50,F7,False,
40,4,47,F7,True,42
41,1,41,Bb7,False,
41,2,51,Bb7,False,
41,3,50,Bb7,False,
41,4,37,Bb7,False,
42,1,41,Bb7,True,48
42,2,41,Bb7,False,
42,3,42,Bb7,False,
42,4,45,Bb7,False,
43,1,43,F7,False,
43,2,52,F7,False,
43,3,41,F7,False,
43,4,51,F7,True,42
44,1,43,A-7,False,
44,2,49,A-7,True,44
44,3,45,D7,False,
44,4,49,D7,False,
45,1,40,G-7,True,38
45,2,41,G-7,False,
45,3,45,G-7,False,
45,4,50,G-7,True,48
46,1,37,C7,False,
46,2,50,C7,False,
46,3,43,C7,False,
46,4,47,C7,False,
47,1,48,F7,False,
47,2,37,F7,False,
47,3,48,F7,True,41
47,4,45,F7,True,42
48,1,37,G-7,False,
48,2,49,G-7,True,47
48,3,45,C7,False,
48,4,44,C7,False,
49,1,43,F7,False,
49,2,48,F7,False,
49,3,52,F7,False,
49,4,43,F7,False,
50,1,41,Bb7,False,
50,2,50,Bb7,False,
50,3,49,Bb7,True,42
50,4,50,Bb7,False,
51,1,48,F7,False,
51,2,37,F7,False,
51,3,47,F7,True,41
51,4,42,F7,False,
52,1,47,F7,True,43
52,2,42,F7,False,
52,3,39,F7,True,37
52,4,50,F7,False,
53,1,46,Bb7,True,41
53,2,48,Bb7,False,
53,3,45,Bb7,False,
53,4,43,Bb7,False,
54,1,41,Bb7,False,
54,2,51,Bb7,True,48
54,3,52,Bb7,True,42
54,4,50,Bb7,False,
55,1,52,F7,True,48
55,2,41,F7,True,37
55,3,50,F7,False,
55,4,41,F7,False,
56,1,37,A-7,False,
56,2,48,A-7,False,
56,3,45,D7,False,
56,4,49,D7,False,
57,1,50,G-7,False,
57,2,40,G-7,True,41
57,3,52,G-7,False,
57,4,51,G-7,False,
58,1,50,C7,False,
58,2,41,C7,False,
58,3,43,C7,False,
58,4,47,C7,False,
59,1,48,F7,False,
59,2,40,F7,True,37
59,3,41,F7,False,
59,4,41,F7,True,42
60,1,44,G-7,True,37
60,2,52,G-7,True,44
60,3,37,C7,False,
60,4,42,C7,True,37
