bar,beat,note,chord,replaced,original_value
1,1,51,Bb6,False,
1,2,52,Bb6,True,45
1,3,48,Bb6,False,
1,4,51,Bb6,False,
2,1,51,Bb6,True,51
2,2,51,Bb6,False,
2,3,51,Bb6,False,
2,4,48,Bb6,False,
3,1,45,Eb79,False,
3,2,50,Eb79,False,
3,3,44,Eb79,False,
3,4,42,Eb79,False,
4,1,41,Eb79,False,
4,2,50,Eb79,False,
4,3,52,Eb79,True,50
4,4,47,Eb79,True,45
5,1,43,C7,False,
5,2,40,C7,True,47
5,3,50,C7,False,
5,4,51,C7,False,
6,1,48,C-7,False,
6,2,42,C-7,True,50
6,3,51,F7,False,
6,4,51,F7,True,48
7,1,37,Bb6,False,
7,2,44,Bb6,False,
7,3,43,G7,True,51
7,4,44,G7,False,
8,1,43,C-7,True,43
8,2,50,C-7,False,
8,3,49,F7,False,
8,4,42,F7,False,
9,1,41,Bb6,False,
9,2,45,Bb6,True,45
9,3,39,Bb6,True,45
9,4,51,Bb6,False,
10,1,51,Bb6,False,
10,2,48,Bb6,False,
10,3,45,Bb6,False,
10,4,45,Bb6,True,42
11,1,42,Eb79,False,
11,2,42,Eb79,True,44
11,3,44,Eb79,False,
11,4,50,Eb79,False,
12,1,51,Eb79,False,
12,2,42,Eb79,False,
12,3,50,Eb79,False,
12,4,50,Eb79,False,
13,1,43,C7,False,
13,2,51,C7,False,
13,3,52,C7,False,
13,4,50,C7,False,
14,1,48,C-7,False,
14,2,45,C-7,False,
14,3,44,F7,False,
14,4,45,F7,False,
15,1,41,Bb6,False,
15,2,44,Bb6,True,45
15,3,42,Bb6,True,45
15,4,50,Bb6,False,
16,1,51,Bb6,False,
16,2,48,Bb6,False,
16,3,50,Bb6,False,
16,4,52,Bb6,False,
17,1,50,F-7,True,51
17,2,50,F-7,False,
17,3,51,Bb7,False,
17,4,51,Bb7,False,
18,1,51,Bb7,False,
18,2,50,Bb7,False,
18,3,47,Bb7,False,
18,4,47,Bb7,False,
19,1,38,Eb6,True,45
19,2,46,Eb6,True,45
19,3,51,Eb6,False,
19,4,50,Eb6,False,
20,1,48,Eb6,False,
20,2,44,Eb6,False,
