bar,beat,note,chord,replaced,original_value
1,1,43,C-,False,
1,2,42,C-,False,
1,3,41,Eb7,True,41
1,4,41,Eb7,False,
2,1,52,Am7b5,False,
2,2,50,Am7b5,True,52
2,3,51,Ab7,False,
2,4,51,Ab7,False,
3,1,38,C-,True,52
3,2,50,C-,False,
3,3,38,Ab7,True,49
3,4,40,Ab7,False,
4,1,45,Dm7b5,False,
4,2,39,Dm7b5,False,
4,3,38,G7,False,
4,4,44,G7,False,
5,1,43,C-,False,
5,2,42,C-,False,
5,3,41,Eb7,False,
5,4,41,Eb7,False,
6,1,52,Am7b5,False,
6,2,40,Am7b5,False,
6,3,43,Ab7,True,39
6,4,43,Ab7,False,
7,1,45,Dm7b5,False,
7,2,41,Dm7b5,True,39
7,3,38,G+7,False,
7,4,46,G+7,True,44
8,1,43,C-,False,
8,2,44,C-,True,34
8,3,37,G+79,True,45
8,4,41,G+79,True,50
9,1,47,C-,True,43
9,2,42,C-,False,
9,3,41,Eb7,False,
9,4,50,Eb7,False,
10,1,40,Am7b5,True,52
10,2,40,Am7b5,False,
10,3,39,Ab7,False,
10,4,39,Ab7,False,
11,1,43,C-,True,40
11,2,40,C-,False,
11,3,45,Ab7,False,
11,4,40,Ab7,False,
12,1,45,Dm7b5,True,45
12,2,45,Dm7b5,False,
12,3,50,G7,True,50
12,4,50,G7,False,
13,1,43,C-,False,
13,2,42,C-,False,
13,3,41,Eb7,False,
13,4,48,Eb7,True,41
14,1,46,Am7b5,True,52
14,2,40,Am7b5,False,
14,3,39,Ab7,False,
14,4,43,Ab7,False,
15,1,40,Dm7b5,True,45
15,2,37,Dm7b5,False,
15,3,38,G+7,False,
15,4,42,G+7,False,
16,1,43,C-,True,43
16,2,45,C-,False,
16,3,50,C-,False,
16,4,45,C-,True,45
17,1,45,C-7,False,
17,2,45,G7,True,50
17,3,43,C-,False,
17,4,40,C-,False,
18,1,52,G-7,False,
18,2,49,D7,False,
18,3,49,G-7,True,50
18,4,52,G-7,False,
19,1,40,C-7,False,
19,2,47,C-7,True,43
19,3,45,Ab7,False,
19,4,40,Ab7,False,
20,1,45,Dm7b5,False,
20,2,48,Dm7b5,False,
20,3,38,G7,False,
20,4,49,G7,True,38
21,1,47,C-7,True,40
21,2,38,G7,True,45
21,3,43,C-,False,
21,4,41,C-,False,
22,1,40,G-7,False,
22,2,45,D7,False,
22,3,41,G-7,True,38
22,4,45,G-7,True,41
23,1,49,Dm7b5,True,45
23,2,43,Dm7b5,False,
23,3,42,G79,False,
23,4,38,G79,False,
24,1,43,C-,False,
24,2,45,C-,False,
24,3,46,G79,True,45
24,4,50,G79,False,
25,1,43,C-,False,
25,2,42,C-,False,
25,3,42,Eb7,False,
25,4,51,Eb7,False,
26,1,43,Am7b5,True,52
26,2,40,Am7b5,True,40
26,3,51,Ab7,False,
26,4,42,Ab7,True,41
27,1,44,C-,True,52
27,2,50,C-,False,
27,3,37,Ab7,False,
27,4,40,Ab7,False,
28,1,45,Dm7b5,False,
28,2,44,Dm7b5,True,43
28,3,42,G7,False,
28,4,38,G7,False,
29,1,43,C-,False,
29,2,42,C-,False,
29,3,41,Eb7,False,
29,4,39,Eb7,False,
30,1,40,Am7b5,False,
30,2,49,Am7b5,True,38
30,3,39,Ab7,False,
30,4,37,Ab7,True,43
31,1,45,Dm7b5,False,
31,2,51,Dm7b5,False,
31,3,50,G+7,False,
31,4,42,G+7,False,
32,1,43,C-,False,
32,2,45,C-,False,
32,3,50,G79,True,45
32,4,38,G79,False,
33,1,43,C-,False,
33,2,43,C-,False,
33,3,50,Eb7,True,34
33,4,37,Eb7,False,
34,1,52,Am7b5,False,
34,2,38,Am7b5,False,
34,3,51,Ab7,False,
34,4,46,Ab7,True,51
35,1,37,C-,True,52
35,2,39,C-,True,50
35,3,49,Ab7,True,49
35,4,45,Ab7,False,
36,1,46,Dm7b5,True,45
36,2,51,Dm7b5,False,
36,3,37,G7,True,50
36,4,33,G7,False,
37,1,33,C-,False,
37,2,42,C-,False,
37,3,44,Eb7,True,41
37,4,40,Eb7,True,41
38,1,38,Am7b5,True,52
38,2,40,Am7b5,False,
38,3,40,Ab7,False,
38,4,38,Ab7,False,
39,1,45,Dm7b5,False,
39,2,48,Dm7b5,False,
39,3,38,G+7,False,
39,4,42,G+7,False,
40,1,43,C-,False,
40,2,38,C-,True,40
40,3,37,C-,True,45
40,4,50,C-,False,
41,1,43,C-7,False,
41,2,42,G7,False,
41,3,41,C-,False,
41,4,41,C-,False,
42,1,52,G-7,False,
42,2,40,D7,False,
42,3,39,G-7,False,
42,4,46,G-7,True,43
43,1,37,C-7,True,40
43,2,38,C-7,True,42
43,3,45,Ab7,False,
43,4,43,Ab7,True,52
44,1,43,Dm7b5,True,45
44,2,48,Dm7b5,False,
44,3,50,G7,False,
44,4,42,G7,False,
45,1,37,C-7,False,
45,2,45,G7,False,
45,3,43,C-,False,
45,4,41,C-,False,
46,1,38,G-7,False,
46,2,40,D7,False,
46,3,49,G-7,True,51
46,4,45,G-7,False,
47,1,45,Dm7b5,False,
47,2,43,Dm7b5,False,
47,3,42,G79,False,
47,4,50,G79,True,38
48,1,43,C-,False,
48,2,45,C-,True,38
48,3,47,G79,True,48
48,4,43,G79,False,
49,1,45,C-,False,
49,2,50,C-,False,
49,3,43,Eb7,False,
49,4,41,Eb7,False,
50,1,52,Am7b5,False,
50,2,45,Am7b5,False,
50,3,50,Ab7,False,
50,4,51,Ab7,False,
51,1,50,C-,True,52
51,2,40,C-,False,
51,3,45,Ab7,False,
51,4,52,Ab7,False,
52,1,46,Dm7b5,True,45
52,2,43,Dm7b5,False,
52,3,42,G7,False,
52,4,38,G7,False,
