bar,beat,note,chord,replaced,original_value
1,1,34,D-7,False,
1,2,51,D-7,False,
1,3,50,D-7,False,
1,4,49,D-7,True,51
2,1,50,F-7,False,
2,2,50,F-7,False,
2,3,39,Bb7,True,49
2,4,52,Bb7,False,
3,1,40,Ebj7,False,
3,2,40,Ebj7,False,
3,3,38,Ebj7,False,
3,4,38,Ebj7,False,
4,1,49,A-7,True,40
4,2,40,A-7,False,
4,3,40,D7,False,
4,4,38,D7,False,
5,1,38,F-7911,False,
5,2,50,F-7911,True,38
5,3,42,F-7911,False,
5,4,37,F-7911,False,
6,1,37,Am7b5,False,
6,2,38,Am7b5,False,
6,3,50,D7,True,37
6,4,45,D7,True,37
7,1,37,Dbsus7,False,
7,2,37,Dbsus7,False,
7,3,48,Dbsus7,True,37
7,4,42,Dbsus7,False,
8,1,38,Dbsus7,False,
8,2,47,Dbsus7,True,37
8,3,51,Dbsus7,True,37
8,4,37,Dbsus7,False,
9,1,38,G-7,False,
9,2,38,G-7,False,
9,3,34,G-7,True,50
9,4,50,G-7,False,
10,1,38,D7,False,
10,2,42,D7,True,48
10,3,38,D7,False,
10,4,38,D7,False,
11,1,52,G-7,False,
11,2,47,G-7,False,
11,3,35,G-7,True,35
11,4,34,G-7,False,
12,1,34,F-79,False,
12,2,50,F-79,False,
12,3,37,F-79,False,
12,4,38,F-79,False,
13,1,37,F-79,False,
13,2,44,F-79,True,50
13,3,50,F-79,False,
13,4,42,F-79,False,
14,1,42,Eb,False,
14,2,34,Eb,True,49
14,3,47,Eb,True,48
14,4,42,Eb,False,
15,1,34,G-7,False,
15,2,37,G-7,False,
15,3,52,G-7,True,50
15,4,40,G-7,True,42
16,1,40,F-7,False,
16,2,44,F-7,False,
16,3,38,Bb7,False,
16,4,37,Bb7,False,
17,1,37,Ebj7,False,
17,2,37,Ebj7,False,
17,3,37,Ebj7,False,
17,4,49,Ebj7,False,
18,1,37,A-7,False,
18,2,50,A-7,False,
18,3,50,D7,False,
18,4,50,D7,False,
19,1,49,F-7911,False,
19,2,51,F-7911,True,37
19,3,50,F-7911,False,
19,4,45,F-7911,True,50
20,1,50,Am7b5,False,
20,2,46,Am7b5,True,50
20,3,50,D7,False,
20,4,50,D7,False,
21,1,50,Dbsus7,False,
21,2,40,Dbsus7,False,
21,3,40,Dbsus7,False,
21,4,38,Dbsus7,False,
22,1,38,Dbsus7,False,
22,2,38,Dbsus7,False,
22,3,38,Dbsus7,False,
22,4,38,Dbsus7,False,
23,1,46,D-,True,38
23,2,38,D-,False,
23,3,50,D-,True,38
23,4,38,D-,False,
24,1,40,F-7,False,
24,2,51,F-7,True,40
24,3,40,Bb7,False,
24,4,37,Bb7,True,52
25,1,50,Ebj7,True,47
25,2,48,Ebj7,False,
25,3,42,Ebj7,False,
25,4,38,Ebj7,False,
26,1,40,A-7,False,
26,2,40,A-7,False,
26,3,45,D7,False,
26,4,48,D7,True,44
27,1,48,F-7911,True,44
27,2,44,F-7911,False,
27,3,44,F-7911,False,
27,4,44,F-7911,False,
28,1,48,Am7b5,True,44
28,2,44,Am7b5,False,
28,3,42,D7,True,44
28,4,44,D7,False,
29,1,45,Dbsus7,False,
29,2,45,Dbsus7,False,
29,3,45,Dbsus7,False,
29,4,45,Dbsus7,False,
30,1,38,Dbsus7,True,45
30,2,45,Dbsus7,False,
30,3,45,Dbsus7,False,
30,4,45,Dbsus7,False,
31,1,45,G-7,False,
31,2,45,G-7,False,
31,3,45,G-7,False,
31,4,45,G-7,False,
32,1,45,D7,False,
32,2,43,D7,False,
32,3,43,D7,False,
32,4,37,D7,True,43
33,1,42,G-79,False,
33,2,34,G-79,True,42
33,3,42,G-79,False,
33,4,42,G-79,False,
34,1,41,F-79,False,
34,2,43,F-79,True,41
34,3,35,F-79,True,42
