bar,beat,note,chord,replaced,original_value
1,1,49,F6,True,47
1,2,40,F6,False,
1,3,45,D-7,False,
1,4,49,D-7,True,52
2,1,50,G-7,False,
2,2,47,G-7,False,
2,3,47,C7,False,
2,4,48,C7,True,45
3,1,43,Fj7,True,43
3,2,48,Fj7,True,41
3,3,40,Fj7,False,
3,4,45,Fj7,False,
4,1,50,G-7,False,
4,2,47,G-7,True,50
4,3,39,C7,True,42
4,4,38,C7,True,47
5,1,47,F6,True,38
5,2,38,F6,False,
5,3,42,F6,False,
5,4,42,F6,True,42
6,1,47,G-7,True,43
6,2,42,G-7,False,
6,3,42,C7,False,
6,4,40,C7,True,50
7,1,38,A-7,True,50
7,2,50,A-7,False,
7,3,49,D7,True,38
7,4,40,D7,True,51
8,1,38,G-7,True,50
8,2,45,G-7,True,47
8,3,47,C7,False,
8,4,40,C7,False,
9,1,50,Ab6,True,51
9,2,51,Ab6,False,
9,3,39,Ab6,True,50
9,4,40,Ab6,True,50
10,1,48,Bb-7,False,
10,2,47,Bb-7,False,
10,3,40,Eb7,True,47
10,4,47,Eb7,False,
11,1,45,Abj7,True,47
11,2,50,Abj7,True,43
11,3,45,Abj7,True,43
11,4,47,Abj7,False,
12,1,45,G7,True,45
12,2,47,G7,False,
12,3,47,G7,False,
12,4,50,G7,False,
13,1,43,Cj7,False,
13,2,52,Cj7,True,45
13,3,47,Cj7,False,
13,4,40,Cj7,True,47
14,1,50,A-7,False,
14,2,42,A-7,True,50
14,3,46,A-7,True,41
14,4,49,D7,True,45
15,1,47,G-7,True,43
15,2,51,G-7,True,42
15,3,41,G-7,True,47
15,4,47,G-7,False,
16,1,41,C7,True,47
16,2,48,C7,True,47
16,3,42,C7,True,42
16,4,47,C7,False,
17,1,47,F6,False,
17,2,50,F6,False,
17,3,51,D-7,False,
17,4,43,D-7,False,
18,1,43,G-7,True,41
18,2,43,G-7,True,40
18,3,49,C7,True,50
18,4,49,C7,False,
19,1,47,Fj7,False,
19,2,47,Fj7,False,
19,3,45,Fj7,False,
19,4,40,Fj7,True,44
20,1,43,G-7,False,
20,2,50,G-7,True,42
20,3,43,C7,True,50
20,4,50,C7,False,
21,1,47,F6,False,
21,2,40,F6,False,
21,3,45,F6,False,
21,4,52,F6,False,
22,1,52,G-7,True,50
22,2,40,G-7,True,50
22,3,42,C7,True,42
22,4,49,C7,True,42
23,1,42,A-7,False,
23,2,50,A-7,False,
23,3,49,D7,True,50
23,4,50,D7,True,45
24,1,50,G-7,False,
24,2,45,G-7,True,48
24,3,47,C7,False,
24,4,50,C7,False,
25,1,50,C-7,False,
25,2,51,C-7,True,42
25,3,52,C-7,True,42
25,4,49,C-7,True,42
26,1,41,F7,True,42
26,2,49,F7,True,42
26,3,45,F7,True,42
26,4,39,F7,True,52
27,1,42,Bbj7,False,
27,2,45,Bbj7,False,
27,3,49,Bbj7,True,48
27,4,52,Bbj7,True,50
28,1,50,Eb7,False,
28,2,38,Eb7,True,48
28,3,50,Eb7,False,
28,4,47,Eb7,True,50
29,1,46,F6,True,52
29,2,50,F6,True,40
29,3,45,D-7,False,
29,4,51,D-7,False,
30,1,41,G-7,True,50
30,2,47,G-7,False,
30,3,47,C7,False,
30,4,41,C7,True,50
31,1,43,F6,False,
31,2,50,F6,False,
31,3,38,F6,True,43
31,4,47,F6,True,50
32,1,43,G-7,False,
32,2,50,G-7,True,41
32,3,40,C7,False,
32,4,52,C7,True,50
33,1,48,C7,False,
33,2,46,C7,True,40
33,3,52,C7,True,41
33,4,50,C7,True,42
