bar,beat,note,chord,replaced,original_value
1,1,42,Eb,False,
1,2,37,Eb,False,
1,3,37,F-7,True,37
1,4,37,F-7,True,37
2,1,37,Eb6,True,37
2,2,37,Eb6,True,37
2,3,37,Gbo,True,37
2,4,37,Gbo,False,
3,1,37,F-,True,37
3,2,37,F-,False,
3,3,37,F-7,True,37
3,4,37,F-7,False,
4,1,37,F-6,True,37
4,2,37,F-6,False,
4,3,37,Gbo,True,37
4,4,37,Gbo,False,
5,1,37,F-,True,37
5,2,37,F-,True,37
5,3,37,F-7,True,37
5,4,37,F-7,False,
6,1,37,F-6,True,37
6,2,37,F-6,False,
6,3,37,Bb7,True,37
6,4,37,Bb7,False,
7,1,37,Eb,True,37
7,2,37,Eb,True,37
7,3,37,C-7,False,
7,4,37,C-7,False,
8,1,37,F-7,True,37
8,2,37,F-7,True,37
8,3,37,Bb7,False,
8,4,38,Bb7,False,
9,1,37,Eb,False,
9,2,37,Eb,True,37
9,3,37,F-7,False,
9,4,37,F-7,True,37
10,1,37,Eb6,True,37
10,2,37,Eb6,True,37
10,3,37,Gbo,True,37
10,4,37,Gbo,False,
11,1,37,F-,True,37
11,2,37,F-,True,37
11,3,37,F-7,False,
11,4,37,F-7,False,
12,1,37,F-6,True,37
12,2,38,F-6,False,
12,3,37,Gbo,True,37
12,4,37,Gbo,False,
13,1,37,F-,True,37
13,2,37,F-,False,
13,3,37,F-7,True,42
13,4,37,F-7,False,
14,1,37,F-6,False,
14,2,37,F-6,True,37
14,3,37,Bb7,True,37
14,4,37,Bb7,False,
15,1,37,Eb,True,37
15,2,37,Eb,True,37
15,3,37,Bbm7b5,True,37
15,4,37,Bbm7b5,True,37
16,1,37,Eb,False,
16,2,37,Eb,False,
16,3,37,D7,False,
16,4,37,D7,False,
17,1,37,D7,True,37
17,2,37,D7,True,37
17,3,37,D7,False,
17,4,37,D7,False,
18,1,37,D7,False,
18,2,37,NC,True,37
18,3,37,NC,True,37
