bar,beat,note,chord,replaced,original_value
1,1,42,Bb,False,
1,2,41,Bb,False,
1,3,40,Bb,True,41
1,4,40,Bb,True,40
2,1,42,Bb,True,41
2,2,42,Bb,True,41
2,3,43,Bb,True,41
2,4,43,Bb,True,41
3,1,41,Bb,True,41
3,2,41,Bb,False,
3,3,42,Bb,True,42
3,4,42,Bb,False,
4,1,41,Bb,False,
4,2,41,Bb,True,41
4,3,43,Bb,True,41
4,4,44,Bb,False,
5,1,43,Eb,True,41
5,2,40,Eb,True,42
5,3,43,Eb,True,41
5,4,41,Eb,True,41
6,1,42,Eb,False,
6,2,41,Eb,True,42
6,3,41,Eb,True,41
6,4,42,Eb,False,
7,1,43,Bb,True,41
7,2,41,Bb,False,
7,3,41,Bb,False,
7,4,43,Bb,True,41
8,1,41,G7,True,38
8,2,40,G7,False,
8,3,42,G7,False,
8,4,43,G7,True,45
9,1,45,C-7,False,
9,2,42,C-7,True,40
9,3,42,C-7,True,38
9,4,43,C-7,False,
10,1,48,F7,False,
10,2,42,F7,False,
10,3,42,F7,True,48
10,4,47,F7,False,
11,1,41,Bb,False,
11,2,41,Bb,True,40
11,3,48,Bb,False,
11,4,48,Bb,False,
12,1,42,Bb,False,
12,2,43,Bb,True,38
12,3,42,Bb,False,
12,4,43,Bb,True,43
13,1,42,NC,True,41
