bar,beat,note,chord,replaced,original_value
1,1,50,Eb7,False,
1,2,40,NC,True,45
1,3,43,NC,False,
1,4,43,NC,True,42
2,1,46,Ab7,True,41
2,2,42,Ab7,False,
2,3,50,Ab7,True,43
2,4,45,Ab7,False,
3,1,42,Eb7,False,
3,2,50,Eb7,False,
3,3,43,Eb7,False,
3,4,50,Eb7,True,42
4,1,41,Eb7,False,
4,2,41,Eb7,False,
4,3,47,Eb7,False,
4,4,50,Eb7,False,
5,1,44,Ab7,True,38
5,2,43,Ab7,False,
5,3,42,Ab7,True,44
5,4,45,Ab7,False,
6,1,51,Ab7,False,
6,2,37,Ab7,True,51
6,3,35,Ab7,True,43
6,4,42,Ab7,False,
7,1,41,Eb7,True,41
7,2,37,Eb7,False,
7,3,38,Eb7,False,
7,4,37,Eb7,False,
8,1,37,G-7,False,
8,2,50,G-7,False,
8,3,37,C7,False,
8,4,38,C7,False,
9,1,37,F-7,True,44
9,2,44,F-7,False,
9,3,37,F-7,False,
9,4,37,F-7,False,
10,1,48,Bb7,True,38
10,2,42,Bb7,False,
10,3,41,Bb7,False,
10,4,38,Bb7,False,
11,1,37,Eb7,False,
11,2,39,Eb7,True,45
11,3,43,Eb7,False,
11,4,42,Eb7,False,
12,1,41,F-7,False,
12,2,47,F-7,True,42
12,3,50,Bb7,True,43
12,4,42,Bb7,True,45
13,1,37,Eb7,False,
13,2,45,Eb7,True,37
13,3,36,Eb7,True,38
13,4,37,Eb7,False,
14,1,46,Ab7,True,37
14,2,43,Ab7,True,37
14,3,38,Ab7,False,
14,4,43,Ab7,True,37
15,1,37,Eb7,False,
15,2,35,Eb7,True,37
15,3,39,Eb7,True,38
15,4,37,Eb7,False,
16,1,42,Eb7,True,37
16,2,41,Eb7,True,37
16,3,38,Eb7,False,
16,4,38,Eb7,False,
17,1,37,Ab7,False,
17,2,37,Ab7,False,
17,3,40,Ab7,True,38
17,4,37,Ab7,False,
18,1,37,Ab7,True,38
18,2,37,Ab7,False,
18,3,50,Ab7,True,43
18,4,42,Ab7,False,
