bar,beat,note,chord,replaced,original_value
1,1,48,Bb7,True,41
1,2,41,Bb7,False,
1,3,41,Bb7,False,
1,4,36,Bb7,True,41
2,1,34,Eb7,False,
2,2,35,Eb7,True,34
2,3,37,Eb7,False,
2,4,37,Eb7,False,
3,1,51,Bb7,True,41
3,2,42,Bb7,True,41
3,3,43,Bb7,False,
3,4,39,Bb7,True,44
4,1,45,Bb7,False,
4,2,34,Bb7,True,48
4,3,41,Bb7,False,
4,4,37,Bb7,False,
5,1,45,Eb7,True,37
5,2,38,Eb7,False,
5,3,37,Eb7,False,
5,4,37,Eb7,False,
6,1,34,Eb7,False,
6,2,41,Eb7,False,
6,3,37,Eb7,False,
6,4,45,Eb7,True,37
7,1,41,Bb7,False,
7,2,41,Bb7,False,
7,3,37,Bb7,False,
7,4,44,Bb7,False,
8,1,38,D-7,True,37
8,2,46,D-7,True,51
8,3,50,G7,False,
8,4,35,G7,True,38
9,1,49,C7,True,43
9,2,44,C7,True,45
9,3,40,C7,True,42
9,4,47,C7,False,
10,1,48,F7,False,
10,2,48,F7,False,
10,3,48,F7,False,
10,4,48,F7,False,
11,1,35,Bb7,True,41
11,2,44,Bb7,True,41
11,3,34,Bb7,False,
11,4,49,Bb7,True,47
12,1,48,Bb7,False,
12,2,42,Bb7,False,
12,3,41,Bb7,True,41
