bar,beat,note,chord,replaced,original_value
1,1,38,Gj7,False,
1,2,40,Gj7,False,
1,3,41,Gj7,True,42
1,4,43,Gj7,True,45
2,1,48,Gj7,True,50
2,2,50,Gj7,True,42
2,3,38,Gj7,False,
2,4,48,Gj7,True,42
3,1,34,Bb-7,False,
3,2,48,Bb-7,True,50
3,3,48,Bb-7,True,41
3,4,46,Bb-7,True,43
4,1,44,Eb7,False,
4,2,44,Eb7,False,
4,3,32,Eb7,False,
4,4,44,Eb7,False,
5,1,37,Gj7,False,
5,2,49,Gj7,True,37
5,3,44,Gj7,True,44
5,4,49,Gj7,True,50
6,1,47,Gj7,False,
6,2,45,Gj7,False,
6,3,43,Gj7,False,
6,4,41,Gj7,True,40
7,1,37,B-7,True,43
7,2,44,B-7,False,
7,3,44,B-7,False,
7,4,43,B-7,True,45
8,1,44,E79b,True,47
8,2,45,E79b,False,
8,3,42,E79b,False,
8,4,47,E79b,False,
9,1,49,A-7,True,40
9,2,41,A-7,True,42
9,3,50,A-7,True,43
9,4,44,A-7,False,
10,1,49,E79b,True,47
10,2,44,E79b,True,45
10,3,38,E79b,True,42
10,4,47,E79b,False,
11,1,40,A-7,False,
11,2,39,A-7,True,43
11,3,42,A-7,True,43
11,4,44,A-7,False,
12,1,38,A-7,True,47
12,2,43,A-7,True,50
12,3,43,A-7,True,52
12,4,49,A-7,True,40
13,1,34,Eb7,False,
13,2,50,Eb7,False,
13,3,41,Eb7,False,
13,4,46,Eb7,True,47
14,1,47,Eb7,True,44
14,2,43,Eb7,False,
14,3,42,Eb7,False,
14,4,38,Eb7,False,
15,1,49,Dsus7,True,38
15,2,38,Dsus7,True,40
15,3,42,Dsus7,False,
15,4,39,Dsus7,True,43
16,1,33,D79b,False,
16,2,45,D79b,False,
16,3,40,D79b,True,47
16,4,45,D79b,False,
17,1,50,Gj7,False,
17,2,45,Gj7,True,42
17,3,38,Gj7,False,
17,4,50,Gj7,True,42
18,1,42,Gj7,True,45
18,2,50,Gj7,False,
18,3,48,Gj7,True,33
18,4,42,Gj7,False,
19,1,34,Bb-7,False,
19,2,50,Bb-7,False,
19,3,49,Bb-7,True,41
19,4,49,Bb-7,True,34
20,1,47,Eb7,True,34
20,2,44,Eb7,True,50
20,3,42,Eb7,True,41
20,4,34,Eb7,False,
21,1,42,Gj7,True,50
21,2,52,Gj7,False,
21,3,49,Gj7,True,42
21,4,52,Gj7,False,
22,1,50,Gj7,True,50
22,2,45,Gj7,True,47
22,3,43,Gj7,True,45
22,4,43,Gj7,False,
23,1,42,B-7,True,42
23,2,45,B-7,True,44
23,3,46,B-7,True,45
23,4,45,B-7,False,
24,1,40,E79b,True,47
24,2,38,E79b,True,45
24,3,42,E79b,False,
24,4,47,E79b,False,
25,1,40,A-7,False,
25,2,45,A-7,True,40
25,3,40,A-7,False,
25,4,44,A-7,True,40
26,1,49,E79b,True,42
26,2,47,E79b,False,
26,3,41,E79b,True,37
26,4,41,E79b,True,39
27,1,40,A-7,False,
27,2,42,A-7,False,
27,3,43,A-7,False,
27,4,41,A-7,True,45
28,1,45,C-6,False,
28,2,50,C-6,False,
28,3,41,C-6,True,41
28,4,34,C-6,False,
29,1,45,B-7,False,
29,2,44,B-7,False,
29,3,37,Bbo,False,
29,4,45,Bbo,True,37
30,1,37,A-7,False,
30,2,37,A-7,False,
30,3,38,D7,True,44
30,4,45,D7,False,
31,1,50,G,False,
31,2,43,G,True,40
31,3,42,G,False,
31,4,41,G,False,
32,1,42,G,True,40
32,2,45,G,False,
32,3,47,G,False,
32,4,47,G,True,49
33,1,50,Gj7,False,
33,2,44,Gj7,True,42
33,3,42,Gj7,False,
33,4,38,Gj7,False,
