bar,beat,note,chord,replaced,original_value
1,1,45,Ebj7,False,
1,2,38,Ebj7,True,33
1,3,41,Ebj7,False,
1,4,41,Ebj7,False,
2,1,34,Ebj7,False,
2,2,45,Ebj7,False,
2,3,36,Ebj7,True,52
2,4,38,Ebj7,False,
3,1,34,Eb-7,True,45
3,2,51,Eb-7,True,45
3,3,41,Eb-7,False,
3,4,37,Eb-7,True,41
4,1,44,Eb-7,True,45
4,2,34,Eb-7,False,
4,3,52,Eb-7,False,
4,4,51,Eb-7,True,38
5,1,45,F7/Eb,False,
5,2,45,F7/Eb,False,
5,3,41,F7/Eb,False,
5,4,46,F7/Eb,True,41
6,1,38,F7/Eb,True,45
6,2,34,F7/Eb,True,38
6,3,46,E/Eb,True,51
6,4,38,E/Eb,False,
7,1,45,Ebj7,False,
7,2,34,Ebj7,True,45
7,3,50,Ebj7,True,41
7,4,41,Ebj7,False,
8,1,37,Ebj7,False,
8,2,38,Ebj7,False,
8,3,52,Ebj7,False,
8,4,43,Ebj7,True,48
9,1,48,F-7,False,
9,2,50,F-7,False,
9,3,51,F-7,False,
9,4,51,F-7,False,
10,1,40,Bb7,False,
10,2,48,Bb7,False,
10,3,41,Bb7,False,
10,4,45,Bb7,False,
11,1,48,Ebj7,True,45
11,2,40,Ebj7,True,41
11,3,41,Ebj7,True,38
11,4,42,Ebj7,False,
12,1,43,Ebj7,True,44
12,2,49,Ebj7,True,51
12,3,50,Ebj7,False,
12,4,36,Ebj7,True,50
13,1,45,Ab-7,True,47
13,2,48,Ab-7,True,50
13,3,50,Ab-7,False,
13,4,37,Ab-7,False,
14,1,41,D7,False,
14,2,41,D7,True,48
14,3,41,D7,True,44
14,4,37,D7,True,44
15,1,46,Gbj7,True,48
15,2,47,Gbj7,True,42
15,3,45,Gbj7,True,44
15,4,45,Gbj7,False,
16,1,48,Gbj7,False,
16,2,42,Gbj7,False,
16,3,37,Gbj7,False,
16,4,34,Gbj7,True,38
17,1,45,Ebj7,False,
17,2,45,Ebj7,False,
17,3,35,Ebj7,True,41
17,4,37,Ebj7,False,
18,1,45,Ebj7,False,
18,2,38,Ebj7,False,
18,3,41,Ebj7,True,52
18,4,38,Ebj7,False,
19,1,45,Eb-7,False,
19,2,39,Eb-7,True,45
19,3,41,Eb-7,False,
19,4,41,Eb-7,False,
20,1,45,Eb-7,False,
20,2,50,Eb-7,True,51
20,3,52,Eb-7,False,
20,4,38,Eb-7,False,
21,1,48,F7/Eb,True,34
21,2,45,F7/Eb,False,
21,3,41,F7/Eb,False,
21,4,37,F7/Eb,False,
22,1,45,F7/Eb,False,
22,2,38,F7/Eb,False,
22,3,52,E/Eb,False,
22,4,42,E/Eb,True,38
23,1,45,Ebj7,False,
23,2,52,Ebj7,True,38
23,3,41,Ebj7,False,
23,4,51,Ebj7,True,41
24,1,42,Ebj7,True,42
24,2,38,Ebj7,False,
24,3,52,Ebj7,False,
24,4,39,Ebj7,False,
25,1,52,F-7,True,48
25,2,45,F-7,False,
25,3,43,F-/Eb,True,43
25,4,44,F-/Eb,False,
26,1,49,Dm7b5,True,45
26,2,47,Dm7b5,True,50
26,3,50,G79b,False,
26,4,45,G79b,False,
27,1,52,C-7,True,43
27,2,36,C-7,True,50
27,3,43,C-/Bb,False,
27,4,50,C-/Bb,True,44
28,1,41,Am7b5,True,48
28,2,38,Am7b5,True,45
28,3,38,D7,True,37
28,4,43,D7,False,
29,1,36,G-7,True,50
