bar,beat,note,chord,replaced,original_value
1,1,48,Gb-7,True,37
1,2,44,Gb-7,False,
1,3,52,Gb-7,False,
1,4,43,Gb-7,True,52
2,1,39,Abm7b5,True,51
2,2,51,Abm7b5,False,
2,3,51,Db7,True,50
2,4,33,Db7,False,
3,1,43,Gb-7,True,49
3,2,51,Gb-7,False,
3,3,49,Gb-7,True,51
3,4,49,Gb-7,True,42
4,1,52,Gb-7,True,44
4,2,44,Gb-7,False,
4,3,38,Gb-7,False,
4,4,45,Gb-7,True,38
5,1,49,G7,True,38
5,2,38,G7,False,
5,3,38,G7,False,
5,4,38,G7,True,43
6,1,50,G7,True,50
6,2,41,G7,True,51
6,3,50,G7,True,41
6,4,46,G7,True,52
7,1,52,Gb-7,True,50
7,2,44,Gb-7,True,49
7,3,43,Gb-7,True,44
7,4,43,Gb-7,False,
8,1,44,E-7,True,42
8,2,47,E-7,True,41
8,3,43,A7,True,40
8,4,52,A7,False,
9,1,45,D7,False,
9,2,38,D7,True,47
9,3,48,D7,False,
9,4,46,D7,True,33
10,1,52,Db7,True,51
10,2,45,Db7,False,
10,3,40,Db7,True,44
10,4,51,Db7,False,
11,1,37,Gb-7,False,
11,2,44,Gb-7,False,
11,3,45,Gb-7,False,
11,4,34,Gb-7,False,
12,1,51,Db7,False,
12,2,51,Db7,False,
12,3,40,Db7,True,45
12,4,46,Db7,True,38
13,1,38,Gb-7,True,49
13,2,47,Gb-7,False,
13,3,49,Gb-7,False,
13,4,49,Gb-7,False,
14,1,40,Abm7b5,True,51
14,2,47,Abm7b5,False,
14,3,50,Db7,False,
14,4,43,Db7,True,44
15,1,49,Gb-7,False,
15,2,46,Gb-7,True,47
15,3,47,Gb-7,False,
15,4,49,Gb-7,True,45
16,1,51,Gb-7,True,44
16,2,43,Gb-7,True,50
16,3,50,Gb-7,False,
16,4,49,Gb-7,True,44
17,1,38,G7,True,50
17,2,50,G7,False,
17,3,50,G7,True,42
17,4,38,G7,True,52
18,1,46,G7,True,50
18,2,43,G7,True,45
18,3,46,G7,True,44
18,4,43,G7,True,44
19,1,41,Gb-7,True,49
19,2,47,Gb-7,False,
19,3,44,Gb-7,True,44
19,4,43,Gb-7,False,
20,1,51,E-7,True,42
20,2,48,E-7,True,41
20,3,48,A7,True,52
20,4,51,A7,False,
21,1,45,D7,True,45
21,2,52,D7,True,52
21,3,46,D7,True,45
21,4,47,D7,False,
22,1,45,Db7,True,51
22,2,33,Db7,False,
22,3,43,Db7,True,44
22,4,51,Db7,True,51
23,1,47,Gb-7,True,49
23,2,46,Gb-7,True,47
23,3,50,Gb-7,True,47
23,4,50,Gb-7,False,
24,1,51,Db7,False,
24,2,50,Db7,True,42
24,3,42,Db7,True,38
24,4,40,Db7,True,50
25,1,49,Gb-7,False,
25,2,46,Gb-7,True,44
25,3,46,Gb-7,True,44
25,4,44,Gb-7,False,
