bar,beat,note,chord,replaced,original_value
1,1,45,Dsus7,False,
1,2,43,Dsus7,True,45
1,3,45,Dsus7,False,
1,4,44,Dsus7,True,33
2,1,34,Dsus7,True,33
2,2,37,Dsus7,False,
2,3,40,Dsus7,False,
2,4,37,Dsus7,False,
3,1,51,Dsus7,True,45
3,2,38,Dsus7,True,45
3,3,48,Dsus7,True,45
3,4,48,Dsus7,False,
4,1,45,Dsus7,False,
4,2,48,Dsus7,False,
4,3,40,Dsus7,False,
4,4,50,Dsus7,True,50
5,1,47,Fsus7,False,
5,2,33,Fsus7,True,48
5,3,49,Fsus7,False,
5,4,47,Fsus7,True,48
6,1,48,Fsus7,False,
6,2,43,Fsus7,False,
6,3,45,Fsus7,True,43
6,4,38,Fsus7,True,50
7,1,33,Fsus7,True,48
7,2,45,Fsus7,True,48
7,3,37,Fsus7,False,
7,4,48,Fsus7,False,
8,1,41,Fsus7,True,48
8,2,37,Fsus7,False,
8,3,51,Fsus7,True,37
8,4,44,Fsus7,True,48
9,1,45,Dsus7,False,
9,2,45,Dsus7,True,33
9,3,49,Dsus7,True,33
9,4,33,Dsus7,False,
10,1,39,Dsus7,True,33
10,2,39,Dsus7,True,48
10,3,46,Dsus7,True,40
10,4,50,Dsus7,False,
11,1,34,Dsus7,True,48
11,2,50,Dsus7,True,45
11,3,33,Dsus7,True,33
11,4,39,Dsus7,True,33
12,1,45,Dsus7,True,33
12,2,43,Dsus7,True,33
12,3,37,Dsus7,True,40
12,4,37,Dsus7,False,
13,1,46,Fsus7,True,49
13,2,36,Fsus7,True,48
13,3,45,Fsus7,True,48
13,4,34,Fsus7,True,48
14,1,48,Fsus7,True,48
14,2,37,Fsus7,False,
14,3,34,Fsus7,True,43
14,4,50,Fsus7,False,
15,1,33,Fsus7,True,48
15,2,42,Fsus7,True,48
15,3,49,Fsus7,True,48
15,4,48,Fsus7,False,
16,1,40,Fsus7,True,43
16,2,40,Fsus7,True,43
16,3,45,Fsus7,True,48
16,4,50,Fsus7,False,
17,1,40,Ebsus7,True,49
17,2,50,Ebsus7,True,34
17,3,51,Ebsus7,True,34
17,4,34,Ebsus7,False,
18,1,34,Ebsus7,False,
18,2,50,Ebsus7,False,
18,3,48,Ebsus7,False,
18,4,50,Ebsus7,False,
19,1,48,Ebsus7,False,
19,2,42,Ebsus7,True,34
19,3,34,Ebsus7,False,
19,4,36,Ebsus7,True,34
20,1,34,Ebsus7,True,34
20,2,37,Ebsus7,False,
20,3,33,Ebsus7,True,34
20,4,45,Ebsus7,False,
21,1,50,Dbsus7,True,44
21,2,51,Dbsus7,False,
21,3,49,Dbsus7,True,51
21,4,51,Dbsus7,False,
22,1,43,Dbsus7,True,51
22,2,51,Dbsus7,False,
22,3,39,Dbsus7,True,51
22,4,49,Dbsus7,True,51
23,1,51,Dbsus7,True,51
23,2,38,Dbsus7,True,51
23,3,51,Dbsus7,False,
23,4,51,Dbsus7,False,
24,1,34,Dbsus7,True,51
24,2,51,Dbsus7,False,
24,3,51,Dbsus7,False,
24,4,50,Dbsus7,False,
25,1,45,Dsus7,False,
