bar,beat,note,chord,replaced,original_value
1,1,48,Eb-/Ab,True,51
1,2,51,Eb-/Ab,False,
1,3,41,Eb-79/Ab,True,51
1,4,41,Eb-79/Ab,True,51
2,1,51,Ab7,False,
2,2,51,Ab7,False,
2,3,42,Ab7,True,51
2,4,51,Ab7,False,
3,1,51,Eb-/Ab,False,
3,2,51,Eb-/Ab,False,
3,3,50,Eb-/Ab,True,51
3,4,51,Eb-/Ab,False,
4,1,42,Ab7,True,51
4,2,51,Ab7,False,
4,3,40,Ab7,True,51
4,4,51,Ab7,False,
5,1,51,Db79/Ab,False,
5,2,44,Db79/Ab,True,51
5,3,51,Db79/Ab,False,
5,4,51,Db79/Ab,True,51
6,1,39,F+/Ab,True,51
6,2,51,F+/Ab,False,
6,3,51,G+/Ab,True,51
6,4,39,G+/Ab,True,51
7,1,51,F-7/Ab,False,
7,2,43,F-7/Ab,True,51
7,3,41,F-7/Ab,True,51
7,4,47,F-7/Ab,False,
8,1,48,E-7,True,47
8,2,47,E-7,False,
8,3,39,A7,False,
8,4,39,A7,False,
9,1,51,Absus,False,
9,2,51,Absus,True,51
9,3,44,Absus,True,51
9,4,40,Absus,True,51
10,1,45,Absus,True,51
10,2,51,Absus,True,51
10,3,40,Absus,True,51
10,4,41,Absus,True,51
11,1,49,Ab7,True,51
11,2,51,Ab7,False,
11,3,40,Ab7,True,51
11,4,46,Ab7,True,51
12,1,42,B7911#,False,
12,2,42,B7911#,False,
12,3,43,B7911#,False,
12,4,45,B7911#,True,47
13,1,51,F+/Ab,False,
13,2,51,F+/Ab,False,
13,3,42,G+/Ab,True,51
13,4,46,G+/Ab,True,51
14,1,39,F+/Ab,True,51
14,2,50,F+/Ab,True,51
14,3,46,G+/Ab,True,51
14,4,43,G+/Ab,True,51
15,1,40,F+/Ab,True,51
15,2,45,F+/Ab,True,51
15,3,51,Ab7,False,
15,4,40,Ab7,True,47
16,1,48,Db79,True,44
16,2,43,Db79,False,
16,3,48,F79b13b,False,
16,4,42,Bb+7,False,
17,1,51,Eb-/Ab,False,
17,2,43,Eb-/Ab,True,51
17,3,42,Eb-79/Ab,True,51
17,4,51,Eb-79/Ab,False,
18,1,51,Ab7,False,
18,2,47,Ab7,True,51
18,3,46,Ab7,True,51
