bar,beat,note,chord,replaced,original_value
1,1,43,C-7,False,
1,2,45,C-7,False,
1,3,42,C-7,False,
1,4,43,C-7,False,
2,1,45,C-7,False,
2,2,44,C-7,True,43
2,3,42,C-7,False,
2,4,43,C-7,True,45
3,1,43,C-7,False,
3,2,41,C-7,False,
3,3,49,C-7,True,37
3,4,41,C-7,False,
4,1,41,C-7,True,43
4,2,34,C-7,True,45
4,3,47,C-7,False,
4,4,47,C-7,False,
5,1,42,F-7,False,
5,2,43,F-7,False,
5,3,44,F-7,True,45
5,4,33,F-7,True,47
6,1,48,F-7,False,
6,2,46,F-7,True,50
6,3,51,F-7,False,
6,4,48,F-7,False,
7,1,35,C-7,True,50
7,2,33,C-7,True,48
7,3,45,C-7,False,
7,4,46,C-7,True,45
8,1,41,C-7,True,43
8,2,38,C-7,True,45
8,3,45,C-7,False,
8,4,40,C-7,False,
9,1,51,Ab7,False,
9,2,47,Ab7,False,
9,3,39,Ab7,True,43
9,4,51,Ab7,False,
10,1,36,G7,True,50
10,2,43,G7,True,45
10,3,42,G7,True,42
10,4,45,G7,False,
11,1,43,C-7,True,43
11,2,42,C-7,False,
11,3,40,C-7,False,
11,4,44,C-7,True,38
12,1,33,C-7,True,38
12,2,41,C-7,True,42
12,3,40,C-7,False,
12,4,38,C-7,True,45
13,1,43,C-7,False,
13,2,45,C-7,False,
13,3,47,C-7,False,
13,4,42,C-7,True,43
14,1,45,C-7,False,
14,2,43,C-7,False,
14,3,42,C-7,False,
14,4,45,C-7,False,
15,1,47,C-7,True,42
15,2,48,C-7,True,43
15,3,50,C-7,False,
15,4,38,C-7,False,
16,1,37,C-7,False,
16,2,45,C-7,True,49
16,3,43,C-7,False,
16,4,37,C-7,True,43
17,1,48,F-7,False,
17,2,50,F-7,False,
17,3,51,F-7,True,44
17,4,38,F-7,True,44
18,1,51,F-7,False,
18,2,38,F-7,False,
18,3,51,F-7,False,
18,4,36,F-7,True,48
19,1,42,C-7,True,50
19,2,50,C-7,True,48
19,3,43,C-7,True,45
19,4,40,C-7,True,45
20,1,43,C-7,False,
20,2,45,C-7,False,
20,3,45,C-7,False,
20,4,43,C-7,False,
21,1,35,Ab7,True,43
21,2,46,Ab7,True,43
21,3,35,Ab7,True,43
21,4,38,Ab7,False,
22,1,45,G7,True,38
22,2,42,G7,False,
22,3,40,G7,False,
22,4,45,G7,False,
23,1,49,C-7,True,43
23,2,45,C-7,False,
23,3,51,C-7,True,45
23,4,48,C-7,True,43
24,1,38,C-7,True,45
24,2,43,C-7,False,
24,3,35,C-7,True,42
24,4,33,C-7,True,45
25,1,42,C-7,False,
25,2,34,C-7,True,43
25,3,45,C-7,False,
25,4,47,C-7,False,
26,1,48,C-7,False,
26,2,45,C-7,True,51
26,3,50,C-7,False,
26,4,37,C-7,True,42
27,1,38,C-7,False,
27,2,50,C-7,True,42
27,3,41,C-7,True,42
27,4,48,C-7,True,38
28,1,36,C-7,True,38
28,2,38,C-7,False,
28,3,38,C-7,False,
28,4,44,C-7,True,38
29,1,49,F-7,True,38
29,2,38,F-7,False,
29,3,36,F-7,True,38
29,4,39,F-7,False,
30,1,38,F-7,False,
30,2,45,F-7,True,50
30,3,44,F-7,False,
30,4,47,F-7,True,44
31,1,43,C-7,False,
31,2,50,C-7,False,
31,3,50,C-7,False,
31,4,45,C-7,False,
32,1,43,C-7,False,
32,2,34,C-7,True,45
32,3,45,C-7,False,
32,4,50,C-7,False,
33,1,51,Ab7,False,
33,2,42,Ab7,True,34
33,3,42,Ab7,True,43
33,4,34,Ab7,True,42
34,1,45,G7,False,
34,2,43,G7,False,
34,3,43,G7,False,
34,4,45,G7,False,
35,1,43,C-7,False,
35,2,33,C-7,True,41
35,3,35,C-7,True,40
35,4,38,C-7,False,
36,1,43,C-7,True,38
36,2,40,C-7,False,
36,3,38,C-7,False,
36,4,38,C-7,True,45
37,1,46,C-7,True,43
37,2,34,C-7,True,45
37,3,45,C-7,False,
37,4,47,C-7,False,
38,1,50,C-7,True,48
38,2,50,C-7,True,51
38,3,50,C-7,True,50
38,4,50,C-7,False,
39,1,38,C-7,True,42
39,2,50,C-7,False,
39,3,38,C-7,False,
39,4,33,C-7,True,50
40,1,43,C-7,False,
40,2,38,C-7,False,
40,3,40,C-7,True,38
40,4,33,C-7,True,37
41,1,35,F-7,True,38
41,2,33,F-7,True,43
41,3,51,F-7,True,37
41,4,37,F-7,False,
42,1,32,F-7,False,
