bar,beat,note,chord,replaced,original_value
1,1,37,Bbj7,True,45
1,2,43,Bbj7,False,
1,3,42,G7,False,
1,4,40,G7,True,45
2,1,41,C-7,True,43
2,2,41,C-7,True,50
2,3,48,F7,False,
2,4,47,F7,False,
3,1,45,Bbj7,False,
3,2,37,Bbj7,True,37
3,3,50,G7,True,50
3,4,50,G7,False,
4,1,50,C-,False,
4,2,49,C-,False,
4,3,49,F7,True,49
4,4,37,F7,False,
5,1,49,F-7,True,50
5,2,47,F-7,True,44
5,3,45,Bb7,True,50
5,4,50,Bb7,False,
6,1,42,Ebj7,True,37
6,2,44,Ebj7,True,37
6,3,37,Eb-6,False,
6,4,41,Eb-6,True,37
7,1,37,Bbj7,False,
7,2,51,Bbj7,True,37
7,3,48,G7,True,37
7,4,46,G7,True,50
8,1,50,C-7,False,
8,2,37,C-7,False,
8,3,37,F7,False,
8,4,37,F7,False,
9,1,50,Bbj7,False,
9,2,37,Bbj7,False,
9,3,42,G7,True,38
9,4,43,G7,True,37
10,1,46,C-7,True,37
10,2,46,C-7,True,37
10,3,45,F7,True,37
10,4,37,F7,False,
11,1,37,Bbj7,False,
11,2,37,Bbj7,True,45
11,3,50,G7,False,
11,4,50,G7,False,
12,1,37,C-7,False,
12,2,42,C-7,True,49
12,3,46,F7,True,48
12,4,46,F7,True,49
13,1,39,F-7,True,50
13,2,50,F-7,True,45
13,3,46,Bb7,True,50
13,4,45,Bb7,True,50
14,1,37,Ebj7,False,
14,2,37,Ebj7,True,37
14,3,50,Eb-6,False,
14,4,50,Eb-6,False,
15,1,41,Bbj7,True,47
15,2,47,Bbj7,False,
15,3,48,G7,False,
15,4,37,G7,True,49
16,1,44,Bbj7,False,
16,2,43,Bbj7,False,
16,3,42,Bbj7,False,
16,4,42,Bbj7,False,
17,1,45,D7,True,47
17,2,49,D7,True,37
17,3,37,D7,True,37
17,4,50,D7,False,
18,1,49,D7,False,
18,2,37,D7,False,
18,3,45,D7,False,
18,4,51,D7,True,37
19,1,41,G7,True,50
19,2,49,G7,True,50
19,3,49,G7,True,42
19,4,39,G7,True,43
20,1,44,G7,False,
20,2,51,G7,True,48
20,3,43,G7,True,50
20,4,48,G7,True,50
21,1,39,C7,True,50
21,2,49,C7,True,37
21,3,39,C7,True,37
21,4,37,C7,False,
22,1,50,C7,False,
22,2,50,C7,False,
22,3,48,C7,True,47
22,4,45,C7,False,
23,1,48,F7,True,43
23,2,47,F7,True,50
23,3,50,F7,False,
23,4,50,F7,False,
24,1,48,F7,True,37
24,2,48,F7,False,
