bar,beat,note,chord,replaced,original_value
1,1,39,Fsus7913,True,49
1,2,47,NC,False,
1,3,50,NC,True,40
1,4,50,NC,False,
2,1,50,NC,False,
2,2,50,NC,False,
2,3,48,NC,False,
2,4,48,NC,True,48
3,1,41,NC,True,43
3,2,44,NC,True,43
3,3,50,NC,True,47
3,4,37,NC,True,50
4,1,38,Gbsus7913,False,
4,2,42,Gbsus7913,False,
4,3,49,Gbsus7913,True,42
4,4,44,Gbsus7913,True,50
5,1,40,Fsus7913,True,50
5,2,38,Fsus7913,False,
5,3,49,Fsus7913,True,37
5,4,50,Fsus7913,False,
6,1,51,Fsus7913,True,50
6,2,38,Fsus7913,True,49
6,3,43,Fsus7913,True,42
6,4,37,Fsus7913,True,42
7,1,46,F7,True,48
7,2,39,F7,True,48
7,3,42,Eb7,False,
7,4,41,Eb7,True,50
8,1,50,D79,False,
8,2,40,D79,False,
8,3,40,D79,True,48
8,4,40,D79,True,37
9,1,39,Ebj7911#,True,47
9,2,42,Ebj7911#,False,
9,3,51,Ebj7911#,True,47
9,4,50,Ebj7911#,False,
10,1,51,Ebj7911#,True,45
10,2,40,Ebj7911#,True,40
10,3,45,Ebj7911#,False,
10,4,50,Ebj7911#,False,
11,1,46,Ebj7911#,True,47
11,2,50,Ebj7911#,False,
11,3,45,Ebj7911#,True,50
11,4,37,Ebj7911#,True,47
12,1,50,Ebj7911#,False,
12,2,47,Ebj7911#,True,45
12,3,50,Ebj7911#,False,
12,4,37,Ebj7911#,False,
13,1,44,Fsus7913,True,49
13,2,40,Fsus7913,True,37
13,3,41,Fsus7913,True,37
13,4,40,Fsus7913,True,49
14,1,48,Fsus7913,False,
14,2,37,Fsus7913,False,
14,3,37,Fsus7913,False,
14,4,37,Fsus7913,False,
15,1,45,Fsus7913,True,37
15,2,38,Fsus7913,False,
15,3,37,Fsus7913,False,
15,4,45,Fsus7913,True,37
16,1,49,Gbsus7913,True,50
16,2,50,Gbsus7913,False,
16,3,43,Gbsus7913,False,
16,4,50,Gbsus7913,False,
17,1,38,Fsus7913,True,51
17,2,50,Fsus7913,False,
17,3,43,Fsus7913,False,
17,4,50,Fsus7913,False,
18,1,50,Fsus7913,False,
18,2,37,Fsus7913,True,43
18,3,41,Fsus7913,True,38
18,4,37,Fsus7913,False,
19,1,50,F7,True,43
19,2,38,F7,False,
19,3,41,Eb7,True,37
19,4,43,Eb7,True,50
20,1,47,D79,True,50
20,2,48,D79,True,37
20,3,37,D79,False,
20,4,44,D79,True,49
21,1,49,Ebj7911#,False,
21,2,43,Ebj7911#,True,50
21,3,46,Ebj7911#,True,37
21,4,51,Ebj7911#,False,
22,1,37,Ebj7911#,True,50
22,2,45,Ebj7911#,False,
22,3,50,Ebj7911#,False,
22,4,50,Ebj7911#,False,
23,1,38,Ebj7911#,True,43
23,2,43,Ebj7911#,False,
23,3,45,Ebj7911#,False,
23,4,40,Ebj7911#,True,45
24,1,50,Ebj7911#,False,
24,2,45,Ebj7911#,False,
24,3,40,Ebj7911#,True,50
24,4,50,Ebj7911#,False,
25,1,51,Fsus7913,True,45
25,2,37,Fsus7913,True,37
25,3,47,Fsus7913,False,
25,4,40,Fsus7913,False,
26,1,38,Fsus7913,False,
26,2,46,Fsus7913,True,40
26,3,39,Fsus7913,True,40
26,4,38,Fsus7913,True,40
27,1,40,Fsus7913,False,
27,2,40,Fsus7913,False,
27,3,38,Fsus7913,False,
27,4,40,Fsus7913,False,
28,1,48,Gbsus7913,True,40
28,2,44,Gbsus7913,True,40
28,3,39,Gbsus7913,True,40
28,4,40,Gbsus7913,False,
29,1,47,Fsus7913,False,
29,2,47,Fsus7913,False,
29,3,43,Fsus7913,True,37
29,4,49,Fsus7913,True,49
30,1,51,Fsus7913,True,48
30,2,50,Fsus7913,False,
30,3,37,Fsus7913,False,
30,4,37,Fsus7913,False,
31,1,48,F7,False,
31,2,46,F7,True,50
31,3,50,Eb7,False,
31,4,43,Eb7,True,38
32,1,50,D79,False,
32,2,44,D79,True,45
32,3,45,D79,True,47
32,4,47,D79,True,50
33,1,50,Ebj7911#,False,
33,2,48,Ebj7911#,True,50
33,3,50,Ebj7911#,False,
33,4,51,Ebj7911#,False,
34,1,50,Ebj7911#,False,
34,2,50,Ebj7911#,False,
34,3,44,Ebj7911#,True,50
34,4,50,Ebj7911#,False,
35,1,45,Ebj7911#,True,48
35,2,39,Ebj7911#,True,40
35,3,42,Ebj7911#,True,45
35,4,50,Ebj7911#,False,
36,1,50,Ebj7911#,False,
36,2,45,Ebj7911#,False,
36,3,47,Ebj7911#,True,37
36,4,51,Ebj7911#,True,50
37,1,49,Fsus7913,False,
37,2,39,Fsus7913,True,48
37,3,39,Fsus7913,True,37
37,4,48,Fsus7913,False,
38,1,51,Fsus7913,True,37
38,2,48,Fsus7913,False,
38,3,46,Fsus7913,True,37
38,4,49,Fsus7913,False,
39,1,37,Fsus7913,False,
39,2,45,Fsus7913,True,48
39,3,37,Fsus7913,False,
39,4,48,Fsus7913,True,37
40,1,48,Gbsus7913,False,
40,2,42,Gbsus7913,True,48
40,3,37,Gbsus7913,True,48
40,4,37,Gbsus7913,False,
41,1,41,Fsus7913,True,37
41,2,45,Fsus7913,True,37
41,3,47,Fsus7913,True,48
41,4,48,Fsus7913,False,
42,1,49,Fsus7913,False,
42,2,39,Fsus7913,True,48
42,3,49,Fsus7913,True,48
42,4,37,Fsus7913,False,
43,1,40,F7,True,37
43,2,38,F7,True,37
43,3,48,Eb7,False,
43,4,48,Eb7,False,
44,1,51,D79,True,37
44,2,48,D79,False,
44,3,51,D79,True,48
44,4,49,D79,True,37
45,1,46,Ebj7911#,True,48
45,2,48,Ebj7911#,False,
45,3,44,Ebj7911#,True,48
45,4,44,Ebj7911#,True,48
46,1,37,Ebj7911#,False,
46,2,48,Ebj7911#,False,
46,3,39,Ebj7911#,True,49
46,4,50,Ebj7911#,True,49
47,1,50,Ebj7911#,False,
47,2,37,Ebj7911#,False,
47,3,38,Ebj7911#,False,
47,4,40,Ebj7911#,False,
48,1,48,Ebj7911#,True,40
48,2,40,Ebj7911#,True,48
48,3,48,Ebj7911#,False,
48,4,49,Ebj7911#,False,
49,1,39,Fsus7913,True,48
49,2,40,Fsus7913,True,48
49,3,45,Fsus7913,True,48
49,4,44,Fsus7913,True,37
50,1,51,Fsus7913,True,50
50,2,42,Fsus7913,True,50
50,3,49,Fsus7913,False,
50,4,48,Fsus7913,False,
51,1,50,Fsus7913,False,
51,2,50,Fsus7913,False,
51,3,50,Fsus7913,False,
51,4,50,Fsus7913,False,
52,1,41,Gbsus7913,True,49
52,2,48,Gbsus7913,False,
52,3,39,Gbsus7913,True,49
52,4,38,Gbsus7913,True,47
53,1,47,Fsus7913,False,
53,2,46,Fsus7913,True,42
53,3,37,Fsus7913,True,42
53,4,40,Fsus7913,True,51
54,1,45,Fsus7913,False,
54,2,42,Fsus7913,True,50
54,3,45,Fsus7913,False,
54,4,42,Fsus7913,False,
55,1,40,F7,True,42
55,2,43,F7,False,
55,3,49,Eb7,True,45
55,4,51,Eb7,True,47
56,1,50,D79,False,
56,2,45,D79,False,
56,3,44,D79,True,45
56,4,47,D79,False,
57,1,50,Ebj7911#,False,
57,2,37,Ebj7911#,False,
57,3,51,Ebj7911#,True,47
57,4,47,Ebj7911#,True,50
58,1,38,Ebj7911#,True,50
58,2,38,Ebj7911#,True,47
58,3,38,Ebj7911#,True,50
58,4,42,Ebj7911#,True,42
59,1,45,Ebj7911#,True,49
59,2,40,Ebj7911#,True,49
59,3,44,Ebj7911#,True,49
59,4,49,Ebj7911#,False,
60,1,49,Ebj7911#,False,
60,2,51,Ebj7911#,True,50
60,3,50,Ebj7911#,False,
60,4,49,Ebj7911#,False,
61,1,48,Fsus7913,False,
61,2,37,Fsus7913,True,48
61,3,48,Fsus7913,False,
61,4,37,Fsus7913,False,
62,1,37,Fsus7913,True,43
62,2,48,Fsus7913,False,
62,3,37,Fsus7913,False,
62,4,50,Fsus7913,False,
63,1,50,Fsus7913,False,
63,2,43,Fsus7913,True,42
63,3,45,Fsus7913,True,42
63,4,42,Fsus7913,False,
64,1,37,Gbsus7913,True,48
64,2,39,Gbsus7913,True,49
64,3,48,Gbsus7913,True,48
64,4,50,Gbsus7913,False,
65,1,48,Fsus7913,True,45
65,2,50,Fsus7913,False,
65,3,37,Fsus7913,True,50
65,4,47,Fsus7913,False,
66,1,47,Fsus7913,False,
66,2,50,Fsus7913,False,
66,3,49,Fsus7913,False,
66,4,48,Fsus7913,False,
67,1,43,F7,False,
67,2,48,F7,False,
67,3,47,Eb7,False,
67,4,42,Eb7,True,50
68,1,50,D79,True,37
68,2,41,D79,True,37
68,3,49,D79,False,
68,4,47,D79,False,
69,1,47,Ebj7911#,False,
69,2,47,Ebj7911#,False,
69,3,38,Ebj7911#,True,49
69,4,47,Ebj7911#,True,47
70,1,37,Ebj7911#,False,
70,2,37,Ebj7911#,False,
70,3,46,Ebj7911#,True,48
70,4,47,Ebj7911#,False,
71,1,51,Ebj7911#,True,48
71,2,38,Ebj7911#,True,47
71,3,49,Ebj7911#,False,
71,4,42,Ebj7911#,True,49
