bar,beat,note,chord,replaced,original_value
1,1,38,G-7,False,
1,2,47,G-7,True,40
1,3,41,G-7,False,
1,4,52,G-7,False,
2,1,48,C7,True,41
2,2,41,C7,False,
2,3,42,C7,False,
2,4,41,C7,True,37
3,1,41,F6,False,
3,2,41,F6,False,
3,3,52,F6,False,
3,4,43,F6,True,41
4,1,40,A-,False,
4,2,38,A-,False,
4,3,48,Abj7,True,44
4,4,47,Abj7,True,51
5,1,50,Gj7,False,
5,2,41,Gj7,True,52
5,3,38,Gj7,False,
5,4,38,Gj7,False,
6,1,38,Gb-7,True,37
6,2,42,Gb-7,False,
6,3,44,Gb-7,True,42
6,4,37,Gb-7,False,
7,1,40,F6,True,44
7,2,44,F6,False,
7,3,38,F6,False,
7,4,52,F6,False,
8,1,39,F#o,True,41
8,2,48,F#o,True,41
8,3,44,F#o,True,52
8,4,38,F#o,False,
9,1,42,G-7,True,50
9,2,48,G-7,True,40
9,3,45,G-7,True,50
9,4,39,G-7,True,41
10,1,40,C7,False,
10,2,38,C7,True,41
10,3,38,C7,False,
10,4,48,C7,False,
11,1,37,F6,False,
11,2,39,F6,True,41
11,3,46,F6,True,42
11,4,37,F6,False,
12,1,37,A-7,True,37
12,2,52,A-7,False,
12,3,52,Abj7,False,
12,4,46,Abj7,True,39
13,1,44,Gj7,True,38
13,2,47,Gj7,True,50
13,3,40,Gj7,False,
13,4,39,Gj7,True,42
14,1,37,Gb-7,False,
14,2,42,Gb-7,False,
14,3,42,Gb-7,True,37
14,4,45,Gb-7,True,44
15,1,43,Fj7,False,
15,2,40,Fj7,False,
15,3,40,Fj7,False,
15,4,41,Fj7,True,52
16,1,41,Fj7,False,
16,2,41,Fj7,False,
16,3,48,Fj7,True,52
16,4,44,Fj7,True,40
17,1,44,C-,True,42
17,2,42,C-,False,
