bar,beat,note,chord,replaced,original_value
1,1,42,C-6,True,43
1,2,45,C-6,False,
1,3,45,C-6,False,
1,4,48,C-6,False,
2,1,41,Dm7b5,True,45
2,2,37,Dm7b5,False,
2,3,37,G79b,False,
2,4,37,G79b,False,
3,1,43,C-6,False,
3,2,44,C-6,True,38
3,3,37,C-6,True,37
3,4,51,C-6,True,37
4,1,45,Dm7b5,True,37
4,2,45,Dm7b5,True,37
4,3,38,G79b,False,
4,4,38,G79b,True,38
5,1,44,C-6,True,43
5,2,38,C-6,True,37
5,3,42,C-6,False,
5,4,43,C-6,False,
6,1,50,Gm7b5,False,
6,2,38,Gm7b5,False,
6,3,43,C79b,False,
6,4,43,C79b,False,
7,1,37,F-7,False,
7,2,50,F-7,True,37
7,3,51,F-7,False,
7,4,48,F-7,True,37
8,1,48,F-7,False,
8,2,42,F-7,False,
8,3,50,F-7,True,45
8,4,50,F-7,True,37
9,1,38,A-7,True,49
9,2,49,A-7,True,37
9,3,50,D7,True,43
9,4,42,D7,True,43
10,1,48,F-7,False,
10,2,37,F-7,False,
10,3,51,Bb7,False,
10,4,46,Bb7,True,50
11,1,50,Ebj7,False,
11,2,47,Ebj7,False,
11,3,46,Ebj7,True,37
11,4,37,Ebj7,True,37
12,1,45,Dm7b5,False,
12,2,45,Dm7b5,True,48
12,3,42,G7,True,37
12,4,37,G7,True,38
13,1,46,Cj7,True,43
13,2,39,Cj7,False,
13,3,41,Cj7,True,37
13,4,45,Cj7,True,37
14,1,37,Dm7b5,False,
14,2,39,Dm7b5,True,37
14,3,45,G7,True,37
14,4,37,G7,False,
15,1,43,C-6,False,
15,2,50,C-6,False,
15,3,47,C-6,False,
15,4,43,C-6,False,
16,1,45,Dm7b5,False,
16,2,42,Dm7b5,True,48
16,3,38,G79b,True,37
16,4,39,G79b,True,42
17,1,43,C-6,False,
17,2,37,C-6,False,
17,3,42,C-6,False,
17,4,43,C-6,False,
18,1,45,Dm7b5,False,
18,2,37,Dm7b5,False,
18,3,37,G79b,False,
18,4,42,G79b,False,
19,1,50,C-6,True,43
19,2,38,C-6,True,45
19,3,42,C-6,False,
19,4,48,C-6,False,
20,1,38,Gm7b5,False,
20,2,50,Gm7b5,False,
20,3,38,C79b,True,50
20,4,37,C79b,False,
21,1,48,F-7,False,
21,2,43,F-7,False,
21,3,37,F-7,False,
21,4,47,F-7,True,51
22,1,45,F-7,True,37
22,2,45,F-7,True,37
22,3,37,F-7,False,
22,4,45,F-7,True,45
23,1,37,A-7,False,
23,2,46,A-7,True,37
23,3,37,D7,False,
23,4,37,D7,False,
24,1,38,F-7,False,
24,2,38,F-7,False,
24,3,46,Bb7,True,37
24,4,50,Bb7,True,37
25,1,43,Ebj7,True,37
25,2,37,Ebj7,False,
25,3,38,Ebj7,True,37
25,4,37,Ebj7,False,
26,1,43,Dm7b5,True,37
26,2,39,Dm7b5,True,42
26,3,37,G7,False,
26,4,37,G7,False,
27,1,48,Cj7,True,43
27,2,47,Cj7,False,
27,3,48,Cj7,False,
27,4,41,Cj7,True,37
28,1,50,Cj7,True,37
28,2,38,Cj7,True,37
28,3,37,Cj7,False,
28,4,38,Cj7,True,45
29,1,37,Gm7b5,False,
29,2,51,Gm7b5,True,37
29,3,37,Gm7b5,False,
29,4,50,Gm7b5,False,
30,1,47,C79b,True,37
30,2,37,C79b,True,43
30,3,44,C79b,False,
30,4,51,C79b,True,37
