bar,beat,note,chord,replaced,original_value
1,1,50,Gm7b5,False,
1,2,50,Gm7b5,False,
1,3,43,Gm7b5,True,38
1,4,39,Gm7b5,True,38
2,1,43,C79b,False,
2,2,46,C79b,True,43
2,3,44,C79b,True,43
2,4,43,C79b,False,
3,1,38,F-7,True,48
3,2,48,F-7,True,48
3,3,38,F-7,True,48
3,4,50,F-7,True,48
4,1,48,F-7,False,
4,2,37,F-7,True,48
4,3,42,F-7,True,48
4,4,48,F-7,False,
5,1,41,Bb-7,False,
5,2,44,Bb-7,True,41
5,3,41,Bb-7,False,
5,4,41,Bb-7,False,
6,1,34,Eb7,False,
6,2,42,Eb7,False,
6,3,51,Eb7,True,42
6,4,48,Eb7,True,42
7,1,51,Abj7,False,
7,2,40,Abj7,True,51
7,3,51,Abj7,False,
7,4,51,Abj7,False,
8,1,51,Abj7,False,
8,2,38,Abj7,True,51
8,3,51,Abj7,False,
8,4,51,Abj7,False,
9,1,50,Gm7b5,False,
9,2,48,Gm7b5,True,50
9,3,48,Gm7b5,True,50
9,4,49,Gm7b5,True,45
10,1,43,C7,False,
10,2,50,C7,True,43
10,3,43,C7,False,
10,4,51,C7,True,43
11,1,41,F-7,True,48
11,2,39,F-7,True,37
11,3,48,F-7,False,
11,4,44,F-7,True,48
12,1,38,F-7,True,42
12,2,45,F-7,False,
12,3,43,F-7,True,34
12,4,37,F-7,False,
13,1,48,Dm7b5,True,45
13,2,45,Dm7b5,False,
13,3,45,Dm7b5,False,
13,4,50,Dm7b5,True,40
14,1,38,G79b,False,
14,2,38,G79b,False,
14,3,50,G79b,False,
14,4,48,G79b,True,50
15,1,43,C79b,False,
15,2,45,C79b,True,42
15,3,41,C79b,True,43
15,4,42,C79b,False,
16,1,43,C79b,False,
16,2,44,C79b,True,43
16,3,43,C79b,False,
16,4,38,C79b,True,42
17,1,47,Gm7b5,True,50
17,2,50,Gm7b5,False,
17,3,38,Gm7b5,True,50
17,4,48,Gm7b5,True,50
18,1,43,C79b,False,
18,2,42,C79b,False,
18,3,39,C79b,True,43
18,4,50,C79b,False,
19,1,44,F-7,True,48
19,2,48,F-7,False,
19,3,48,F-7,False,
19,4,49,F-7,True,48
20,1,43,F-7,True,48
20,2,47,F-7,True,48
20,3,48,F-7,False,
20,4,48,F-7,False,
21,1,46,Bb-7,True,41
21,2,40,Bb-7,True,41
21,3,39,Bb-7,True,41
21,4,41,Bb-7,False,
22,1,37,Eb7,True,42
22,2,42,Eb7,False,
22,3,51,Eb7,True,34
22,4,37,Eb7,True,42
23,1,41,Cm7b5,True,43
23,2,40,Cm7b5,True,43
23,3,50,Cm7b5,True,43
23,4,43,Cm7b5,False,
24,1,45,F79b,True,48
24,2,41,F79b,True,48
24,3,48,F79b,False,
24,4,38,F79b,True,48
25,1,43,Bb-7,True,41
25,2,50,Bb-7,True,41
25,3,46,Bb-7,True,51
25,4,41,Bb-7,True,51
26,1,40,Gm7b5,True,50
26,2,41,Gm7b5,True,50
26,3,48,C7,True,42
26,4,49,C7,True,50
27,1,48,F-7,False,
27,2,47,F-7,False,
27,3,47,F-7,False,
27,4,38,F-7,True,42
28,1,45,Dm7b5,False,
28,2,45,Dm7b5,False,
28,3,41,Db7,True,43
28,4,44,Db7,False,
29,1,40,C7,True,42
29,2,42,C7,False,
29,3,43,C7,True,50
29,4,42,C7,True,50
30,1,43,C7,False,
30,2,48,C7,True,43
30,3,50,C7,False,
30,4,42,C7,False,
31,1,48,F-7,False,
31,2,47,F-7,False,
31,3,42,F-7,False,
31,4,42,F-7,False,
32,1,48,F-7,False,
32,2,49,F-7,True,48
32,3,48,F-7,False,
32,4,37,F-7,False,
33,1,50,Gm7b5,False,
33,2,41,Gm7b5,True,50
33,3,37,Gm7b5,True,50
33,4,41,Gm7b5,True,50
34,1,51,C79b,True,43
34,2,39,C79b,True,43
34,3,43,C79b,False,
34,4,39,C79b,True,50
35,1,43,F-7,True,48
35,2,47,F-7,True,48
35,3,43,F-7,False,
35,4,43,F-7,False,
36,1,48,F-7,False,
36,2,48,F-7,False,
36,3,38,F-7,True,48
36,4,45,F-7,True,48
37,1,47,Bb-7,True,41
37,2,50,Bb-7,True,41
37,3,41,Bb-7,False,
37,4,44,Bb-7,True,41
38,1,37,Eb7,True,42
38,2,38,Eb7,True,34
38,3,41,Eb7,True,47
38,4,42,Eb7,True,34
39,1,51,Abj7,False,
39,2,51,Abj7,False,
39,3,40,Abj7,True,51
39,4,51,Abj7,False,
40,1,44,Abj7,True,51
40,2,44,Abj7,True,51
40,3,51,Abj7,False,
40,4,43,Abj7,True,51
41,1,50,Gm7b5,False,
41,2,50,Gm7b5,False,
41,3,50,Gm7b5,False,
41,4,50,Gm7b5,False,
42,1,43,C79b,False,
42,2,43,C79b,False,
42,3,43,C79b,False,
42,4,43,C79b,False,
43,1,43,F-7,True,48
43,2,40,F-7,True,48
43,3,48,F-7,False,
43,4,48,F-7,False,
44,1,47,F-7,False,
44,2,41,F-7,True,42
44,3,42,F-7,False,
44,4,42,F-7,False,
45,1,50,Dm7b5,True,45
45,2,37,Dm7b5,True,45
45,3,46,Dm7b5,True,45
45,4,51,Dm7b5,True,45
46,1,50,G79b,False,
46,2,50,G79b,False,
