bar,beat,note,chord,replaced,original_value
1,1,43,C-7,False,
1,2,47,C-7,True,42
1,3,44,C-7,True,41
1,4,47,C-7,True,41
2,1,52,Am7b5,False,
2,2,47,Am7b5,True,40
2,3,38,Abj7,True,39
2,4,50,Abj7,True,39
3,1,40,Am7b5,False,
3,2,39,Am7b5,True,42
3,3,37,D7,True,45
3,4,46,D7,True,40
4,1,47,Dm7b5,True,45
4,2,39,Dm7b5,False,
4,3,47,G7,True,38
4,4,42,G7,False,
5,1,42,C-7,True,43
5,2,41,C-7,True,42
5,3,43,C-7,True,41
5,4,40,C-7,True,41
6,1,41,Am7b5,True,52
6,2,40,Am7b5,False,
6,3,40,Abj7,False,
6,4,44,Abj7,True,39
7,1,38,Dm7b5,True,45
7,2,48,Dm7b5,True,43
7,3,42,G+7,False,
7,4,41,G+7,True,38
8,1,42,C-7,True,43
8,2,42,C-7,False,
8,3,45,G7,False,
8,4,50,G7,False,
9,1,43,C-7,False,
9,2,42,C-7,False,
9,3,37,C-7,True,41
9,4,47,C-7,True,51
10,1,39,Am7b5,True,52
10,2,40,Am7b5,False,
10,3,48,Abj7,True,39
10,4,49,Abj7,True,43
11,1,39,Am7b5,True,40
11,2,41,Am7b5,False,
11,3,43,D7,False,
11,4,45,D7,True,45
12,1,40,Dm7b5,True,45
12,2,40,Dm7b5,False,
12,3,47,G7,True,45
12,4,38,G7,False,
13,1,43,C-7,False,
13,2,42,C-7,False,
13,3,39,C-7,True,41
13,4,41,C-7,False,
14,1,37,Am7b5,True,52
14,2,41,Am7b5,True,40
14,3,51,Abj7,False,
14,4,40,Abj7,True,40
15,1,45,Dm7b5,False,
15,2,50,Dm7b5,True,43
15,3,37,G+7,True,42
15,4,38,G+7,False,
16,1,43,C-7,False,
16,2,45,C-7,False,
16,3,34,C-7,False,
16,4,37,C-7,True,43
17,1,45,Dm7b5,False,
17,2,37,G7,True,50
17,3,41,C-7,True,43
17,4,37,C-7,True,41
18,1,43,Am7b5,True,40
18,2,37,D7,True,45
18,3,38,G7,False,
18,4,41,C-7,False,
19,1,41,Am7b5,True,40
19,2,47,Am7b5,True,38
19,3,49,D7,True,37
19,4,45,D7,False,
20,1,51,Dm7b5,False,
20,2,45,Dm7b5,False,
20,3,45,G7,True,50
20,4,39,G7,True,51
21,1,47,Dm7b5,True,33
21,2,46,G7,True,50
21,3,41,C-7,True,43
21,4,41,C-7,False,
22,1,43,Am7b5,True,40
22,2,42,D7,True,45
22,3,38,G+7,False,
22,4,45,Eb7,True,43
23,1,41,Dm7b5,True,45
23,2,51,Dm7b5,False,
23,3,43,G+7,True,50
23,4,46,G+7,True,38
